league,sezonul,datamecic,etapa,txtechipa1,place1,txtechipa2,place2,cotaa,cotae,cotad,cotao0,cotau0,cotao1,cotau1,cotao,cotau,cotao3,cotau3,cotao4,cotau4,gg,ng,result,goalsh,goalsa,goalsha,elohomeo,eloawayo,elodiff,formah,formaa,scor1,scor2,scorp1,scorp2
England-Premier L,18,11/08/17,1,Arsenal,9 (9),Leicester,18 (18),1.534,4.59,6.41,0.0,0.0,0.0,0.0,1.621,2.43,0.0,0.0,0.0,0.0,0.0,0.0,4-3 (2-2),"02,45,83,85","05,29,56","H02,A05,A29,H45,A56,H83,H85",1976,1779,197,0,0,4,3,2,2
England-Premier L,18,12/08/17,1,Watford,13 (13),Liverpool,2 (2),6.47,4.23,1.588,0.0,0.0,0.0,0.0,1.877,2.04,0.0,0.0,0.0,0.0,0.0,0.0,3-3 (2-1),"08,32,90","29,55,57","H08,A29,H32,A55,A57,H90",1645,1966,-321,0,0,3,3,2,1
England-Premier L,18,12/08/17,1,West Bromwich,4 (4),Bournemouth,19 (19),2.47,3.32,3.18,0.0,0.0,0.0,0.0,2.17,1.775,0.0,0.0,0.0,0.0,0.0,0.0,1-0 (1-0),31,,H31,1692,1750,-58,0,0,1,0,1,0
England-Premier L,18,12/08/17,1,Everton,8 (8),Stoke,14 (14),1.699,3.86,5.78,0.0,0.0,0.0,0.0,2.15,1.787,0.0,0.0,0.0,0.0,0.0,0.0,1-0 (1-0),45,,H45,1856,1725,131,0,0,1,0,1,0
England-Premier L,18,12/08/17,1,Southampton,3 (3),Swansea,16 (16),1.625,3.95,6.6,0.0,0.0,0.0,0.0,2.18,1.763,0.0,0.0,0.0,0.0,0.0,0.0,0-0 (0-0),,,,1750,1744,6,0,0,0,0,0,0
England-Premier L,18,12/08/17,1,Chelsea,10 (10),Burnley,15 (15),1.255,6.31,15.28,0.0,0.0,0.0,0.0,1.746,2.21,0.0,0.0,0.0,0.0,0.0,0.0,2-3 (0-3),"69,88","24,39,43","A24,A39,A43,H69,H88",2099,1700,399,0,0,2,3,0,3
England-Premier L,18,12/08/17,1,Crystal Palace,6 (6),Huddersfield,20 (20),1.793,3.68,5.27,0.0,0.0,0.0,0.0,2.09,1.833,0.0,0.0,0.0,0.0,0.0,0.0,0-3 (0-2),,"23,26,78","A23,A26,A78",1730,1461,269,0,0,0,3,0,2
England-Premier L,18,12/08/17,1,Brighton,17 (17),Man City,5 (5),11.6,5.6,1.322,0.0,0.0,0.0,0.0,1.662,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0-2 (0-0),,"70,75","A70,A75",1636,2010,-374,0,0,0,2,0,0
England-Premier L,18,13/08/17,1,Newcastle,7 (7),Tottenham,1 (1),4.8,3.9,1.8,0.0,0.0,0.0,0.0,1.854,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0-2 (0-0),,"61,70","A61,A70",1695,2092,-397,0,0,0,2,0,0
England-Premier L,18,13/08/17,1,Man Utd,11 (11),West Ham,12 (12),1.307,5.8,12.0,0.0,0.0,0.0,0.0,1.714,2.25,0.0,0.0,0.0,0.0,0.0,0.0,4-0 (1-0),"33,53,87,90",,"H33,H53,H87,H90",1959,1753,206,0,0,4,0,1,0
