country,league,alert,verif,datameci,orameci,etapa,txtechipa1,place1,txtechipa2,place2,underprob,underoddsc,cotau,overprob,overoddsc,cotao,homeprob,homeoddsc,cotaa,drawprob,drawoddsc,cotae,awayprob,awayoddsc,cotad,score,validated,result,scor1,scor2,scorp1,scorp2,elohomeo,eloawayo,elodiff,totalgh,totalga,totaldiff,scoredh,scoreda,scodiff,receivedh,receiveda,recdiff,ggh,gga,ngh,nga,gh0,gh1,gh2,gh3,gh4,ga0,ga1,ga2,ga3,ga4,goalminh,goalmina,formah,formaa,codechipa1,codechipa2
England,Premier L,,,8/10/2018,2300,01,Man Utd,11 (11),Leicester,18 (18),40.048,2.497,1.813,59.953,1.668,2.12,73.317,1.364,1.591,16.299,6.135,3.88,10.384,9.63,7.37,2-0 (13.61); 2-1 (10.12); 1-0 ( 9.66); 3-0 ( 8.66); 4-0 ( 7.43);,192,2-1 (1-0),2,1,1,0,1994,1717,277,2.468,2.842,-0.374,1.563,1.434,0.129,0.905,1.408,-0.503,46.316,54.605,53.684,45.395,10.1,20.3,28.6,18.2,15.6,47.6,35.4,11.9,4.1,1,,90,0,0,01020,01042
England,Premier L,,,8/11/2018,1530,01,Newcastle,7 (7),Tottenham,1 (1),45.859,2.181,1.884,54.141,1.847,2.04,17.198,5.815,3.98,21.082,4.743,3.53,61.719,1.62,2.05,0-1 (13.55); 1-1 (10.30); 0-2 ( 9.80); 0-3 ( 9.55); 1-2 ( 7.46);,171,1-2 (1-2),1,2,1,2,1748,2018,-270,2.632,2.858,-0.226,1.092,1.8,-0.708,1.539,1.058,0.482,44.079,50,55.921,50,43,32.7,17.5,4.6,1.7,13.1,31.5,22.8,22.2,7.6,,,0,0,01016,01001
England,Premier L,,,8/11/2018,1800,01,Fulham,5 (5),Crystal Palace,6 (6),58.811,1.7,1.97,41.189,2.428,1.952,40.408,2.475,2.53,27.799,3.597,3.44,31.793,3.145,2.97,1-0 (14.70); 1-1 (13.73); 0-0 ( 9.66); 0-1 ( 9.02); 2-0 ( 7.08);,286,0-2 (0-1),0,2,0,1,1739,1794,-55,3.289,2.537,0.753,1.053,1.126,-0.074,2.237,1.411,0.826,60.526,47.368,39.474,52.632,26.6,40.5,19.5,10.4,2.7,36.3,33.9,17.4,9,3.1,,,0,0,01010,01012
England,Premier L,,,8/11/2018,1800,01,Huddersfield,20 (20),Chelsea,10 (10),58.994,1.695,1.909,41.006,2.439,2.01,30.617,3.266,6.5,27.646,3.617,4.13,41.737,2.396,1.598,0-1 (13.32); 1-1 (12.23); 0-0 (10.64); 1-0 ( 9.77); 2-1 ( 7.99);,77,0-3 (0-2),0,3,0,2,1609,1874,-265,2.263,2.805,-0.542,0.737,1.842,-1.105,1.526,0.963,0.563,31.579,50.526,68.421,49.474,36.7,33.7,22,6.4,1.2,29,36.3,18.1,11.6,3.8,,,0,0,01064,01019
England,Premier L,,,8/11/2018,1800,01,Watford,13 (13),Brighton,16 (16),54.413,1.838,1.558,45.587,2.194,2.56,45.235,2.211,2.48,25.679,3.894,3.15,29.086,3.438,3.32,1-0 (11.54); 2-0 (10.07); 0-0 ( 9.84); 1-1 ( 9.61); 2-1 ( 8.38);,232,2-0 (1-0),2,0,1,0,1649,1688,-39,2.684,2.316,0.368,1.088,0.895,0.193,1.596,1.421,0.175,46.491,42.105,53.509,57.895,26.1,30.6,26.7,10.7,4.3,37.7,31.4,19.8,7.3,3.8,,,0,0,01025,01036
England,Premier L,,,8/11/2018,1800,01,Bournemouth,19 (19),Cardiff,17 (17),56.451,1.771,1.909,43.549,2.296,2.01,49.14,2.035,1.917,25.502,3.921,3.61,25.358,3.944,4.49,1-0 (14.08); 0-0 (10.63); 2-0 (10.32); 1-1 ( 9.78); 0-1 ( 7.38);,230,2-0 (1-0),2,0,1,0,1731,1642,89,2.982,2.789,0.193,1.272,0.842,0.43,1.711,1.947,-0.237,57.895,42.105,42.105,57.895,24.6,32.6,23.9,12.6,4.7,43.2,30,17.3,6.5,3,90,,0,0,01063,01039
England,Premier L,,,8/11/2018,2030,01,Wolves,15 (15),Everton,8 (8),57.515,1.739,1.793,42.485,2.354,2.14,42.001,2.381,2.39,27.166,3.681,3.36,30.832,3.243,3.26,1-0 (12.71); 1-1 (11.97); 0-0 ( 9.76); 0-1 ( 9.19); 2-0 ( 8.64);,283,2-2 (1-1),2,2,1,1,1662,1760,-98,0,2.737,-2.737,0,1.442,-1.442,0,1.295,-1.295,0,51.053,0,48.947,27.1,35.3,24,9.1,3.5,36,33.9,19.4,7.7,2.4,,,0,0,01031,01017
England,Premier L,,,8/12/2018,1630,01,Liverpool,2 (2),West Ham,12 (12),40.07,2.496,2.63,59.93,1.669,1.512,70.948,1.409,1.253,17.29,5.784,6.95,11.763,8.502,12,2-0 (13.35); 2-1 (10.95); 1-0 ( 8.68); 3-0 ( 7.79); 1-1 ( 7.12);,200,4-0 (2-0),4,0,2,0,1980,1738,242,3.189,2.763,0.426,1.989,1.284,0.705,1.2,1.479,-0.279,56.842,54.737,43.158,45.263,11.5,19.5,30,17.5,15.5,44.5,36.5,14,4,1,,,0,0,01002,01022
England,Premier L,,,8/12/2018,1630,01,Southampton,3 (3),Burnley,14 (14),55.012,1.818,1.529,44.988,2.223,2.64,44.75,2.235,2.02,26.401,3.788,3.19,28.849,3.466,4.65,1-0 (13.25); 1-1 (11.41); 2-0 ( 9.84); 2-1 ( 8.47); 0-0 ( 8.37);,335,0-0 (0-0),0,0,0,0,1677,1734,-57,2.468,2.193,0.275,1.289,0.904,0.386,1.179,1.289,-0.111,45.789,44.737,54.211,55.263,22.8,36.1,26.8,10.1,3.2,36.7,31.6,21.7,7.1,2.9,,,0,0,01004,01030
England,Premier L,,,8/12/2018,1900,01,Arsenal,9 (9),Man City,4 (4),35,2.857,2.63,65,1.538,1.531,21.25,4.706,4.39,17,5.882,4.09,61.75,1.619,1.819,0-1 (14.00); 0-2 (14.00); 2-1 ( 8.75); 2-2 ( 8.75); 0-3 ( 8.00);,20,0-2 (0-1),0,2,0,1,1851,2166,-315,2.963,3.284,-0.321,1.868,2.326,-0.458,1.095,0.958,0.137,52.105,54.211,47.895,45.789,40,20,25,5,5,0,35,35,20,0,,,0,0,01018,01009
England,Premier L,,,8/18/2018,1530,02,Cardiff,18 (15),Newcastle,13 (10),55.102,1.815,1.54,44.898,2.227,2.61,44.541,2.245,3.33,25.941,3.855,3.18,29.519,3.388,2.46,1-0 (12.21); 2-0 (11.29); 0-0 ( 9.68); 1-1 ( 9.35); 2-1 ( 8.64);,204,0-0 (0-0),0,0,0,0,1626,1737,-111,2.769,2.634,0.135,0.821,1.092,-0.271,1.949,1.542,0.406,41.026,44.444,58.974,55.556,25.2,31.8,29.4,9.3,3.4,38.4,29.4,20.5,8.3,3.4,,,0,0,01039,01016
England,Premier L,,,8/18/2018,1800,02,Leicester,14 (16),Wolves,10 (14),56.299,1.776,1.854,43.701,2.288,2.07,47.312,2.114,2.08,25.99,3.848,3.52,26.698,3.746,3.84,1-0 (12.84); 0-0 (10.76); 1-1 ( 9.86); 2-0 ( 9.61); 0-1 ( 8.26);,280,2-0 (2-0),2,0,2,0,1712,1661,51,2.843,4,-1.157,1.431,2,-0.569,1.412,2,-0.588,54.902,100,45.098,0,26.3,31.4,23.5,13.9,3.5,40.9,31.4,18.9,6,2.8,,,0,0,01042,01031
