country,league,alert,verif,sezonul,datameci,orameci,etapa,txtechipa1,place1t,place1a,txtechipa2,place2t,place2d,customh,customa,home_val,avghome,home_val_2,home_val_3,home_val_4,home_val_5,away_val,avgaway,away_val_2,away_val_3,away_val_4,away_val_5,cotaa,cotae,cotad,cotao0,cotau0,cotao1,cotau1,cotao,cotau,cotao3,cotau3,cotao4,cotau4,gg,ng,result,scor1,scor2,scorp1,scorp2,formah,formaa,formadif,h2h,suth,suta,sutht,sutat,corh,cora,foulsh,foulsa,yellowh,yellowa,ballph,ballpa,goalminh,goalmina,swinh,sdrawh,slosth,sscoreh,sreceiveh,soverh,sunderh,swina,sdrawa,slosta,sscorea,sreceivea,sovera,sundera,jucatori1,jucatori2,wdlh1,wdlh2,wdlh3,wdlh4,wdlh5,wdla1,wdla2,wdla3,wdla4,wdla5,custom3,custom4,codechipa1,codechipa2
England,Premier L,,,25,8/16/2024,2300,01,Man Utd,14,14,Fulham, 9, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,4.23,5.28,1.03,15,1.2,4.5,1.63,2.38,2.56,1.56,4.5,1.2,1.67,2.3,1-0 (0-0),1,0,0,0,0,0,0,,14,10,5,2,7,8,12,10,2,3,55,45,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01020,01010
England,Premier L,,,25,8/17/2024,1530,01,Ipswich,10,10,Liverpool,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,6.09,1.34,1.01,23,1.1,7,1.37,3.3,1.93,1.97,3.12,1.38,1.64,2.37,0-2 (0-0),0,2,0,0,0,0,0,,7,18,2,5,2,10,9,18,3,1,38,62,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01040,01002
England,Premier L,,,25,8/17/2024,1800,01,Arsenal, 1, 1,Wolves,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,9.05,18.76,1.02,21,1.13,6,1.41,2.98,2.08,1.81,3.4,1.33,2.28,1.67,2-0 (1-0),2,0,1,0,0,0,0,,18,9,6,3,8,2,17,14,2,2,53,47,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01018,01031
England,Premier L,,,25,8/17/2024,1800,01,Everton, 8, 8,Brighton, 5, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.41,2.4,1.05,11,1.28,3.91,1.93,1.97,3.23,1.38,6,1.13,1.7,2.24,0-3 (0-1),0,3,0,1,0,0,0,,9,10,1,5,1,5,8,8,1,1,37,63,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01017,01036
England,Premier L,,,25,8/17/2024,1800,01,Newcastle,15,15,Southampton,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,5.3,7.26,1.02,19,1.13,6,1.46,2.85,2.16,1.76,3.35,1.35,1.68,2.27,1-0 (1-0),1,0,1,0,0,0,0,,3,19,1,5,3,12,15,16,2,4,22,78,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01016,01004
England,Premier L,,,25,8/17/2024,1800,01,Nottingham,16,16,Bournemouth, 3, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,3.5,3.37,1.05,11,1.27,4.01,1.89,2.02,3.15,1.4,6,1.13,1.69,2.26,1-1 (1-0),1,1,1,0,0,0,0,,14,15,8,5,2,6,18,9,1,3,54,46,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01037,01063
England,Premier L,,,25,8/17/2024,2030,01,West Ham,19,19,Aston Villa, 2, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,3.51,2.86,1.04,13,1.22,4.33,1.72,2.21,2.72,1.5,5,1.17,1.56,2.54,1-2 (1-1),1,2,1,1,0,0,0,,14,15,3,3,5,3,18,11,1,2,51,49,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01022,01003
England,Premier L,,,25,8/18/2024,1700,01,Brentford, 4, 4,C Palace, 6, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,3.24,2.66,1.06,10,1.33,3.52,2.09,1.83,3.61,1.32,7,1.1,1.79,2.12,2-1 (1-0),2,1,1,0,0,0,0,,9,14,5,6,4,7,6,15,1,5,46,54,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01059,01012
England,Premier L,,,25,8/18/2024,1930,01,Chelsea, 7, 7,Man City,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,3.91,1.97,1.03,17,1.17,5,1.58,2.51,2.42,1.62,4.33,1.22,1.53,2.63,0-2 (0-1),0,2,0,1,0,0,0,,10,11,3,5,4,3,12,9,1,1,48,52,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01019,01009
England,Premier L,,,25,8/19/2024,2300,01,Leicester,11,12,Tottenham,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,4.33,1.71,1.03,17,1.17,5,1.54,2.61,2.35,1.65,4.33,1.22,1.57,2.52,1-1 (0-1),1,1,0,1,0,0,0,,7,15,3,7,2,13,11,12,1,1,29,71,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01042,01001
