league,tip,totalgames,totalgoals,m0005,m0610,m1115,m1620,m2125,m2630,m3135,m3640,m4145,m4650,m5155,m5660,m6165,m6670,m7175,m7680,m8185,m8690
Arsenal,Sc,211,404,16,13,24,17,16,26,25,18,34,20,29,29,19,25,18,14,14,47
Aston Villa,Sc,211,325,16,14,17,18,16,15,11,17,20,19,14,14,21,17,21,22,15,38
Bournemouth,Sc,227,330,13,18,13,19,20,13,7,17,19,18,22,10,22,23,12,19,20,45
Brentford,Sc,219,342,7,16,16,16,14,27,10,10,27,17,12,23,26,16,15,18,23,49
Brighton,Sc,211,306,10,10,19,10,9,19,16,12,22,15,19,19,13,16,13,15,25,44
Burnley,Sc,227,286,12,13,21,15,12,14,15,16,20,17,18,12,13,15,19,13,11,30
C Palace,Sc,211,261,11,15,11,9,11,12,11,17,15,9,13,22,14,21,13,11,15,31
Chelsea,Sc,211,347,8,15,20,20,18,18,17,12,24,29,15,20,23,15,15,22,16,40
Everton,Sc,211,229,9,16,7,13,9,16,12,9,19,10,17,12,10,11,7,18,8,26
Fulham,Sc,219,327,14,16,9,18,15,12,20,16,21,13,17,18,22,18,25,17,17,39
Leeds,Sc,227,357,17,29,15,18,9,16,17,16,25,19,13,21,15,18,22,23,20,44
Liverpool,Sc,211,441,15,13,17,20,17,19,29,26,33,26,23,19,31,26,20,24,29,54
Man City,Sc,211,489,24,20,29,24,27,24,34,25,32,25,28,24,34,33,18,18,25,45
Man Utd,Sc,211,325,10,13,10,12,19,12,20,15,20,12,17,18,22,20,16,25,19,45
Newcastle,Sc,211,343,18,14,13,9,18,15,29,20,28,8,18,28,23,11,16,16,18,41
Nottingham,Sc,227,276,16,6,17,10,14,14,10,8,22,22,17,8,26,15,12,10,17,32
Sunderland,Sc,159,199,4,8,6,11,10,10,13,7,12,9,18,9,11,11,14,11,11,24
Tottenham,Sc,211,375,19,16,24,15,20,13,15,15,29,22,23,22,22,19,20,22,21,38
West Ham,Sc,211,292,9,14,10,10,14,20,17,14,26,11,16,15,15,16,19,12,16,38
Wolves,Sc,211,224,9,12,13,8,11,9,11,13,20,8,12,9,12,15,13,9,10,30
