country,league,alert,verif,sezonul,datameci,orameci,etapa,txtechipa1,place1t,place1a,txtechipa2,place2t,place2d,customh,customa,home_val,avghome,home_val_2,home_val_3,home_val_4,home_val_5,away_val,avgaway,away_val_2,away_val_3,away_val_4,away_val_5,cotaa,cotae,cotad,cotao0,cotau0,cotao1,cotau1,cotao,cotau,cotao3,cotau3,cotao4,cotau4,gg,ng,result,scor1,scor2,scorp1,scorp2,formah,formaa,formadif,h2h,suth,suta,sutht,sutat,corh,cora,foulsh,foulsa,yellowh,yellowa,ballph,ballpa,goalminh,goalmina,swinh,sdrawh,slosth,sscoreh,sreceiveh,soverh,sunderh,swina,sdrawa,slosta,sscorea,sreceivea,sovera,sundera,jucatori1,jucatori2,wdlh1,wdlh2,wdlh3,wdlh4,wdlh5,wdla1,wdla2,wdla3,wdla4,wdla5,custom3,custom4,codechipa1,codechipa2
Brazil,Serie B,,,25,8/1/2025,0435,20,Vila Nova GO, 8, 9,Coritiba, 2, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,2.78,3.22,1.17,5.23,1.76,2.13,3.43,1.33,7.55,1.1,19,1.02,2.45,1.57,1-2 (1-2),1,2,1,2,5,-14,19,,0,0,0,0,0,0,0,0,0,0,0,0,25,14;45,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30034,30033
Slovakia,2. liga,,,26,8/1/2025,1230,02,Slovan Bratislava B, 9,12,Petrzalka,11, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,3.89,2.14,0,0,0,0,1.59,2.27,2.5,1.49,0,0,1.56,2.39,0-0 (0-0),0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23026,23003
Ukraine,Premier L,,,26,8/1/2025,1630,01,Kovalivka, 4, 4,Kryvyi Rih, 5, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,3.05,2.68,0,0,0,0,0,0,0,0,0,0,0,0,2-1 (1-0),2,1,1,0,0,0,0,,17,11,9,3,3,6,9,12,2,4,52,48,15;71,90,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28028,28010
Switzerland,Challenge Leagu,,,26,8/1/2025,1800,02,Wil, 6, 9,Aarau, 7, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,3.89,2.18,0,0,1.16,5.23,1.54,2.49,2.36,1.6,4.07,1.24,1.48,2.67,1-3 (0-2),1,3,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,82,43;45;90,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26021,26001
Ukraine,Premier L,,,26,8/1/2025,1900,01,Rukh Lviv,13,13,Poltava,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,3.09,4.54,0,0,1.54,2.39,2.66,1.44,0,0,0,0,2.29,1.6,2-1 (1-1),2,1,1,1,0,0,0,,8,8,4,3,3,8,0,0,0,3,60,40,11;86,17,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28031,28003
Finland,Veikkausliiga,,,25,8/1/2025,1900,00,Vaasa, 6, 7,Mariehamn, 8, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,4.5,5.15,1.03,17,1.21,4.67,1.67,2.31,2.65,1.51,4.9,1.2,1.72,2.18,1-1 (0-0),1,1,0,0,-5,0,-5,,14,9,8,3,9,4,14,10,2,1,51,49,63,90,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33007,33011
Slovenia,Prvaliga,,,26,8/1/2025,1930,03,Radomlje,10, 9,Domzale, 8, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,3.46,2.98,0,0,1.24,4.04,1.8,2.03,2.99,1.39,5.57,1.14,1.66,2.23,2-0 (1-0),2,0,1,0,0,0,0,,14,5,4,2,3,2,17,7,1,2,50,50, 4;55,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24019,24001
Austria,Erste Liga,,,26,8/1/2025,2000,01,Amstetten, 2, 2,Sturm Graz (Am),15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,4.05,3.71,0,0,1.17,5.1,1.54,2.49,2.35,1.6,4.03,1.24,1.51,2.56,2-0 (1-0),2,0,1,0,0,0,0,,13,7,8,1,9,0,0,0,4,2,50,50,42;51,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06042,06047
Austria,Erste Liga,,,26,8/1/2025,2000,01,Austria Salzburg, 3, 3,Klagenfurt, 9, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,3.87,2.62,0,0,1.21,4.36,1.69,2.2,2.7,1.46,4.82,1.18,1.59,2.36,1-2 (0-1),1,2,0,1,0,0,0,,5,5,2,3,7,3,0,0,0,3,57,43,56,18;54,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06038,06036
Austria,Erste Liga,,,26,8/1/2025,2000,01,Liefering,10,10,Lustenau,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.42,2.34,0,0,1.28,3.62,1.93,1.9,3.25,1.34,6.17,1.12,1.71,2.13,0-4 (0-3),0,4,0,3,0,0,0,,13,10,2,5,4,3,0,0,2,1,56,44,, 1;11;31;64,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06028,06017
Austria,Erste Liga,,,26,8/1/2025,2000,01,KSV 1919, 8, 8,Admira Wacker, 1, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,3.74,1.83,0,0,1.28,3.66,1.9,1.93,3.17,1.35,6.03,1.13,1.99,1.82,0-2 (0-0),0,2,0,0,0,0,0,,7,21,4,7,4,9,0,0,2,3,48,52,,70;83,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06007,06004
Bulgaria,Premier L,,,26,8/1/2025,2000,03,Spartak Varna, 9,14,Vratsa,14, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,3.65,2.86,1.07,9,1.24,4.01,1.78,2.06,2.97,1.39,5.51,1.15,1.97,1.83,1-1 (0-0),1,1,0,0,0,0,0,,9,12,3,7,5,2,23,12,3,6,52,48,90,60,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08037,08020
Denmark,Superligaen,,,26,8/1/2025,2000,03,Fredericia, 6, 8,Copenhagen, 2, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,4.76,1.47,1.03,15,1.21,4.68,1.68,2.29,2.64,1.51,4.86,1.2,1.83,2.04,0-2 (0-1),0,2,0,1,0,0,0,,9,17,3,6,5,8,5,10,0,0,39,61,,34;69,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11026,11002
Poland,Ekstraklasa,,,26,8/1/2025,2000,03,Zaglebie,15,13,Kielce,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,3.39,3.34,1.05,11,1.31,3.54,2.01,1.87,3.43,1.32,6.77,1.12,1.76,2.1,1-1 (0-0),1,1,0,0,0,0,0,,8,17,2,5,7,8,15,19,2,2,46,54,71,68,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17028,17013
Poland,Division 1,,,26,8/1/2025,2000,03,KS Wieczysta Krakow, 5, 5,Pruszkow,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,4.24,5.05,1.03,15,1.21,4.35,1.7,2.18,2.7,1.46,4.98,1.17,1.76,2.07,4-0 (1-0),4,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,16;60;78;87,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17054,17048
Romania,Liga 1,,,26,8/1/2025,2000,04,Constanta, 3, 6,Metaloglobus Bucharest,15, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,5.23,8.84,1.03,15,1.22,4.28,1.69,2.2,2.71,1.47,5.05,1.17,1.95,1.85,2-1 (1-0),2,1,1,0,0,0,0,,20,10,5,3,5,3,12,14,0,2,60,40,36;65,54,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19029,19050
Germany,RL Bavaria,,,26,8/1/2025,2030,02,Hankofen-Hailing,16, 7,Aschaffenburg,18, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56,3.43,2.33,0,0,0,0,1.72,2,2.75,1.37,0,0,1.61,2.16,1-0 (1-0),1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05226,05088
Germany,RL Bavaria,,,26,8/1/2025,2030,02,Wurzburg, 3,11,Vilzing,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,3.86,10.47,0,0,0,0,1.55,2.3,2.29,1.56,0,0,1.88,1.85,2-0 (0-0),2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,47;78,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05076,05202
