team,season,country,league,rating,gmh,gph,gma,gpa,attack_home_vs_lg,attack_away_vs_lg,defense_home_vs_lg,defense_away_vs_lg
1. FSV Mainz 05,2017-2018,Germany,Bundesliga,,22.0,21.0,16.0,31.0,13.73877551020408,13.413698630136986,17.605479452054794,19.35918367346939
1. FSV Mainz 05,2018-2019,Germany,Bundesliga,,31.0,22.0,15.0,35.0,17.31021897810219,10.8,15.84,19.543795620437955
1. FSV Mainz 05,2019-2020,Germany,Bundesliga,,18.0,29.0,26.0,36.0,10.842519685039369,16.78481012658228,18.72151898734177,21.685039370078737
1. FSV Mainz 05,2020-2021,Germany,Bundesliga,,16.0,26.0,23.0,30.0,9.543859649122806,16.959036144578313,19.171084337349395,17.894736842105264
1. FSV Mainz 05,2021-2022,Germany,Bundesliga,,33.0,11.0,17.0,34.0,18.73469387755102,12.534939759036144,8.110843373493976,19.302411873840445
1. FSV Mainz 05,2022-2023,Germany,Bundesliga,,31.0,25.0,23.0,30.0,16.700704225352112,17.464019851116625,18.982630272952854,16.161971830985916
1. FSV Mainz 05,2023-2024,Germany,Bundesliga,,23.0,18.0,16.0,33.0,12.726943942133815,11.333333333333332,12.75,18.260397830018082
1. FSV Mainz 05,2024-2025,Germany,Bundesliga,,24.0,18.0,31.0,25.0,14.71743486973948,20.621739130434783,11.97391304347826,15.330661322645291
1. FSV Mainz 05,2025-2026,Germany,Bundesliga,,5.0,11.0,10.0,17.0,3.3333333333333335,7.692307692307692,8.461538461538462,11.333333333333334
AS Monaco,2017-2018,France,Ligue 1,,47.0,17.0,38.0,28.0,30.740103270223752,31.94690265486726,14.29203539823009,18.313253012048193
AS Monaco,2018-2019,France,Ligue 1,,19.0,29.0,19.0,28.0,12.915921288014312,17.481840193704603,26.682808716707022,19.033989266547405
AS Monaco,2019-2020,France,Ligue 1,,29.0,22.0,15.0,22.0,19.54196642685851,14.686411149825785,21.54006968641115,14.824940047961631
AS Monaco,2020-2021,France,Ligue 1,,43.0,21.0,33.0,21.0,30.772128060263654,24.20849420849421,15.405405405405405,15.028248587570621
AS Monaco,2021-2022,France,Ligue 1,,38.0,16.0,27.0,24.0,24.026622296173045,22.017167381974247,13.047210300429184,15.174708818635608
AS Monaco,2022-2023,France,Ligue 1,,37.0,33.0,33.0,25.0,24.840989399293285,25.02994011976048,25.02994011976048,16.78445229681979
AS Monaco,2023-2024,France,Ligue 1,,30.0,14.0,38.0,28.0,20.72234762979684,30.36031331592689,11.18537859007833,19.340857787810386
AS Monaco,2024-2025,France,Ligue 1,,38.0,16.0,25.0,25.0,23.634146341463413,18.257756563245824,11.684964200477326,15.548780487804878
AS Monaco,2025-2026,France,Ligue 1,,17.0,15.0,10.0,15.0,10.7578125,9.101123595505618,13.651685393258427,9.4921875
Academica Clinceni,2018-2019,Romania,Liga 1,,1.0,4.0,2.0,5.0,0.7682926829268293,1.7830188679245285,3.566037735849057,3.841463414634146
Academica Clinceni,2019-2020,Romania,Liga 1,,13.0,15.0,14.0,23.0,8.542857142857143,12.73446327683616,13.64406779661017,15.114285714285714
Academica Clinceni,2020-2021,Romania,Liga 1,,14.0,14.0,17.0,16.0,11.818181818181818,15.729537366548044,12.95373665480427,13.506493506493506
Academica Clinceni,2021-2022,Romania,Liga 1,,11.0,28.0,9.0,32.0,8.821782178217822,9.266949152542372,28.83050847457627,25.663366336633665
Adanaspor,2021-2022,Turkey,Super Lig,,35.0,17.0,25.0,30.0,21.947194719471945,20.607375271149674,14.013015184381777,18.81188118811881
Adanaspor,2022-2023,Turkey,Super Lig,,43.0,19.0,30.0,26.0,25.43097014925373,22.11627906976744,14.006976744186046,15.376865671641792
Adanaspor,2023-2024,Turkey,Super Lig,,33.0,30.0,21.0,31.0,20.9,17.272727272727273,24.675324675324674,19.633333333333333
