fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_filters,mu_home,mu_away,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-01-04T15:30:00,2026-01-04,Premier L,England,2025-2026,Leeds,Man Utd,full,2026-01-03T23:59:59.999999,,,2025-08-01,2026-07-01,14,6,6,6,6,6,6,6,6,1.450022578239441,1.2796673774719238,2.7296899557113647,0.5454545454545454,0.4545454545454546,0.5454545454545454,0.4545454545454546,2.04,1.87,2.04,1.87,0.1127272727272725,-0.1499999999999999,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,52.40329435497154,73.83346732294216,9.0,9.0,9.0,9.0,0,0,0,0,0,0,2026-01-04,2026-01-04,2026-01-04,1,1,1-1 (0-0)
2026-01-04T18:00:00,2026-01-04,Premier L,England,2025-2026,Everton,Brentford,full,2026-01-03T23:59:59.999999,,,2025-08-01,2026-07-01,14,6,6,6,6,6,6,6,6,1.5924413204193115,1.0460916757583618,2.6385329961776733,0.5454545454545454,0.4545454545454546,0.5454545454545454,0.4545454545454546,2.21,1.73,2.21,1.73,0.2054545454545453,-0.2136363636363636,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,74.60495236300504,61.5164252895742,9.0,9.0,9.0,9.0,0,0,0,0,0,0,2026-01-04,2026-01-04,2026-01-04,2,4,2-4 (0-1)
2026-01-04T18:00:00,2026-01-04,Premier L,England,2025-2026,Fulham,Liverpool,full,2026-01-03T23:59:59.999999,,,2025-08-01,2026-07-01,14,6,6,6,6,6,6,6,6,1.3963985443115234,1.4926605224609375,2.889059066772461,0.6054054054054054,0.3945945945945945,0.6054054054054054,0.3945945945945945,1.99,1.92,1.99,1.92,0.2047567567567567,-0.2423783783783785,0.6521739130434783,0.3478260869565217,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,20.297718685917086,85.96057981774258,9.0,9.0,9.0,9.0,0,0,0,0,0,0,2026-01-04,2026-01-04,2026-01-04,2,2,2-2 (1-0)
2026-01-04T18:00:00,2026-01-04,Premier L,England,2025-2026,Newcastle,C Palace,full,2026-01-03T23:59:59.999999,,,2025-08-01,2026-07-01,14,6,6,6,6,6,6,6,6,2.117013931274414,0.923971951007843,3.040985882282257,0.6054054054054054,0.3945945945945945,0.6054054054054054,0.3945945945945945,1.78,2.13,1.78,2.13,0.0776216216216216,-0.1595135135135136,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,63.83447225622053,57.83040323338994,9.0,9.0,9.0,9.0,0,0,0,0,0,0,2026-01-04,2026-01-04,2026-01-04,2,0,2-0 (0-0)
2026-01-04T18:00:00,2026-01-04,Premier L,England,2025-2026,Tottenham,Sunderland,full,2026-01-03T23:59:59.999999,,,2025-08-01,2026-07-01,14,6,6,6,6,6,6,6,6,1.5932530164718628,0.9336777925491332,2.526930809020996,0.5238095238095238,0.4761904761904761,0.5238095238095238,0.4761904761904761,2.16,1.76,2.16,1.76,0.1314285714285714,-0.161904761904762,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,99.6078448701279,19.49517366627923,9.0,9.0,9.0,9.0,0,0,0,0,0,0,2026-01-04,2026-01-04,2026-01-04,1,1,1-1 (1-0)
2026-01-04T20:30:00,2026-01-04,Premier L,England,2025-2026,Man City,Chelsea,full,2026-01-03T23:59:59.999999,,,2025-08-01,2026-07-01,14,6,6,6,6,6,6,6,6,3.103271484375,0.9776290655136108,4.080900549888611,0.7619047619047619,0.2380952380952381,0.7619047619047619,0.2380952380952381,1.38,3.15,1.38,3.15,0.0514285714285713,-0.2499999999999999,0.6521739130434783,0.3478260869565217,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,36.17769707673054,14.184035461685903,9.0,9.0,9.0,9.0,0,0,0,0,0,0,2026-01-04,2026-01-04,2026-01-04,1,1,1-1 (1-0)
2026-01-06T23:00:00,2026-01-06,Premier L,England,2025-2026,West Ham,Nottingham,full,2026-01-05T23:59:59.999999,,,2025-08-01,2026-07-01,14,1,1,1,1,1,1,1,1,1.904502391815185,1.2624590396881104,3.166961431503296,0.6054054054054054,0.3945945945945945,0.6054054054054054,0.3945945945945945,1.88,2.02,1.88,2.02,0.1381621621621622,-0.202918918918919,0.6521739130434783,0.3478260869565217,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,83.96343977992096,100.31681818965308,9.0,10.0,9.0,10.0,0,0,0,0,0,0,2026-01-06,2026-01-06,2026-01-06,1,2,1-2 (1-0)
2026-01-07T22:30:00,2026-01-07,Premier L,England,2025-2026,Bournemouth,Tottenham,full,2026-01-06T23:59:59.999999,,,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,8,1.730998992919922,1.1653980016708374,2.8963969945907597,0.6054054054054054,0.3945945945945945,0.6054054054054054,0.3945945945945945,1.77,2.13,1.77,2.13,0.0715675675675675,-0.1595135135135136,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,71.2335211549035,71.97326631850326,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-01-07,2026-01-07,2026-01-07,3,2,3-2 (2-1)
2026-01-07T22:30:00,2026-01-07,Premier L,England,2025-2026,Brentford,Sunderland,full,2026-01-06T23:59:59.999999,,,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,8,1.51125967502594,0.9931308031082152,2.5043904781341557,0.5238095238095238,0.4761904761904761,0.5238095238095238,0.4761904761904761,2.45,1.59,2.45,1.59,0.2833333333333334,-0.2428571428571428,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,105.78656017635494,17.434817885610393,9.0,10.0,9.0,10.0,0,0,0,0,0,0,2026-01-07,2026-01-07,2026-01-07,3,0,3-0 (1-0)
2026-01-07T22:30:00,2026-01-07,Premier L,England,2025-2026,C Palace,Aston Villa,full,2026-01-06T23:59:59.999999,,,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,8,1.464116096496582,1.4271477460861206,2.891263842582702,0.6054054054054054,0.3945945945945945,0.6054054054054054,0.3945945945945945,1.88,2.03,1.88,2.03,0.1381621621621622,-0.1989729729729731,0.6521739130434783,0.3478260869565217,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,41.75583939345924,61.39308546494964,10.0,9.0,10.0,9.0,0,0,0,0,0,0,2026-01-07,2026-01-07,2026-01-07,0,0,0-0 (0-0)
2026-01-07T22:30:00,2026-01-07,Premier L,England,2025-2026,Everton,Wolves,full,2026-01-06T23:59:59.999999,,,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,8,1.7497529983520508,0.788732647895813,2.538485646247864,0.5454545454545454,0.4545454545454546,0.5454545454545454,0.4545454545454546,2.06,1.85,2.06,1.85,0.1236363636363635,-0.1590909090909089,0.4892703862660943,0.5107296137339057,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,79.20849788424768,70.47554819204372,10.0,9.0,10.0,9.0,0,0,0,0,0,0,2026-01-07,2026-01-07,2026-01-07,1,1,1-1 (1-0)
2026-01-07T22:30:00,2026-01-07,Premier L,England,2025-2026,Fulham,Chelsea,full,2026-01-06T23:59:59.999999,,,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,8,1.344053864479065,1.4949417114257812,2.838995575904846,0.6054054054054054,0.3945945945945945,0.6054054054054054,0.3945945945945945,1.93,1.98,1.93,1.98,0.1684324324324324,-0.2187027027027027,0.6521739130434783,0.3478260869565217,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,33.73932865611955,79.53874301969911,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-01-07,2026-01-07,2026-01-07,2,1,2-1 (0-0)
2026-01-07T22:30:00,2026-01-07,Premier L,England,2025-2026,Man City,Brighton,full,2026-01-06T23:59:59.999999,,,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,8,2.80172061920166,1.0018987655639648,3.803619384765625,0.7619047619047619,0.2380952380952381,0.7619047619047619,0.2380952380952381,1.47,2.77,1.47,2.77,0.1199999999999998,-0.3404761904761904,0.6521739130434783,0.3478260869565217,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,60.24520589590344,17.991913998389872,10.0,9.0,10.0,9.0,0,0,0,0,0,0,2026-01-07,2026-01-07,2026-01-07,1,1,1-1 (1-0)
2026-01-07T23:15:00,2026-01-07,Premier L,England,2025-2026,Burnley,Man Utd,full,2026-01-06T23:59:59.999999,,,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,8,1.47800612449646,1.7678812742233276,3.245887398719788,0.6526946107784432,0.3473053892215568,0.6526946107784432,0.3473053892215568,1.87,2.04,1.87,2.04,0.2205389221556888,-0.2914970059880239,0.6521739130434783,0.3478260869565217,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,64.30294918273891,102.98974002685377,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-01-07,2026-01-07,2026-01-07,2,2,2-2 (1-0)
2026-01-07T23:15:00,2026-01-07,Premier L,England,2025-2026,Newcastle,Leeds,full,2026-01-06T23:59:59.999999,,,2025-08-01,2026-07-01,14,8,8,8,8,8,8,8,8,2.010560274124145,1.0639444589614868,3.0745047330856323,0.6054054054054054,0.3945945945945945,0.6054054054054054,0.3945945945945945,1.81,2.08,1.81,2.08,0.0957837837837838,-0.1792432432432432,0.5864661654135338,0.4135338345864662,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,78.22975520263451,25.50006764477729,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-01-07,2026-01-07,2026-01-07,4,3,4-3 (1-2)
2026-01-08T23:00:00,2026-01-08,Premier L,England,2025-2026,Arsenal,Liverpool,full,2026-01-07T23:59:59.999999,,,2025-08-01,2026-07-01,14,1,1,1,1,1,1,1,1,2.48414945602417,1.1780353784561155,3.6621848344802856,0.6526946107784432,0.3473053892215568,0.6526946107784432,0.3473053892215568,1.82,2.07,1.82,2.07,0.1879041916167665,-0.2810778443113774,0.6521739130434783,0.3478260869565217,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,27.237366497917836,8.364253146579268,9.0,10.0,9.0,10.0,0,0,0,0,0,0,2026-01-08,2026-01-08,2026-01-08,0,0,0-0 (0-0)
