date,league,season,home,away,score,bot_prediction_available,bot_market_if_any,bot_ev_pct,bot_market_result
2026-01-08,Premier L,2025-2026,Arsenal,Liverpool,0-0,no,,,
2026-01-07,Premier L,2025-2026,Bournemouth,Tottenham,3-2,no,,,
2026-01-07,Premier L,2025-2026,Brentford,Sunderland,3-0,no,,,
2026-01-07,Premier L,2025-2026,Burnley,Man Utd,2-2,no,,,
2026-01-07,Premier L,2025-2026,C Palace,Aston Villa,0-0,no,,,
2026-01-07,Premier L,2025-2026,Everton,Wolves,1-1,no,,,
2026-01-07,Premier L,2025-2026,Fulham,Chelsea,2-1,no,,,
2026-01-07,Premier L,2025-2026,Man City,Brighton,1-1,no,,,
2026-01-07,Premier L,2025-2026,Newcastle,Leeds,4-3,no,,,
2026-01-06,Premier L,2025-2026,West Ham,Nottingham,1-2,no,,,
2026-01-04,Premier L,2025-2026,Everton,Brentford,2-4,no,,,
2026-01-04,Premier L,2025-2026,Fulham,Liverpool,2-2,no,,,
2026-01-04,Premier L,2025-2026,Leeds,Man Utd,1-1,no,,,
2026-01-04,Premier L,2025-2026,Man City,Chelsea,1-1,no,,,
2026-01-04,Premier L,2025-2026,Newcastle,C Palace,2-0,no,,,
2026-01-04,Premier L,2025-2026,Tottenham,Sunderland,1-1,no,,,
2026-01-03,Premier L,2025-2026,Aston Villa,Nottingham,3-1,no,,,
2026-01-03,Premier L,2025-2026,Bournemouth,Arsenal,2-3,no,,,
2026-01-03,Premier L,2025-2026,Brighton,Burnley,2-0,no,,,
2026-01-03,Premier L,2025-2026,Wolves,West Ham,3-0,no,,,
