fixture_datetime,date,league,home,away,bot_recommendation,model_probability_pct,odds,expected_value_pct,official_pick_engine_pick
2026-02-21T15:30:00,2026-02-21,Premier L,Man City,Newcastle,NO_BET_DATA_MISSING,,,,
2026-02-21T18:00:00,2026-02-21,Premier L,Aston Villa,Leeds,NO_BET_DATA_MISSING,,,,
2026-02-21T18:00:00,2026-02-21,Premier L,Brentford,Brighton,NO_BET_DATA_MISSING,,,,
2026-02-21T18:00:00,2026-02-21,Premier L,C Palace,Wolves,NO_BET_DATA_MISSING,,,,
2026-02-21T18:00:00,2026-02-21,Premier L,Chelsea,Burnley,NO_BET_DATA_MISSING,,,,
2026-02-21T18:00:00,2026-02-21,Premier L,Nottingham,Liverpool,NO_BET_DATA_MISSING,,,,
2026-02-21T20:30:00,2026-02-21,Premier L,West Ham,Bournemouth,NO_BET_DATA_MISSING,,,,
2026-02-22T17:00:00,2026-02-22,Premier L,Sunderland,Fulham,NO_BET_DATA_MISSING,,,,
2026-02-22T19:30:00,2026-02-22,Premier L,Tottenham,Arsenal,NO_BET_DATA_MISSING,,,,
2026-02-23T23:00:00,2026-02-23,Premier L,Everton,Man Utd,NO_BET_DATA_MISSING,,,,
2026-02-27T23:00:00,2026-02-27,Premier L,Wolves,Aston Villa,NO_BET_DATA_MISSING,,,,
2026-02-28T15:30:00,2026-02-28,Premier L,Bournemouth,Sunderland,NO_BET_DATA_MISSING,,,,
2026-02-28T18:00:00,2026-02-28,Premier L,Brighton,Nottingham,NO_BET_DATA_MISSING,,,,
2026-02-28T18:00:00,2026-02-28,Premier L,Burnley,Brentford,NO_BET_DATA_MISSING,,,,
2026-02-28T18:00:00,2026-02-28,Premier L,Liverpool,West Ham,NO_BET_DATA_MISSING,,,,
