date,league,season,home,away,score,bot_prediction_available,bot_ou_pred,bot_btts_pred,bot_ou_result,bot_btts_result
2026-01-20,Championship,2025-2026,Charlton,Derby County,0-0,no,,,,
2026-01-20,Championship,2025-2026,Coventry City,Millwall,0-0,no,,,,
2026-01-20,Championship,2025-2026,Ipswich,Bristol City,0-0,no,,,,
2026-01-20,Championship,2025-2026,Oxford,QPR,0-0,no,,,,
2026-01-20,Championship,2025-2026,Preston,Hull,0-0,no,,,,
2026-01-20,Championship,2025-2026,Sheffield Wed,Birmingham,0-0,no,,,,
2026-01-20,Championship,2025-2026,Swansea,Blackburn,0-0,no,,,,
2026-01-20,Championship,2025-2026,West Bromwich,Norwich,0-0,no,,,,
2026-01-20,Championship,2025-2026,Wrexham,Leicester,0-0,no,,,,
2026-01-19,Liga 1,2025-2026,Petrolul P.,Univers. Craiova,0-0,no,,,,
2026-01-19,Ligue 2,2025-2026,Nancy,Guingamp,0-0,no,,,,
2026-01-19,Premier L,2025-2026,Brighton,Bournemouth,0-0,no,,,,
2026-01-19,Serie A,2025-2026,Cremonese,Hellas Verona,0-0,no,,,,
2026-01-19,Serie A,2025-2026,Lazio,Como,0-0,no,,,,
2026-01-18,Bundesliga,2025-2026,Augsburg,Freiburg,0-0,no,,,,
2026-01-18,Bundesliga,2025-2026,Stuttgart,Berlin,0-0,no,,,,
2026-01-18,Eredivisie,2025-2026,Almelo,Enschede,0-0,no,,,,
2026-01-18,Eredivisie,2025-2026,Feyenoord,Sparta,0-0,no,,,,
2026-01-18,Eredivisie,2025-2026,Heerenveen,Groningen,0-0,no,,,,
2026-01-18,Eredivisie,2025-2026,Volendam,Utrecht,0-0,no,,,,
2026-01-18,Liga 1,2025-2026,Cluj,Otelul,0-0,no,,,,
2026-01-18,Liga 1,2025-2026,Csikszereda M. Ciuc,Botosani,0-0,no,,,,
2026-01-18,Liga 1,2025-2026,Dinamo Bucuresti,U. Cluj,0-0,no,,,,
2026-01-18,Ligue 1,2025-2026,Lyon,Brestois,0-0,no,,,,
2026-01-18,Ligue 1,2025-2026,Nantes,Paris,0-0,no,,,,
2026-01-18,Ligue 1,2025-2026,Rennes,Le Havre,0-0,no,,,,
2026-01-18,Ligue 1,2025-2026,Strasbourg,Metz,0-0,no,,,,
2026-01-18,Premier L,2025-2026,Aston Villa,Everton,0-0,no,,,,
2026-01-18,Premier L,2025-2026,Wolves,Newcastle,0-0,no,,,,
2026-01-18,Primeira L,2025-2026,Santa Clara,Famalicao,0-0,no,,,,
2026-01-18,Primeira L,2025-2026,Sporting,Casa Pia,0-0,no,,,,
2026-01-18,Primeira L,2025-2026,Tondela,Braga,0-0,no,,,,
2026-01-18,Primeira L,2025-2026,V. Guimaraes,Porto,0-0,no,,,,
2026-01-18,Primera,2025-2026,Atletico,Alaves,0-0,no,,,,
2026-01-18,Primera,2025-2026,Celta Vigo,Vallecano,0-0,no,,,,
2026-01-18,Primera,2025-2026,Getafe,Valencia,0-0,no,,,,
2026-01-18,Primera,2025-2026,Real Sociedad,Barcelona,0-0,no,,,,
2026-01-18,Serie A,2025-2026,Bologna,Fiorentina,0-0,no,,,,
2026-01-18,Serie A,2025-2026,Milan,Lecce,0-0,no,,,,
2026-01-18,Serie A,2025-2026,Parma Calcio,Genoa,0-0,no,,,,
2026-01-18,Serie A,2025-2026,Torino,Roma,0-0,no,,,,
2026-01-18,Serie B,2025-2026,Delfino Pescara,Modena,0-0,no,,,,
2026-01-18,Serie B,2025-2026,Palermo,Spezia,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Alanyaspor,Fenerbahce,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Basaksehir,Karagumruk,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Besiktas,Kayserispor,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Galatasaray,Gaziantep,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Genclerbirligi,Samsunspor,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Goztepe,Rizespor,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Kasimpasa,Antalyaspor,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Kocaelispor,Trabzonspor,0-0,no,,,,
2026-01-18,Super Lig,2025-2026,Konyaspor,Eyupspor,0-0,no,,,,
2026-01-17,Bundesliga,2025-2026,Dortmund,St. Pauli,0-0,no,,,,
2026-01-17,Bundesliga,2025-2026,FC Koln,1. FSV Mainz 05,0-0,no,,,,
2026-01-17,Bundesliga,2025-2026,Hamburg,B. Monchengladbach,0-0,no,,,,
2026-01-17,Bundesliga,2025-2026,Hoffenheim,Leverkusen,0-0,no,,,,
2026-01-17,Bundesliga,2025-2026,Leipzig,B. Munich,0-0,no,,,,
