fixture_datetime,league,home,away,market,odds,p_model,ev,ev_min_req,score,eligible,reasons,mu_total,is_low_scoring,selected
2026-02-20T19:00:00,Ligue 2,Annecy,Red Star,OU25_OVER,0.0,0.4,-1.0,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(-1.000<0.040),1.4294066429138184,1,False
2026-02-20T19:00:00,Ligue 2,Annecy,Red Star,OU25_UNDER,0.0,0.6,-1.0,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(-1.000<0.020),1.4294066429138184,1,False
2026-02-20T19:00:00,Ligue 2,Annecy,Red Star,BTTS_YES,,0.25276086417215327,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.4294066429138184,1,False
2026-02-20T19:00:00,Ligue 2,Annecy,Red Star,BTTS_NO,,0.7472391358278467,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G2_FAIL_LOW_MU_TOTAL|G4_FAIL_LOW_EV(nan<0.040),1.4294066429138184,1,False
2026-02-20T19:00:00,Ligue 2,Boulogne,Clermont,OU25_OVER,0.0,0.4,-1.0,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G3_FAIL_LOW_NEFF|G4_FAIL_LOW_EV(-1.000<0.040),1.7436662316322329,1,False
2026-02-20T19:00:00,Ligue 2,Boulogne,Clermont,OU25_UNDER,0.0,0.6,-1.0,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G3_FAIL_LOW_NEFF|G4_FAIL_LOW_EV(-1.000<0.020),1.7436662316322329,1,False
2026-02-20T19:00:00,Ligue 2,Boulogne,Clermont,BTTS_YES,,0.3377054465340974,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G3_FAIL_LOW_NEFF|G4_FAIL_LOW_EV(nan<0.040),1.7436662316322329,1,False
2026-02-20T19:00:00,Ligue 2,Boulogne,Clermont,BTTS_NO,,0.6622945534659026,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G3_FAIL_LOW_NEFF|G4_FAIL_LOW_EV(nan<0.040),1.7436662316322329,1,False
2026-02-20T19:00:00,Ligue 2,Dunkerque,Bastia,OU25_OVER,0.0,0.4,-1.0,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G4_FAIL_LOW_EV(-1.000<0.040),1.659599542617798,1,False
2026-02-20T19:00:00,Ligue 2,Dunkerque,Bastia,OU25_UNDER,0.0,0.6,-1.0,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G4_FAIL_LOW_EV(-1.000<0.020),1.659599542617798,1,False
2026-02-20T19:00:00,Ligue 2,Dunkerque,Bastia,BTTS_YES,,0.31355505058566263,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G4_FAIL_LOW_EV(nan<0.040),1.659599542617798,1,False
2026-02-20T19:00:00,Ligue 2,Dunkerque,Bastia,BTTS_NO,,0.6864449494143374,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G4_FAIL_LOW_EV(nan<0.040),1.659599542617798,1,False
2026-02-20T19:00:00,Ligue 2,Le Mans,Guingamp,OU25_OVER,0.0,0.4,-1.0,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G4_FAIL_LOW_EV(-1.000<0.040),1.9514729976654053,1,False
2026-02-20T19:00:00,Ligue 2,Le Mans,Guingamp,OU25_UNDER,0.0,0.6,-1.0,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G4_FAIL_LOW_EV(-1.000<0.020),1.9514729976654053,1,False
2026-02-20T19:00:00,Ligue 2,Le Mans,Guingamp,BTTS_YES,,0.38401235217247554,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G4_FAIL_LOW_EV(nan<0.040),1.9514729976654053,1,False
2026-02-20T19:00:00,Ligue 2,Le Mans,Guingamp,BTTS_NO,,0.6159876478275245,,0.04,,False,G1_FAIL_MISSING_ODDS_BTTS|G4_FAIL_LOW_EV(nan<0.040),1.9514729976654053,1,False
2026-02-20T19:00:00,Ligue 2,Nancy,Grenoble,OU25_OVER,0.0,0.4,-1.0,0.04,,False,G1_FAIL_MISSING_ODDS_OU25|G4_FAIL_LOW_EV(-1.000<0.040),1.869619071483612,1,False
2026-02-20T19:00:00,Ligue 2,Nancy,Grenoble,OU25_UNDER,0.0,0.6,-1.0,0.02,,False,G1_FAIL_MISSING_ODDS_OU25|G4_FAIL_LOW_EV(-1.000<0.020),1.869619071483612,1,False
