fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,lg_avg_h_base,lg_avg_a_base,lg_avg_h_effective,lg_avg_a_effective,team_anchor_enabled,team_anchor_rel,team_anchor_blend,team_anchor_h,team_anchor_a,sim_anchor_h,sim_anchor_a,sim_gf_h,sim_ga_h,sim_gf_a,sim_ga_a,over_score,under_score,sterile_anchor_override_enabled,sterile_anchor_mode,sterile_anchor_target_total,sterile_anchor_blend,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,sterile_under25_boost_cap,sterile_under25_boost_applied,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_matchup_flag,sterile_matchup_score,sterile_valid_H,sterile_valid_A,sterile_weak_attack_H,sterile_weak_attack_A,sterile_strong_defense_H,sterile_strong_defense_A,sterile_strong_weak_attack_H,sterile_strong_weak_attack_A,sterile_stronger_defense_H,sterile_stronger_defense_A,sterile_moderate_trigger,sterile_strong_trigger,sterile_last10_valid_H,sterile_last10_valid_A,sterile_last10_weak_attack_H,sterile_last10_weak_attack_A,sterile_last10_strong_weak_attack_H,sterile_last10_strong_weak_attack_A,sterile_last10_strong_defense_H,sterile_last10_strong_defense_A,sterile_last10_stronger_defense_H,sterile_last10_stronger_defense_A,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-20T19:45:00,2026-02-20,Serie A,Italy,2025-2026,Sassuolo,Verona,poisson_formula,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.5983830063429805,0.9001502896694583,2.4985332960124387,1.5,1.2,1.5,1.2,1,0.0673157326782761,0.0572183727765347,1.489060275956693,1.1932571914274908,1.308807494648064,1.0821565828367248,0.4766030553006435,1.6247273690712647,0.5395857966021849,2.1410119339954843,0.4481613522384015,0.4902556683194194,1,NONE,,1.0,0.4558095779693109,0.544190422030689,0.4558095779693109,0.544190422030689,OU25_UNDER,0.05,0.0,,,,,,,0.4734736727689815,0.5265263272310184,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.3365786633913808,4.74526879471589,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,2,0,1,0,1,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,3,0,1
2026-02-21T14:00:00,2026-02-21,Serie A,Italy,2025-2026,Juventus,Como,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.552057029167852,1.3011157810737377,2.853172810241589,1.5,1.2,1.5,1.2,1,0.0703863253478554,0.0598283765456771,1.4970649339775368,1.2223553970879208,1.45094190763772,1.5736587615887123,2.5891415150335386,0.7728021236612275,2.3745153995161976,0.3127423002419012,0.5609781617060143,0.404440834158374,1,NONE,,1.0,0.5431232167681549,0.4568767832318451,0.5431232167681549,0.4568767832318451,OU25_OVER,0.05,0.0,,,,,,,0.5736213835682589,0.4263786164317411,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.736268362156974,3.3519316267392774,5.0,4.0,5.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,4,0,3,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,2,2
2026-02-21T17:00:00,2026-02-21,Serie A,Italy,2025-2026,Lecce,Inter,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,0.7214546023132582,1.1373499308540171,1.8588045331672756,1.5,1.2,1.5,1.2,1,0.3388993132544586,0.2880644162662898,1.1610577910448765,1.4221014151826992,0.3233805016659811,1.971013018759617,0.6467610033319622,1.679781537927519,2.2622444995917164,0.0,0.4281939157468194,0.525388027559044,1,NONE,,1.0,0.2851718204627955,0.7148281795372045,0.2851718204627955,0.7148281795372045,OU25_UNDER,0.05,0.0,,,,,,,0.3491464150590122,0.6508535849409878,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.694496566272293,4.727007248184945,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,3,0,4,4,3,3,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,2,2
2026-02-21T19:45:00,2026-02-21,Serie A,Italy,2025-2026,Cagliari,Lazio,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.1538772990017712,0.6289905789094837,1.7828678779112548,1.5,1.2,1.5,1.2,1,0.1548751126449136,0.1316438457481766,1.440369441144174,1.177882614451379,1.0470311694639016,1.031990736650692,1.3640822935219106,1.0690852922205225,0.9948961810808614,0.7299800454058926,0.3571774722974894,0.5783619498549091,1,NONE,,1.0,0.2647956629509663,0.7352043370490338,0.2647956629509663,0.7352043370490338,OU25_UNDER,0.05,0.0,,,,,,,0.3196140737104825,0.6803859262895176,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.788702339501368,3.774375563224568,5.0,4.0,5.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,3,3,2,2,0,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,0,X
2026-02-22T11:30:00,2026-02-22,Serie A,Italy,2025-2026,Genoa,Torino,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.3892854034843218,1.036286847074634,2.425572250558956,1.5,1.2,1.5,1.2,1,0.3717127206461462,0.3159558125492243,1.599283693504225,1.2368903427017548,1.814232843837166,1.3167579175205315,1.7988255046055437,1.355206456336762,1.278309378704301,1.8296401830687885,0.4498703654615513,0.4971054427536643,1,NONE,,1.0,0.4369577114429088,0.5630422885570912,0.4369577114429088,0.5630422885570912,OU25_UNDER,0.05,0.0,,,,,,,0.4844045923938919,0.5155954076061081,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.901065632724812,4.858563603230731,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,0,1,3,1,1,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,3,0,1
2026-02-22T14:00:00,2026-02-22,Serie A,Italy,2025-2026,Atalanta,Napoli,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2489678973083536,0.9285319980421596,2.1774998953505134,1.5,1.2,1.5,1.2,1,0.2984349833426051,0.2536697358412144,1.5355421196018226,1.158519910606547,1.6401117854440093,1.0364799440662575,1.794241999082867,0.3506692871421693,1.7222906009903458,1.4859815718051514,0.4449975054016591,0.5058965162803782,1,NONE,,1.0,0.3712469299410839,0.6287530700589161,0.3712469299410839,0.6287530700589161,OU25_UNDER,0.05,0.0,,,,,,,0.431390506656927,0.568609493343073,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,4.492174916713026,4.7501177707283,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,2,2,4,3,2,2,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,2,1,1
2026-02-22T17:00:00,2026-02-22,Serie A,Italy,2025-2026,AC Milan,Parma,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2008028149623455,0.8596579850601913,2.060460800022537,1.5,1.2,1.5,1.2,1,0.1030883371948155,0.0876250866155931,1.4953453559256804,1.1448496690313803,1.4468800060108462,0.5706102544518872,1.5254325886721842,0.4897909825852166,0.6514295263185577,1.3683274233495082,0.4424970516849324,0.5084465258122378,1,NONE,,1.0,0.3396835681420314,0.6603164318579686,0.3396835681420314,0.6603164318579686,OU25_UNDER,0.05,0.0,,,,,,,0.4031359120799473,0.5968640879200526,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.894798480749301,3.5154416859740776,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,4,3,3,3,2,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,0,1,2
2026-02-22T19:45:00,2026-02-22,Serie A,Italy,2025-2026,AS Roma,Cremonese,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.4876352867563385,1.3638764233989582,2.8515117101552967,1.5,1.2,1.5,1.2,1,0.0317649054742937,0.0270001696531496,1.5134346005693846,1.1769456031585568,1.9975746723805297,0.3461388155109688,2.078622942908348,0.4705685606681871,0.2217090703537506,1.9165264018527115,0.5439946497698348,0.4093405249335753,1,NONE,,1.0,0.5427334390713529,0.4572665609286471,0.5427334390713529,0.4572665609286471,OU25_OVER,0.05,0.0,,,,,,,0.5761829382224791,0.4238170617775209,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.158824527371469,4.588717618488936,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,3,4,0,2,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,3,0,1
2026-02-23T17:30:00,2026-02-23,Serie A,Italy,2025-2026,Fiorentina,Pisa,poisson_formula,2026-02-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.6877503694520648,1.5536789511019933,3.241429320554058,1.5,1.2,1.5,1.2,1,0.3240419251485884,0.2754356363763001,1.6681794277144888,1.240067244155275,2.110594293197131,1.3454686281064048,2.0019011866881096,1.2142695123674274,1.476667743845382,2.219287399706152,0.5538171919619634,0.4005204873486802,1,NONE,,1.0,0.6286728911245667,0.3713271088754333,0.6286728911245667,0.3713271088754333,OU25_OVER,0.05,0.0,,,,,,,0.6427043068078612,0.3572956931921388,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.734083461559433,4.620209625742942,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,0,1,2,2,1,1,0,0,0,0,2026-02-23,2026-02-23,2026-02-23,1,0,1
2026-02-23T19:45:00,2026-02-23,Serie A,Italy,2025-2026,Bologna,Udinese,poisson_formula,2026-02-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.2592647132382362,1.0399501072841368,2.299214820522373,1.5,1.2,1.5,1.2,1,0.2607905343784019,0.2216719542216416,1.4351767312383736,1.292587221325431,1.2075711765647543,1.6176767496390485,0.4157143589689163,1.7539466287383978,1.4814068705396994,1.9994279941605924,0.4435627311547197,0.5006171338376719,1,NONE,,1.0,0.4037528307496875,0.5962471692503125,0.4037528307496875,0.5962471692503125,OU25_UNDER,0.05,0.0,,,,,,,0.4630026083623673,0.5369973916376327,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.888459731409692,4.303952671892009,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,2,2,2,1,1,1,0,0,0,0,0,2026-02-23,2026-02-23,2026-02-23,1,0,1
