fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,lg_avg_h_base,lg_avg_a_base,lg_avg_h_effective,lg_avg_a_effective,team_anchor_enabled,team_anchor_rel,team_anchor_blend,team_anchor_h,team_anchor_a,sim_anchor_h,sim_anchor_a,sim_gf_h,sim_ga_h,sim_gf_a,sim_ga_a,over_score,under_score,sterile_anchor_override_enabled,sterile_anchor_mode,sterile_anchor_target_total,sterile_anchor_blend,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,sterile_under25_boost_cap,sterile_under25_boost_applied,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_matchup_flag,sterile_matchup_score,sterile_valid_H,sterile_valid_A,sterile_weak_attack_H,sterile_weak_attack_A,sterile_strong_defense_H,sterile_strong_defense_A,sterile_strong_weak_attack_H,sterile_strong_weak_attack_A,sterile_stronger_defense_H,sterile_stronger_defense_A,sterile_moderate_trigger,sterile_strong_trigger,sterile_last10_valid_H,sterile_last10_valid_A,sterile_last10_weak_attack_H,sterile_last10_weak_attack_A,sterile_last10_strong_weak_attack_H,sterile_last10_strong_weak_attack_A,sterile_last10_strong_defense_H,sterile_last10_strong_defense_A,sterile_last10_stronger_defense_H,sterile_last10_stronger_defense_A,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-20T19:30:00,2026-02-20,Serie B,Italy,2025-2026,Frosinone,Empoli,poisson_formula,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.2445312866497498,1.138087425998623,2.382618712648372,1.5,1.2,1.5,1.2,1,0.0966791908893203,0.0821773122559222,1.5034775928802255,1.1704728078313482,1.5423181628208449,0.8406892442929259,1.525139501561044,0.664967274840318,1.016411213745534,1.5594968240806455,0.4654270518123373,0.4818794416727561,1,NONE,,1.0,0.4257434541634414,0.5742565458365586,0.4257434541634414,0.5742565458365586,OU25_UNDER,0.05,0.0,,,,,,,0.4838013450180087,0.5161986549819912,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.4833959544466016,3.9353958262170665,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,1,1,0,0,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,2,2,X
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Mantova,Sampdoria,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.7827998750680218,1.107551396798803,2.890351271866825,1.5,1.2,1.5,1.2,1,0.1788176484639403,0.1519950011943492,1.4404887094549328,1.247037750967734,1.108465475328542,1.509469065417413,1.2170255345407963,2.014758664681141,1.0041794661536851,0.999905416116288,0.5298453824162384,0.4197121144520033,1,NONE,,1.0,0.5517981292430036,0.4482018707569963,0.5517981292430036,0.4482018707569963,OU25_OVER,0.05,0.0,,,,,,,0.557023142798862,0.442976857201138,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.8940882423197016,3.998617304916293,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,1,2,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,2,1,1
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Padova,Bari,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.6177756740119953,1.3107183192226064,2.9284939932346017,1.5,1.2,1.5,1.2,1,0.0,0.0,1.5,1.2,1.2805254333105631,0.983084697788794,1.2275312805484884,0.9667141643425436,0.9994552312350446,1.333519586072638,0.5021047035559661,0.4382535410274094,1,NONE,,1.0,0.5605989708281307,0.4394010291718693,0.5605989708281307,0.4394010291718693,OU25_OVER,0.05,0.0,,,,,,,0.5855118257534127,0.4144881742465873,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.756683067019355,2.9999799577033035,5.0,3.0,5.0,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,1,0,1,0,1,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,1,X
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Palermo,Sudtirol,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.3584934603580086,0.8194410410366724,2.177934501394681,1.5,1.2,1.5,1.2,1,0.1973883745811363,0.1677801183939659,1.4633868739703044,1.1003674683079332,1.281779114354158,0.6061720027034502,2.0073755776773683,0.4898443122426983,0.722499693164202,0.5561826510309473,0.4312827237133642,0.5092787658199133,1,NONE,,1.0,0.3713635759465797,0.6286364240534202,0.3713635759465797,0.6286364240534202,OU25_UNDER,0.05,0.0,,,,,,,0.4155496145196318,0.5844503854803682,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.986941872905682,4.569099029295461,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,2,0,2,1,2,0,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,3,0,1
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Venezia,Pescara,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.2745350648489104,1.1613774018086256,2.435912466657536,1.5,1.2,1.5,1.2,1,0.1458125072714326,0.1239406311807177,1.518253910226278,1.1671807093715805,1.6472794680193468,0.9352015209559016,1.4027226885919188,1.0345518753729,0.8358511665389035,1.8918362474467747,0.4846717213516742,0.4680650290442826,1,NONE,,1.0,0.439645147414481,0.560354852585519,0.439645147414481,0.560354852585519,OU25_UNDER,0.05,0.0,,,,,,,0.4949022560809977,0.5050977439190023,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.729062536357163,4.425544910273724,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,0,0,2,1,1,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,3,2,1
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Virtus Entella,Catanzaro,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.3249570848840933,1.1323438523739828,2.457300937258076,1.5,1.2,1.5,1.2,1,0.1938453510242957,0.1647685483706513,1.5083458912985657,1.1605651194341493,1.5506522111233951,0.9606649997477632,1.469961759147279,0.7433819508673498,1.1779480486281764,1.6313426630995114,0.4738803293874983,0.4742768982413085,1,NONE,,1.0,0.4451878868444263,0.5548121131555737,0.4451878868444263,0.5548121131555737,OU25_UNDER,0.05,0.0,,,,,,,0.4975744896569201,0.5024255103430799,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.969226755121479,4.929292720087048,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,2,1,1,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,3,2
2026-02-21T16:15:00,2026-02-21,Serie B,Italy,2025-2026,Cesena,Spezia,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.3783539409827124,0.8805784530212287,2.258932394003941,1.5,1.2,1.5,1.2,1,0.3449158682316568,0.2931784879969082,1.3588640430440342,1.12156857550975,1.0186005701842142,0.93247892426856,0.8510301208428159,1.4633047945886153,0.4016530539485047,1.1861710195256123,0.470713775082009,0.4790594158186613,1,NONE,,1.0,0.3930423818840513,0.6069576181159486,0.3930423818840513,0.6069576181159486,OU25_UNDER,0.05,0.0,,,,,,,0.4379258935929755,0.5620741064070245,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.724579341158284,4.953536307738516,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,1,0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,2,3,2
2026-02-21T18:30:00,2026-02-21,Serie B,Italy,2025-2026,Carrarese,Monza,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.2395050222934387,1.142069850780104,2.381574873073543,1.5,1.2,1.5,1.2,1,0.1685175726050728,0.1432399367143118,1.411440571890953,1.1002062995718818,0.8817406643673947,0.5033109151175201,1.004575953005444,0.0,1.0066218302350405,0.7589053757293456,0.5110816637362844,0.4469184964191973,1,NONE,,1.0,0.4254699351060122,0.5745300648939877,0.4254699351060122,0.5745300648939877,OU25_UNDER,0.05,0.0,,,,,,,0.4837197158898436,0.5162802841101564,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.842587863025364,3.986367808273585,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,1,2,2,2,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,1,2
2026-02-22T14:00:00,2026-02-22,Serie B,Italy,2025-2026,Juve Stabia,Modena,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.4666059811801484,1.072221791940828,2.5388277731209765,1.5,1.2,1.5,1.2,1,0.1958037682829923,0.1664332030405435,1.4359221246273228,1.1857982220765195,1.114993437595096,1.11466980347653,1.734905265977354,1.2289630372092355,1.0003765697438245,0.4950816092128381,0.4995127584874432,0.4542694837134949,1,NONE,,1.0,0.4661069879360306,0.5338930120639693,0.4661069879360306,0.5338930120639693,OU25_UNDER,0.05,0.0,,,,,,,0.506004451064474,0.493995548935526,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.988795492930743,3.9790188414149616,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,1,1,1,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,2,2
2026-02-22T16:15:00,2026-02-22,Serie B,Italy,2025-2026,Reggiana,Avellino,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.4679356228475844,0.6783962933308553,2.14633191617844,1.5,1.2,1.5,1.2,1,0.0,0.0,1.5,1.2,1.1447216453441968,1.0626414856558557,1.0,1.482662449484094,0.6426205218276178,1.2894432906883937,0.4098191371868794,0.5325117521046819,1,NONE,,1.0,0.3628627836553427,0.6371372163446574,0.3628627836553427,0.6371372163446574,OU25_UNDER,0.05,0.0,,,,,,,0.3790814784100262,0.6209185215899737,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.910455949993949,2.6749468236742766,4.0,3.0,4.0,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,1,1,1,1,1,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,1,X
