fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,lg_avg_h_base,lg_avg_a_base,lg_avg_h_effective,lg_avg_a_effective,sterile_anchor_override_enabled,sterile_anchor_mode,sterile_anchor_target_total,sterile_anchor_blend,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,sterile_under25_boost_cap,sterile_under25_boost_applied,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_matchup_flag,sterile_matchup_score,sterile_valid_H,sterile_valid_A,sterile_weak_attack_H,sterile_weak_attack_A,sterile_strong_defense_H,sterile_strong_defense_A,sterile_strong_weak_attack_H,sterile_strong_weak_attack_A,sterile_stronger_defense_H,sterile_stronger_defense_A,sterile_moderate_trigger,sterile_strong_trigger,sterile_last10_valid_H,sterile_last10_valid_A,sterile_last10_weak_attack_H,sterile_last10_weak_attack_A,sterile_last10_strong_weak_attack_H,sterile_last10_strong_weak_attack_A,sterile_last10_strong_defense_H,sterile_last10_strong_defense_A,sterile_last10_stronger_defense_H,sterile_last10_stronger_defense_A,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-20T19:45:00,2026-02-20,Serie A,Italy,2025-2026,Sassuolo,Verona,poisson_formula,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.6103192883161488,0.9053757535622928,2.5156950418784416,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4602054492258261,0.5397945507741739,0.4602054492258261,0.5397945507741739,OU25_UNDER,0.05,0.0,,,,,,,0.4765930205366213,0.5234069794633787,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.3365786633913808,4.74526879471589,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,2,0,1,0,1,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,3,0,1
2026-02-21T14:00:00,2026-02-21,Serie A,Italy,2025-2026,Juventus,Como,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.555027468623415,1.277619983674953,2.832647452298368,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.5382912399261482,0.4617087600738517,0.5382912399261482,0.4617087600738517,OU25_OVER,0.05,0.0,,,,,,,0.5689734230832211,0.4310265769167789,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.736268362156974,3.3519316267392774,5.0,4.0,5.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,4,0,3,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,2,2
2026-02-21T17:00:00,2026-02-21,Serie A,Italy,2025-2026,Lecce,Inter,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,0.9297116672933852,0.9676319497329536,1.8973436170263391,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.2955625378259466,0.7044374621740535,0.2955625378259466,0.7044374621740535,OU25_UNDER,0.05,0.0,,,,,,,0.3753171798990647,0.6246828201009352,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.694496566272293,4.727007248184945,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,3,0,4,4,3,3,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,2,2
2026-02-21T19:45:00,2026-02-21,Serie A,Italy,2025-2026,Cagliari,Lazio,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.2024841624546274,0.6413268633641268,1.8438110258187543,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.2811370552138268,0.7188629447861732,0.2811370552138268,0.7188629447861732,OU25_UNDER,0.05,0.0,,,,,,,0.3311731525180276,0.6688268474819723,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.788702339501368,3.774375563224568,5.0,4.0,5.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,4,3,3,2,2,0,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,0,X
2026-02-22T11:30:00,2026-02-22,Serie A,Italy,2025-2026,Genoa,Torino,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.3026788551823758,1.0052076240319308,2.3078864792143063,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4060513132949441,0.5939486867050559,0.4060513132949441,0.5939486867050559,OU25_UNDER,0.05,0.0,,,,,,,0.4616999242671588,0.5383000757328412,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.901065632724812,4.858563603230731,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,0,1,3,1,1,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,3,0,1
2026-02-22T14:00:00,2026-02-22,Serie A,Italy,2025-2026,Atalanta,Napoli,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.22025463216318,0.9612320066376836,2.181486638800864,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.3723178676811367,0.6276821323188633,0.3723178676811367,0.6276821323188633,OU25_UNDER,0.05,0.0,,,,,,,0.4352971523071994,0.5647028476928007,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,4.492174916713026,4.7501177707283,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,2,2,4,3,2,2,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,2,1,1
2026-02-22T17:00:00,2026-02-22,Serie A,Italy,2025-2026,AC Milan,Parma,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2044166941554266,0.9018438498506268,2.1062605440060533,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.3520587728012262,0.6479412271987738,0.3520587728012262,0.6479412271987738,OU25_UNDER,0.05,0.0,,,,,,,0.416004619562383,0.583995380437617,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.894798480749301,3.5154416859740776,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,4,3,3,3,2,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,0,1,2
2026-02-22T19:45:00,2026-02-22,Serie A,Italy,2025-2026,AS Roma,Cremonese,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.4748677299809765,1.391224874532161,2.8660926045131374,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.5461497626137397,0.4538502373862603,0.5461497626137397,0.4538502373862603,OU25_OVER,0.05,0.0,,,,,,,0.5793415100888188,0.4206584899111811,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.158824527371469,4.588717618488936,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,3,4,0,2,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,3,0,1
2026-02-23T17:30:00,2026-02-23,Serie A,Italy,2025-2026,Fiorentina,Pisa,poisson_formula,2026-02-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.520121526509328,1.5035771244346352,3.023698650943963,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.5820971900707839,0.4179028099292161,0.5820971900707839,0.4179028099292161,OU25_OVER,0.05,0.0,,,,,,,0.6076023221378816,0.3923976778621184,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.734083461559433,4.620209625742942,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,0,1,2,2,1,1,0,0,0,0,2026-02-23,2026-02-23,2026-02-23,1,0,1
2026-02-23T19:45:00,2026-02-23,Serie A,Italy,2025-2026,Bologna,Udinese,poisson_formula,2026-02-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.3155877915810494,0.9640465567042344,2.279634348285284,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.3985533175658464,0.6014466824341536,0.3985533175658464,0.6014466824341536,OU25_UNDER,0.05,0.0,,,,,,,0.4526584324485344,0.5473415675514657,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,4.888459731409692,4.303952671892009,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,2,2,2,1,1,1,0,0,0,0,0,2026-02-23,2026-02-23,2026-02-23,1,0,1
