fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,lg_avg_h_base,lg_avg_a_base,lg_avg_h_effective,lg_avg_a_effective,sterile_anchor_override_enabled,sterile_anchor_mode,sterile_anchor_target_total,sterile_anchor_blend,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,sterile_under25_boost_cap,sterile_under25_boost_applied,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_matchup_flag,sterile_matchup_score,sterile_valid_H,sterile_valid_A,sterile_weak_attack_H,sterile_weak_attack_A,sterile_strong_defense_H,sterile_strong_defense_A,sterile_strong_weak_attack_H,sterile_strong_weak_attack_A,sterile_stronger_defense_H,sterile_stronger_defense_A,sterile_moderate_trigger,sterile_strong_trigger,sterile_last10_valid_H,sterile_last10_valid_A,sterile_last10_weak_attack_H,sterile_last10_weak_attack_A,sterile_last10_strong_weak_attack_H,sterile_last10_strong_weak_attack_A,sterile_last10_strong_defense_H,sterile_last10_strong_defense_A,sterile_last10_stronger_defense_H,sterile_last10_stronger_defense_A,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-20T19:30:00,2026-02-20,Serie B,Italy,2025-2026,Frosinone,Empoli,poisson_formula,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.2416886253723411,1.1670364707268073,2.4087250960991486,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4325690380537672,0.5674309619462328,0.4325690380537672,0.5674309619462328,OU25_UNDER,0.05,0.0,,,,,,,0.4897458176789832,0.5102541823210167,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.4833959544466016,3.9353958262170665,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,1,1,0,0,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,2,2,X
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Mantova,Sampdoria,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.856317655485057,1.0660000290371408,2.9223176845221976,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.5591783753927615,0.4408216246072385,0.5591783753927615,0.4408216246072385,OU25_OVER,0.05,0.0,,,,,,,0.5531786141986511,0.4468213858013489,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.8940882423197016,3.998617304916293,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,1,2,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,2,1,1
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Padova,Bari,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.6177756740119953,1.3107183192226064,2.9284939932346017,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.5605989708281307,0.4394010291718693,0.5605989708281307,0.4394010291718693,OU25_OVER,0.05,0.0,,,,,,,0.5855118257534127,0.4144881742465873,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.756683067019355,2.9999799577033035,5.0,3.0,5.0,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,1,0,1,0,1,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,1,X
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Palermo,Sudtirol,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.3929325552007497,0.8937304769747172,2.286663032175466,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4004211043051814,0.5995788956948185,0.4004211043051814,0.5995788956948185,OU25_UNDER,0.05,0.0,,,,,,,0.4441323369018952,0.5558676630981048,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.986941872905682,4.569099029295461,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,2,0,2,1,2,0,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,3,0,1
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Venezia,Pescara,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.2594739898301444,1.1938577175598484,2.4533317073899927,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4441609503914334,0.5558390496085666,0.4441609503914334,0.5558390496085666,OU25_UNDER,0.05,0.0,,,,,,,0.4991533641241069,0.5008466358758931,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.729062536357163,4.425544910273724,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,0,0,2,1,1,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,3,2,1
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Virtus Entella,Catanzaro,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.3176170851015825,1.170880179348975,2.488497264450557,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4532326718340063,0.5467673281659937,0.4532326718340063,0.5467673281659937,OU25_UNDER,0.05,0.0,,,,,,,0.5051681474149419,0.4948318525850581,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.969226755121479,4.929292720087048,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,2,1,1,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,3,2
2026-02-21T16:15:00,2026-02-21,Serie B,Italy,2025-2026,Cesena,Spezia,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.520738131154173,0.942293431949372,2.463031563103545,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4466688238449522,0.5533311761550478,0.4466688238449522,0.5533311761550478,OU25_UNDER,0.05,0.0,,,,,,,0.4768928497204588,0.5231071502795411,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,4.724579341158284,4.953536307738516,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,1,0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,2,3,2
2026-02-21T18:30:00,2026-02-21,Serie B,Italy,2025-2026,Carrarese,Monza,poisson_formula,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.3158515922638303,1.2449988206543368,2.5608504129181675,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.471698106486595,0.528301893513405,0.471698106486595,0.528301893513405,OU25_UNDER,0.05,0.0,,,,,,,0.5210519898211636,0.4789480101788363,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,3.842587863025364,3.986367808273585,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,1,2,2,2,1,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,1,2
2026-02-22T14:00:00,2026-02-22,Serie B,Italy,2025-2026,Juve Stabia,Modena,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.5319722942138674,1.084860509330595,2.6168328035444626,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4857872557800931,0.5142127442199069,0.4857872557800931,0.5142127442199069,OU25_UNDER,0.05,0.0,,,,,,,0.5189758698500133,0.4810241301499867,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,3.988795492930743,3.9790188414149616,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,1,1,1,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,2,2
2026-02-22T16:15:00,2026-02-22,Serie B,Italy,2025-2026,Reggiana,Avellino,poisson_formula,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.4679356228475844,0.6783962933308553,2.14633191617844,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.3628627836553427,0.6371372163446574,0.3628627836553427,0.6371372163446574,OU25_UNDER,0.05,0.0,,,,,,,0.3790814784100262,0.6209185215899737,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.910455949993949,2.6749468236742766,4.0,3.0,4.0,3.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,1,1,1,1,1,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,1,X
