fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,lg_avg_h_base,lg_avg_a_base,lg_avg_h_effective,lg_avg_a_effective,sterile_anchor_override_enabled,sterile_anchor_mode,sterile_anchor_target_total,sterile_anchor_blend,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,sterile_under25_boost_cap,sterile_under25_boost_applied,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_matchup_flag,sterile_matchup_score,sterile_valid_H,sterile_valid_A,sterile_weak_attack_H,sterile_weak_attack_A,sterile_strong_defense_H,sterile_strong_defense_A,sterile_strong_weak_attack_H,sterile_strong_weak_attack_A,sterile_stronger_defense_H,sterile_stronger_defense_A,sterile_moderate_trigger,sterile_strong_trigger,sterile_last10_valid_H,sterile_last10_valid_A,sterile_last10_weak_attack_H,sterile_last10_weak_attack_A,sterile_last10_strong_weak_attack_H,sterile_last10_strong_weak_attack_A,sterile_last10_strong_defense_H,sterile_last10_strong_defense_A,sterile_last10_stronger_defense_H,sterile_last10_stronger_defense_A,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-11-01T14:30:00,2025-11-01,Bundesliga,Germany,2025-2026,1. FC Heidenheim,Eintracht Frankfurt,poisson_formula,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.665777903856309,1.8686688633658692,3.534446767222178,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.6854711030487795,0.3145288969512205,0.6854711030487795,0.3145288969512205,OU25_OVER,0.05,0.0,,,,,,,0.6858023918890656,0.3141976081109344,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.992398342223605,3.8636714921441744,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,1,1,0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,1,1,X
2025-11-01T14:30:00,2025-11-01,Bundesliga,Germany,2025-2026,FSV Mainz 05,Werder Bremen,poisson_formula,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.2249908549589297,1.926247830210408,3.151238685169337,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.6098208935244238,0.3901791064755762,0.6098208935244238,0.3901791064755762,OU25_OVER,0.05,0.0,,,,,,,0.6033448504695205,0.3966551495304795,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,3.8929558249453913,3.4305017626874537,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,1,0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,1,1,X
2025-11-01T14:30:00,2025-11-01,Bundesliga,Germany,2025-2026,RB Leipzig,VfB Stuttgart,poisson_formula,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,2.018542702640126,1.416217509917424,3.43476021255755,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.6669079230005227,0.3330920769994773,0.6669079230005227,0.3330920769994773,OU25_OVER,0.05,0.0,,,,,,,0.6567541848581593,0.3432458151418407,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,2.9148711963462137,3.805268010997179,3.0,4.0,3.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,1,1,1,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,3,1,1
2025-11-01T14:30:00,2025-11-01,Bundesliga,Germany,2025-2026,Union Berlin,SC Freiburg,poisson_formula,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,2.059420974368761,1.3920761251256522,3.4514970994944134,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.6700773183837577,0.3299226816162423,0.6700773183837577,0.3299226816162423,OU25_OVER,0.05,0.0,,,,,,,0.6556116256235607,0.3443883743764393,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,3.94256784942818,3.962456154956107,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,1,1,0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,0,0,X
2025-11-02T16:30:00,2025-11-02,Bundesliga,Germany,2025-2026,VfL Wolfsburg,1899 Hoffenheim,poisson_formula,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,2.200467523552446,1.59313914060206,3.793606664154506,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.7300483150112431,0.2699516849887569,0.7300483150112431,0.2699516849887569,OU25_OVER,0.05,0.0,,,,,,,0.7084764222272967,0.2915235777727033,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.999540923411892,3.986886149510675,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,2,0,1,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,2,3,2
2025-11-07T19:30:00,2025-11-07,Bundesliga,Germany,2025-2026,Werder Bremen,VfL Wolfsburg,poisson_formula,2025-11-06T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.7561973395834394,1.0907791639935889,2.846976503577028,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.5416660130730333,0.4583339869269667,0.5416660130730333,0.4583339869269667,OU25_OVER,0.05,0.0,,,,,,,0.5493645121807299,0.4506354878192701,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.9974928474609945,3.968252483185851,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,0,1,1,0,0,0,0,0,0,0,2025-11-07,2025-11-07,2025-11-07,2,1,1
2025-11-08T14:30:00,2025-11-08,Bundesliga,Germany,2025-2026,1899 Hoffenheim,RB Leipzig,poisson_formula,2025-11-07T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,2.2193938414026086,1.02539545434403,3.2447892957466387,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.6293438038547338,0.3706561961452662,0.6293438038547338,0.3706561961452662,OU25_OVER,0.05,0.0,,,,,,,0.5716472071011223,0.4283527928988777,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.268921480624828,4.967203806512787,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,4,0,1,0,0,0,0,2025-11-08,2025-11-08,2025-11-08,3,1,1
2025-11-08T14:30:00,2025-11-08,Bundesliga,Germany,2025-2026,Bayer Leverkusen,1. FC Heidenheim,poisson_formula,2025-11-07T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,2.079733316681512,1.6042449937473713,3.6839783104288832,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.7118325726011332,0.2881674273988668,0.7118325726011332,0.2881674273988668,OU25_OVER,0.05,0.0,,,,,,,0.6991180108516571,0.3008819891483428,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.537446817022289,3.7776067106077953,5.0,4.0,5.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0,0,1,0,1,0,0,0,0,0,2025-11-08,2025-11-08,2025-11-08,6,0,1
2025-11-08T14:30:00,2025-11-08,Bundesliga,Germany,2025-2026,Hamburger SV,Borussia Dortmund,poisson_formula,2025-11-07T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,2.4606302998101737,1.3695980707855742,3.830228370595748,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.7358969793258036,0.2641030206741964,0.7358969793258036,0.2641030206741964,OU25_OVER,0.05,0.0,,,,,,,0.6821144269656726,0.3178855730343274,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.526035870935552,4.296811972837189,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,0,1,1,2,0,1,0,0,0,0,2025-11-08,2025-11-08,2025-11-08,1,1,X
2025-11-09T14:30:00,2025-11-09,Bundesliga,Germany,2025-2026,SC Freiburg,FC St. Pauli,poisson_formula,2025-11-08T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.4900909205015445,1.4658252278286712,2.955916148330216,1.7563451776649746,1.4314720812182742,1.7563451776649746,1.4314720812182742,1,NONE,,1.0,0.566860134471393,0.4331398655286069,0.566860134471393,0.4331398655286069,OU25_OVER,0.05,0.0,,,,,,,0.5957914270221404,0.4042085729778596,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.99252195695545,3.999160524192389,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,0,2,1,0,0,0,0,0,0,0,2025-11-09,2025-11-09,2025-11-09,2,1,1
