country,league,matches,ou_hits,ou_hit_pct,btts_hits,btts_hit_pct,status,matches_prev,ou_hits_prev,ou_hit_pct_prev,btts_hits_prev,btts_hit_pct_prev,status_prev,ou_hit_pct_delta,btts_hit_pct_delta,matches_delta,ou_hits_delta,btts_hits_delta
France,Ligue 1,0,0,,0,,empty,0,0,,0,,empty,,,0,0,0
France,Ligue 2,0,0,,0,,empty,0,0,,0,,empty,,,0,0,0
Turkey,Süper Lig,0,0,,0,,empty,0,0,,0,,empty,,,0,0,0
England,Championship,12,7,58.33,5,41.67,ok,12,7,58.33,6,50.0,ok,0.0,-8.329999999999998,0,0,-1
England,Premier League,10,7,70.0,4,40.0,ok,10,7,70.0,5,50.0,ok,0.0,-10.0,0,0,-1
Germany,Bundesliga,9,5,55.56,6,66.67,ok,9,5,55.56,6,66.67,ok,0.0,0.0,0,0,0
Italy,Serie A,10,5,50.0,6,60.0,ok,10,5,50.0,6,60.0,ok,0.0,0.0,0,0,0
Italy,Serie B,10,3,30.0,5,50.0,ok,10,3,30.0,5,50.0,ok,0.0,0.0,0,0,0
Netherlands,Eredivisie,9,5,55.56,4,44.44,ok,9,5,55.56,4,44.44,ok,0.0,0.0,0,0,0
Portugal,Primeira Liga,9,4,44.44,6,66.67,ok,9,4,44.44,6,66.67,ok,0.0,0.0,0,0,0
Romania,Liga I,8,3,37.5,5,62.5,ok,8,3,37.5,5,62.5,ok,0.0,0.0,0,0,0
Spain,La Liga,10,6,60.0,3,30.0,ok,10,6,60.0,3,30.0,ok,0.0,0.0,0,0,0
