fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,lg_avg_h_base,lg_avg_a_base,lg_avg_h_effective,lg_avg_a_effective,sterile_anchor_override_enabled,sterile_anchor_mode,sterile_anchor_target_total,sterile_anchor_blend,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,sterile_under25_boost_cap,sterile_under25_boost_applied,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_matchup_flag,sterile_matchup_score,sterile_valid_H,sterile_valid_A,sterile_weak_attack_H,sterile_weak_attack_A,sterile_strong_defense_H,sterile_strong_defense_A,sterile_strong_weak_attack_H,sterile_strong_weak_attack_A,sterile_stronger_defense_H,sterile_stronger_defense_A,sterile_moderate_trigger,sterile_strong_trigger,sterile_last10_valid_H,sterile_last10_valid_A,sterile_last10_weak_attack_H,sterile_last10_weak_attack_A,sterile_last10_strong_weak_attack_H,sterile_last10_strong_weak_attack_A,sterile_last10_strong_defense_H,sterile_last10_strong_defense_A,sterile_last10_stronger_defense_H,sterile_last10_stronger_defense_A,sterile_H,sterile_A,assassin_H,assassin_A
2026-02-27T20:00:00,2026-02-27,Premier League,England,,Wolves,Aston Villa,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.3305404021002707,1.2675570152361868,2.5980974173364575,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4810924069591033,0.5189075930408966,0.4810924069591033,0.5189075930408966,OU25_UNDER,0.05,0.0,,,,,,,0.5285621206463018,0.4714378793536982,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,5.919608794203228,4.628624723524123,6.0,5.0,6.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,2,0,0,2,1,2,0,0,0,0,0
2026-02-28T12:30:00,2026-02-28,Premier League,England,,Bournemouth,Sunderland,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.246494129154807,0.971258467823113,2.21775259697792,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.3820424559884225,0.6179575440115774,0.3820424559884225,0.6179575440115774,OU25_UNDER,0.05,0.0,,,,,,,0.4427361889281401,0.55726381107186,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,4.902223117638174,4.863796791562974,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,0,2,0,0,0,0,0,0,0,0
2026-02-28T15:00:00,2026-02-28,Premier League,England,,Newcastle,Everton,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.7458925909523497,0.9516207346793941,2.6975133256317436,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.5057638155430954,0.49423618445690465,0.5057638155430954,0.49423618445690465,OU25_OVER,0.05,0.0,,,,,,,0.506768940408271,0.49323105959172897,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,4.983786801993663,4.996596228741625,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,1,3,1,1,0,0,0,0
2026-02-28T15:00:00,2026-02-28,Premier League,England,,Liverpool,West Ham,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.4249251081438499,1.182373280858172,2.607298389002022,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4834007095067981,0.516599290493202,0.4834007095067981,0.516599290493202,OU25_UNDER,0.05,0.0,,,,,,,0.5266566535459161,0.47334334645408394,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,4.977453650603076,4.819374036632323,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,1,4,0,3,0,0,0,0,0
2026-02-28T15:00:00,2026-02-28,Premier League,England,,Burnley,Brentford,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.9283988095036397,1.1112958784370488,3.0396946879406883,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.5856381364604134,0.4143618635395866,0.5856381364604134,0.4143618635395866,OU25_OVER,0.05,0.0,,,,,,,0.5733365324086577,0.4266634675913423,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.16666666666666669,0,0,4.84905151071061,4.846218115613614,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,2,0,0,1,0,0,0,0,0,0
2026-02-28T17:30:00,2026-02-28,Premier League,England,,Leeds,Manchester City,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.2787375730489083,1.0272540662031306,2.305991639252039,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.405549310736709,0.594450689263291,0.405549310736709,0.594450689263291,OU25_UNDER,0.05,0.0,,,,,,,0.4632827758346186,0.5367172241653815,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,4.841035383666077,4.991959438978864,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,1,1,2,1,2,1,0,0,0,0
2026-03-01T14:00:00,2026-03-01,Premier League,England,,Manchester United,Crystal Palace,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.4669903190919236,0.9571174290644036,2.4241077481563273,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.43657653092808935,0.5634234690719107,0.43657653092808935,0.5634234690719107,OU25_UNDER,0.05,0.0,,,,,,,0.4739403749293511,0.5260596250706489,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,4.564236287626017,4.94364660989109,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,2,4,2,2,1,0,0,0,0
2026-03-01T14:00:00,2026-03-01,Premier League,England,,Fulham,Tottenham,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.0921661538321976,1.111985479041691,2.204151632873889,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.378399219060096,0.621600780939904,0.378399219060096,0.621600780939904,OU25_UNDER,0.05,0.0,,,,,,,0.4459498348027393,0.5540501651972607,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333326,0.16666666666666663,0,0,4.945659946563682,4.9470923874971975,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,2,2,3,3,2,1,0,0,0,0
2026-03-01T14:00:00,2026-03-01,Premier League,England,,Brighton,Nottingham Forest,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.145860529133618,0.7861285841091301,1.931989113242748,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.3049222146685008,0.6950777853314992,0.3049222146685008,0.6950777853314992,OU25_UNDER,0.05,0.0,,,,,,,0.37130435189635713,0.6286956481036429,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,4.9882115737336425,4.817780077452818,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,0,2,2,3,2,2,0,0,0,0
2026-03-01T16:30:00,2026-03-01,Premier League,England,,Arsenal,Chelsea,poisson_formula,2026-02-23T23:59:59.999999,England,Premier League,2025-08-01,2026-07-01,30,0,3,136,136,136,136,14,14,14,14,14,1.2318645681488571,1.2022299016676141,2.434094469816471,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.43917303976573263,0.5608269602342674,0.43917303976573263,0.5608269602342674,OU25_UNDER,0.05,0.0,,,,,,,0.4954056926294793,0.5045943073705207,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.16666666666666669,0,0,4.972109762500631,4.03960553030112,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,1,4,2,2,0,0,0,0,0
