fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,lg_avg_h_base,lg_avg_a_base,lg_avg_h_effective,lg_avg_a_effective,sterile_anchor_override_enabled,sterile_anchor_mode,sterile_anchor_target_total,sterile_anchor_blend,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,sterile_under25_boost_cap,sterile_under25_boost_applied,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_matchup_flag,sterile_matchup_score,sterile_valid_H,sterile_valid_A,sterile_weak_attack_H,sterile_weak_attack_A,sterile_strong_defense_H,sterile_strong_defense_A,sterile_strong_weak_attack_H,sterile_strong_weak_attack_A,sterile_stronger_defense_H,sterile_stronger_defense_A,sterile_moderate_trigger,sterile_strong_trigger,sterile_last10_valid_H,sterile_last10_valid_A,sterile_last10_weak_attack_H,sterile_last10_weak_attack_A,sterile_last10_strong_weak_attack_H,sterile_last10_strong_weak_attack_A,sterile_last10_strong_defense_H,sterile_last10_strong_defense_A,sterile_last10_stronger_defense_H,sterile_last10_stronger_defense_A,sterile_H,sterile_A,assassin_H,assassin_A
2026-02-27T20:00:00,2026-02-27,La Liga,Spain,,Levante,Alaves,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.087467779735267,1.0935586759562523,2.1810264556915193,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.37219430326194647,0.6278056967380535,0.37219430326194647,0.6278056967380535,OU25_UNDER,0.05,0.0,,,,,,,0.44083447669560555,0.5591655233043944,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,5.78424968765563,4.904747909599698,6.0,5.0,6.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,2,1,2,3,2,0,0,0,0,0,0
2026-02-28T13:00:00,2026-02-28,La Liga,Spain,,Rayo Vallecano,Athletic Club,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.1936374080428744,2.030048693690405,3.2236861017332794,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.6250080424204495,0.3749919575795505,0.6250080424204495,0.3749919575795505,OU25_OVER,0.05,0.0,,,,,,,0.605362227574683,0.39463777242531695,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,3.991346344388032,3.972222531601083,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,3,1,1,1,0,0,0,0
2026-02-28T15:15:00,2026-02-28,La Liga,Spain,,Barcelona,Villarreal,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.6762989971077162,0.9215226052648742,2.5978216023725906,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4810218105006676,0.5189781894993324,0.4810218105006676,0.5189781894993324,OU25_UNDER,0.05,0.0,,,,,,,0.48945781168827285,0.5105421883117272,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333326,0.16666666666666663,0,0,2.9847262806573585,4.678123460546292,3.0,5.0,3.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,1,2,2,0,1,0,0,0,0
2026-02-28T17:30:00,2026-02-28,La Liga,Spain,,Mallorca,Real Sociedad,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,2.2782413815919,1.1365267878160932,3.414768169407993,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.6630730708524301,0.33692692914756994,0.6630730708524301,0.33692692914756994,OU25_OVER,0.05,0.0,,,,,,,0.609488033080007,0.390511966919993,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,3.848866606252053,3.384572657593107,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,0,1,1,0,0,0,0,0,0
2026-02-28T20:00:00,2026-02-28,La Liga,Spain,,Oviedo,Atletico Madrid,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.244351169925923,1.0881421993985305,2.3324933693244536,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.41255900231402054,0.5874409976859795,0.41255900231402054,0.5874409976859795,OU25_UNDER,0.05,0.0,,,,,,,0.472083964089137,0.527916035910863,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0,0,3.9962003168840745,3.9888141513883104,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,1,1,1,1,1,0,0,0,0,0
2026-03-01T13:00:00,2026-03-01,La Liga,Spain,,Elche,Espanyol,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.4461953752882164,0.9958227107053231,2.4420180859935394,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4412293691209468,0.5587706308790532,0.4412293691209468,0.5587706308790532,OU25_UNDER,0.05,0.0,,,,,,,0.48210129665380513,0.5178987033461948,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.16666666666666669,0,0,4.21412809512239,4.919671759529561,5.0,5.0,5.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,3,1,1,2,1,0,0,0,0,0,0
2026-03-01T15:15:00,2026-03-01,La Liga,Spain,,Valencia,Osasuna,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.3239398602560892,0.8451652126400189,2.169105072896108,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.3689907108591914,0.6310092891408086,0.3689907108591914,0.6310092891408086,OU25_UNDER,0.05,0.0,,,,,,,0.4187085507327854,0.5812914492672145,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.16666666666666669,0,0,3.937459763975212,3.9828227400265215,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,1,1,1,0,1,0,0,0,0,0
2026-03-01T17:30:00,2026-03-01,La Liga,Spain,,Real Betis,Sevilla,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.2809460942907853,1.3550722248344913,2.6360183191252764,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.4905742616073896,0.5094257383926104,0.4905742616073896,0.5094257383926104,OU25_UNDER,0.05,0.0,,,,,,,0.5359429335129905,0.4640570664870095,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.16666666666666669,0,0,3.9014038614968363,3.9496466417519365,4.0,4.0,4.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,1,2,0,0,0,0,0,0,0
2026-03-01T20:00:00,2026-03-01,La Liga,Spain,,Girona,Celta Vigo,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.1005767652482157,0.9912408370067757,2.0918176022549915,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.348158811551843,0.651841188448157,0.348158811551843,0.651841188448157,OU25_UNDER,0.05,0.0,,,,,,,0.41966746455898213,0.5803325354410178,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333326,0.16666666666666663,0,0,3.8830749582133732,4.754654016450936,4.0,5.0,4.0,5.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,0,1,3,2,3,0,0,0,0,0
2026-03-02T20:00:00,2026-03-02,La Liga,Spain,,Real Madrid,Getafe,poisson_formula,2026-02-23T23:59:59.999999,Spain,La Liga,2025-08-01,2026-07-01,30,0,3,136,136,136,136,10,10,10,10,10,1.9412406443858075,0.9249009516995897,2.8661415960853973,1.5,1.2,1.5,1.2,1,NONE,,1.0,0.5461556352334412,0.45384436476655876,0.5461556352334412,0.45384436476655876,OU25_OVER,0.05,0.0,,,,,,,0.5168216449186717,0.48317835508132834,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.33333333333333326,0.16666666666666663,0,0,4.939172149477345,3.5837748193264516,5.0,4.0,5.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,0,1,2,0,1,0,0,0,0,0
