country,league,alert,verif,sezonul,datameci,orameci,etapa,txtechipa1,place1t,place1a,txtechipa2,place2t,place2d,customh,customa,home_val,avghome,home_val_2,home_val_3,home_val_4,home_val_5,away_val,avgaway,away_val_2,away_val_3,away_val_4,away_val_5,cotaa,cotae,cotad,cotao0,cotau0,cotao1,cotau1,cotao,cotau,cotao3,cotau3,cotao4,cotau4,gg,ng,result,scor1,scor2,scorp1,scorp2,formah,formaa,formadif,h2h,suth,suta,sutht,sutat,corh,cora,foulsh,foulsa,yellowh,yellowa,ballph,ballpa,goalminh,goalmina,swinh,sdrawh,slosth,sscoreh,sreceiveh,soverh,sunderh,swina,sdrawa,slosta,sscorea,sreceivea,sovera,sundera,jucatori1,jucatori2,wdlh1,wdlh2,wdlh3,wdlh4,wdlh5,wdla1,wdla2,wdla3,wdla4,wdla5,custom3,custom4,codechipa1,codechipa2
"England","Premier L","","","26",15/08/2025,"2300","01","Liverpool","12","12","Bournemouth"," 3"," 3",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.310,6.400,8.860,1.010,26.000,1.110,6.500,1.380,3.160,2.000,1.900,3.220,1.360,1.680,2.270,"4-2 (1-0)",4,2,1,0,0,0,0,"",19,10,10,3,6,7,7,10,1,2,61,39,"37;49;88;90","64;76","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01002","01063"
"England","Premier L","","","26",16/08/2025,"1530","01","Aston Villa"," 2"," 2","Newcastle","15","15",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.260,3.690,3.130,1.020,15.000,1.170,4.500,1.640,2.340,2.560,1.550,4.500,1.170,1.530,2.580,"0-0 (0-0)",0,0,0,0,0,0,0,"",3,16,3,3,3,6,13,11,1,1,40,60,"","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01003","01016"
"England","Premier L","","","26",16/08/2025,"1800","01","Brighton"," 5"," 5","Fulham","10","10",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.980,3.650,3.910,1.030,13.000,1.190,4.330,1.770,2.140,2.840,1.450,5.000,1.130,1.700,2.210,"1-1 (0-0)",1,1,0,0,0,0,0,"",10,7,4,2,4,3,16,15,3,3,50,50,"55","90","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01036","01010"
"England","Premier L","","","26",16/08/2025,"1800","01","Sunderland","17","17","West Ham","19","19",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.330,3.430,2.270,1.060,10.000,1.300,3.700,2.010,1.880,3.330,1.350,6.500,1.110,1.760,2.120,"3-0 (0-0)",3,0,0,0,0,0,0,"",10,12,5,4,5,7,8,10,0,1,37,63,"61;73;90","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01021","01022"
"England","Premier L","","","26",16/08/2025,"1800","01","Tottenham","18","18","Burnley"," 6"," 6",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.430,4.500,8.400,1.040,13.000,1.220,4.330,1.780,2.120,2.900,1.440,5.000,1.170,2.010,1.850,"3-0 (1-0)",3,0,1,0,0,0,0,"",16,14,6,4,6,5,14,8,0,0,68,32,"10;60;66","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01001","01030"
"England","Premier L","","","26",16/08/2025,"2030","01","Wolves","20","20","Man City","13","13",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.850,5.020,1.440,1.030,15.000,1.200,4.500,1.640,2.340,2.630,1.520,4.500,1.200,1.810,2.050,"0-4 (0-2)",0,4,0,2,0,0,0,"",9,15,3,4,4,6,13,7,1,2,42,58,"","34;37;61;81","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01031","01009"
"England","Premier L","","","26",17/08/2025,"1700","01","Chelsea"," 8"," 8","C Palace"," 7"," 7",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.750,4.100,4.670,1.040,13.000,1.220,4.330,1.740,2.180,2.800,1.460,5.000,1.170,1.680,2.270,"0-0 (0-0)",0,0,0,0,0,0,0,"",19,12,3,4,11,2,10,12,2,3,71,29,"","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01019","01012"
"England","Premier L","","","26",17/08/2025,"1700","01","Nottingham","16","16","Brentford"," 4"," 4",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.180,3.370,3.660,1.060,10.000,1.340,3.460,2.090,1.810,3.440,1.330,6.500,1.110,1.850,2.020,"3-1 (3-0)",3,1,3,0,0,0,0,"",11,10,5,3,5,5,7,15,1,2,55,45," 5;42;45","78","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01037","01059"
"England","Premier L","","","26",17/08/2025,"1930","01","Man Utd","14","14","Arsenal"," 1"," 1",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.840,3.710,2.000,1.040,13.000,1.290,3.820,1.740,2.180,2.770,1.470,5.000,1.170,1.650,2.330,"0-1 (0-1)",0,1,0,1,0,0,0,"",22,9,7,3,3,4,10,19,1,4,61,39,"","13","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01020","01018"
"England","Premier L","","","26",18/08/2025,"2300","01","Leeds","11","12","Everton"," 9"," 8",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.290,3.450,3.270,1.060,9.500,1.320,3.510,2.060,1.840,3.650,1.300,7.000,1.100,1.800,2.070,"1-0 (0-0)",1,0,0,0,0,0,0,"",21,7,3,1,7,2,6,8,0,2,54,46,"84","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01035","01017"
"England","Premier L","","","26",22/08/2025,"2300","02","West Ham","19","18","Chelsea","11"," 8",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.190,4.120,1.680,1.040,13.000,1.220,4.330,1.730,2.190,2.810,1.470,5.000,1.170,1.750,2.120,"1-5 (1-3)",1,5,1,3,0,0,0,"",12,12,4,7,7,5,7,10,0,1,40,60," 6","15;23;34;54;58","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01022","01019"
"England","Premier L","","","26",23/08/2025,"1530","02","Man City"," 1","16","Tottenham"," 3","14",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,4.910,5.950,1.020,21.000,1.140,5.500,1.500,2.690,2.260,1.680,3.750,1.290,1.570,2.420,"0-2 (0-2)",0,2,0,2,0,0,0,"",10,12,4,5,7,2,7,12,1,4,61,39,"","35;45","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01009","01001"
"England","Premier L","","","26",23/08/2025,"1800","02","Bournemouth","16","10","Wolves","20","15",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.780,3.990,4.490,1.040,13.000,1.220,4.330,1.790,2.100,2.930,1.430,5.000,1.170,1.710,2.160,"1-0 (1-0)",1,0,1,0,0,0,0,"",14,6,4,1,8,3,13,16,2,4,59,41," 4","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01063","01031"
"England","Premier L","","","26",23/08/2025,"1800","02","Brentford","17","11","Aston Villa"," 8"," 6",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.260,3.570,2.240,1.050,11.000,1.250,4.160,1.820,2.060,3.000,1.410,5.500,1.140,1.640,2.290,"1-0 (1-0)",1,0,1,0,0,0,0,"",9,17,2,2,2,9,11,9,1,2,24,76,"12","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01059","01003"
"England","Premier L","","","26",23/08/2025,"1800","02","Burnley","18","12","Sunderland"," 2","13",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.340,3.170,3.440,1.100,7.000,1.480,2.760,2.540,1.560,4.500,1.200,10.000,1.060,2.070,1.780,"2-0 (0-0)",2,0,0,0,0,0,0,"",7,9,2,1,4,3,9,5,0,1,43,57,"47;88","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01030","01021"
"England","Premier L","","","26",23/08/2025,"2030","02","Arsenal"," 6"," 9","Leeds"," 7"," 9",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.280,6.260,9.830,1.030,17.000,1.170,5.000,1.600,2.420,2.470,1.570,4.330,1.220,2.050,1.790,"5-0 (2-0)",5,0,2,0,0,0,0,"",18,3,5,1,2,2,8,11,0,2,68,32,"34;45;48;56;90","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01018","01035"
"England","Premier L","","","26",24/08/2025,"1700","02","C Palace","10","13","Nottingham"," 5","12",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.440,3.270,3.160,1.080,8.000,1.360,3.260,2.200,1.730,3.530,1.310,8.000,1.080,1.930,1.930,"1-1 (1-0)",1,1,1,0,0,0,0,"",8,9,4,1,1,3,11,11,3,3,42,58,"37","57","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01012","01037"
"England","Premier L","","","26",24/08/2025,"1700","02","Everton","14","14","Brighton"," 9"," 7",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.160,3.400,2.370,1.070,8.500,1.330,3.460,2.080,1.810,3.560,1.320,8.000,1.080,1.860,1.980,"2-0 (1-0)",2,0,1,0,0,0,0,"",11,13,3,4,2,2,7,15,4,3,42,58,"23;52","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01017","01036"
"England","Premier L","","","26",24/08/2025,"1930","02","Fulham","12","15","Man Utd","15","11",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.400,3.680,2.140,1.040,12.000,1.260,4.040,1.820,2.070,3.020,1.410,5.500,1.140,1.660,2.250,"1-1 (0-0)",1,1,0,0,0,0,0,"",13,10,4,3,9,6,12,10,1,1,52,48,"73","58","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01010","01020"
"England","Premier L","","","26",25/08/2025,"2300","02","Newcastle","13","17","Liverpool"," 5","10",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.970,3.740,2.360,1.030,15.000,1.170,5.000,1.600,2.420,2.440,1.590,4.330,1.220,1.490,2.700,"2-3 (0-1)",2,3,0,1,0,0,0,"",10,5,3,4,7,1,17,15,2,3,38,62,"57;88","35;46;90","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01016","01002"
"England","Premier L","","","26",30/08/2025,"1530","03","Chelsea"," 4","15","Fulham","14"," 6",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.670,3.970,5.490,1.050,11.000,1.250,4.000,1.780,2.130,2.880,1.450,5.500,1.140,1.820,2.050,"2-0 (1-0)",2,0,1,0,0,0,0,"",13,11,6,3,6,4,11,17,2,2,55,45,"45;56","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01019","01010"
"England","Premier L","","","26",30/08/2025,"1800","03","Man Utd","16","17","Burnley","11","18",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.400,5.110,7.980,1.020,15.000,1.170,4.500,1.630,2.390,2.600,1.550,4.500,1.170,1.890,1.970,"3-2 (1-0)",3,2,1,0,0,0,0,"",26,6,6,3,7,1,9,9,1,5,62,38,"27;57;90","55;66","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01020","01030"
"England","Premier L","","","26",30/08/2025,"1800","03","Sunderland"," 8"," 2","Brentford","10","15",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.080,3.290,2.500,1.070,9.000,1.360,3.340,2.150,1.780,3.450,1.330,7.000,1.100,1.840,2.020,"2-1 (0-0)",2,1,0,0,0,0,0,"",12,7,3,4,3,4,11,12,3,2,54,46,"82;90","77","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01021","01059"
"England","Premier L","","","26",30/08/2025,"1800","03","Tottenham"," 2"," 3","Bournemouth"," 9","14",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.970,3.710,3.970,1.030,15.000,1.200,4.500,1.680,2.310,2.600,1.530,4.500,1.200,1.570,2.460,"0-1 (0-1)",0,1,0,1,0,0,0,"",5,19,1,6,0,8,17,13,2,4,62,38,""," 5","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01001","01063"
"England","Premier L","","","26",30/08/2025,"1800","03","Wolves","19","20","Everton"," 7","12",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.210,3.200,2.480,1.100,7.000,1.470,2.860,2.490,1.590,4.500,1.200,10.000,1.060,2.030,1.830,"2-3 (1-2)",2,3,1,2,0,0,0,"",12,10,4,4,2,2,15,10,0,1,59,41,"21;79"," 7;33;55","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01031","01017"
"England","Premier L","","","26",30/08/2025,"2030","03","Leeds","12","10","Newcastle","17","10",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.250,3.500,2.300,1.060,10.000,1.290,3.840,1.930,1.970,3.290,1.370,6.000,1.130,1.700,2.200,"0-0 (0-0)",0,0,0,0,0,0,0,"",10,8,1,2,5,5,10,15,1,1,43,57,"","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,"01035","01016"
