country,league,alert,verif,datameci,orameci,etapa,txtechipa1,place1,txtechipa2,place2,underprob,underoddsc,cotau,overprob,overoddsc,cotao,homeprob,homeoddsc,cotaa,drawprob,drawoddsc,cotae,awayprob,awayoddsc,cotad,score,validated,result,scor1,scor2,scorp1,scorp2,elohomeo,eloawayo,elodiff,totalgh,totalga,totaldiff,scoredh,scoreda,scodiff,receivedh,receiveda,recdiff,ggh,gga,ngh,nga,gh0,gh1,gh2,gh3,gh4,ga0,ga1,ga2,ga3,ga4,goalminh,goalmina,formah,formaa,codechipa1,codechipa2
England,Premier L,,,8/11/2017,2245,1,Arsenal,9 (9),Leicester,18 (18),44.601,2.242,2.43,55.399,1.805,1.621,66.163,1.511,1.534,19.605,5.101,4.59,14.232,7.027,6.41,2-0 (11.38); 2-1 (10.69); 1-0 ( 9.67); 1-1 ( 9.09); 3-0 ( 7.49);,199,4-3 (2-2),4,3,2,2,1976,1779,197,2.879,2.772,0.107,1.858,1.421,0.437,1.021,1.351,-0.33,52.105,51.754,47.895,48.246,15.3,22.6,26.6,17.5,12.5,42.8,40.2,11.5,4.5,1.0," 2,45,83,85"," 5,29,56",0,0,1018,1042
England,Premier L,,,8/12/2017,1530,1,Watford,13 (13),Liverpool,2 (2),48.434,2.065,2.04,51.566,1.939,1.877,20.326,4.92,6.47,22.539,4.437,4.23,57.136,1.75,1.588,0-1 (12.37); 0-2 (11.12); 1-1 ( 9.51); 1-2 ( 8.55); 0-0 ( 6.97);,97,3-3 (2-1),3,3,2,1,1645,1966,-321,2.605,3.147,-0.542,1.053,1.921,-0.868,1.553,1.226,0.326,46.053,57.368,53.947,42.632,41.5,31.9,18.5,6.1,1.0,16.8,29.8,26.8,16.4,7.2," 8,32,90","29,55,57",0,0,1025,1002
England,Premier L,,,8/12/2017,1800,1,West Bromwich,4 (4),Bournemouth,19 (19),59.156,1.69,1.775,40.844,2.448,2.17,42.704,2.342,2.47,27.309,3.662,3.32,29.987,3.335,3.18,1-0 (15.40); 1-1 (12.67); 0-0 (10.04); 0-1 ( 8.26); 2-0 ( 8.17);,290,1-0 (1-0),1,0,1,0,1692,1750,-58,2.511,3.079,-0.568,1.111,1.316,-0.205,1.4,1.763,-0.363,49.474,57.895,50.526,42.105,25.8,39.6,21.0,9.6,3.4,38.9,32.0,17.9,7.9,2.4,31,,0,0,1006,1063
England,Premier L,,,8/12/2017,1800,1,Everton,8 (8),Stoke,14 (14),51.268,1.951,1.787,48.732,2.052,2.15,53.643,1.864,1.699,24.065,4.155,3.86,22.292,4.486,5.78,1-0 (13.40); 1-1 (10.46); 2-0 ( 9.46); 0-0 ( 7.84); 2-1 ( 7.39);,227,1-0 (1-0),1,0,1,0,1856,1725,131,2.7,2.432,0.268,1.5,1.1,0.4,1.2,1.332,-0.132,53.158,49.474,46.842,50.526,19.3,33.0,23.3,14.0,5.2,40.6,31.7,20.7,6.6,0.4,45,,0,0,1017,1028
England,Premier L,,,8/12/2017,1800,1,Southampton,3 (3),Swansea,16 (16),57.014,1.754,1.763,42.986,2.326,2.18,44.946,2.225,1.625,26.866,3.722,3.95,28.188,3.548,6.6,1-0 (14.71); 1-1 (12.90); 0-0 ( 9.24); 0-1 ( 8.11); 2-0 ( 7.68);,337,0-0 (0-0),0,0,0,0,1750,1744,6,2.553,2.684,-0.132,1.353,1.232,0.121,1.2,1.453,-0.253,47.895,51.579,52.105,48.421,24.2,38.5,20.1,12.7,3.5,38.2,33.5,18.1,8.0,2.0,,,0,0,1004,1034
England,Premier L,,,8/12/2017,1800,1,Chelsea,10 (10),Burnley,15 (15),39.43,2.536,2.21,60.57,1.651,1.746,70.737,1.414,1.255,17.178,5.822,6.31,12.086,8.274,15.28,2-0 (13.13); 3-0 (10.53); 2-1 ( 8.60); 1-0 ( 7.89); 3-1 ( 6.90);,73,2-3 (0-3),2,3,0,3,2099,1700,399,2.879,2.303,0.576,1.911,0.882,1.029,0.968,1.421,-0.453,53.158,44.737,46.842,55.263,14.0,16.4,27.3,21.9,12.3,48.1,31.5,15.0,5.4,0.0,"69,88","24,39,43",0,0,1019,1030
England,Premier L,,,8/12/2017,1800,1,Crystal Palace,6 (6),Huddersfield,20 (20),44.522,2.246,1.833,55.478,1.803,2.09,55.511,1.801,1.793,22.245,4.495,3.68,22.244,4.496,5.27,0-0 (11.16); 0-1 (11.12); 0-2 (11.12); 2-0 (11.12); 3-0 (11.12);,3,0-3 (0-2),0,3,0,2,1730,1461,269,2.513,0.0,2.513,1.112,0.0,1.112,1.401,0.0,1.401,46.711,0.0,53.289,0.0,33.4,0.0,33.3,33.3,0.0,33.4,33.3,33.3,0.0,0.0,,"23,26,78",0,0,1012,1064
England,Premier L,,,8/12/2017,2030,1,Brighton,17 (17),Man City,5 (5),47.537,2.104,2.35,52.463,1.906,1.662,20.422,4.897,11.6,22.246,4.495,5.6,57.333,1.744,1.322,0-1 (12.13); 0-2 (11.07); 1-1 ( 9.66); 1-2 ( 8.81); 0-0 ( 6.55);,77,0-2 (0-0),0,2,0,0,1636,2010,-374,0.0,3.111,-3.111,0.0,2.116,-2.116,0.0,0.995,-0.995,0.0,53.158,0.0,46.842,40.7,32.4,18.1,6.4,1.2,16.1,29.8,27.2,15.5,7.7,,"70,75",0,0,1036,1009
England,Premier L,,,8/13/2017,1630,1,Newcastle,7 (7),Tottenham,1 (1),40.996,2.439,2.07,59.004,1.695,1.854,20.482,4.882,4.8,22.654,4.414,3.9,56.864,1.759,1.8,1-1 (10.39); 1-2 ( 9.92); 1-3 ( 9.92); 0-1 ( 8.43); 0-2 ( 8.05);,79,0-2 (0-0),0,2,0,0,1695,2092,-397,2.809,2.868,-0.059,1.132,1.758,-0.626,1.678,1.111,0.567,48.684,54.211,51.316,45.789,31.8,39.2,20.2,8.8,0.0,15.5,26.5,25.3,25.3,5.0,,"61,70",0,0,1016,1001
England,Premier L,,,8/13/2017,1900,1,Man Utd,11 (11),West Ham,12 (12),40.366,2.477,2.25,59.635,1.677,1.714,68.753,1.454,1.307,18.543,5.393,5.8,12.704,7.872,12.0,2-0 (11.98); 2-1 (11.77); 1-0 ( 8.93); 1-1 ( 8.78); 3-0 ( 8.00);,213,4-0 (1-0),4,0,1,0,1959,1753,206,2.642,2.668,-0.026,1.658,1.268,0.389,0.984,1.4,-0.416,50.526,54.211,49.474,45.789,11.3,22.0,29.5,19.7,10.7,40.6,39.9,14.0,5.1,0.4,"33,53,87,90",,0,0,1020,1022
