country,league,alert,verif,sezonul,datameci,orameci,etapa,txtechipa1,place1t,place1a,txtechipa2,place2t,place2d,customh,customa,home_val,avghome,home_val_2,home_val_3,home_val_4,home_val_5,away_val,avgaway,away_val_2,away_val_3,away_val_4,away_val_5,cotaa,cotae,cotad,cotao0,cotau0,cotao1,cotau1,cotao,cotau,cotao3,cotau3,cotao4,cotau4,gg,ng,result,scor1,scor2,scorp1,scorp2,formah,formaa,formadif,h2h,suth,suta,sutht,sutat,corh,cora,foulsh,foulsa,yellowh,yellowa,ballph,ballpa,goalminh,goalmina,swinh,sdrawh,slosth,sscoreh,sreceiveh,soverh,sunderh,swina,sdrawa,slosta,sscorea,sreceivea,sovera,sundera,jucatori1,jucatori2,wdlh1,wdlh2,wdlh3,wdlh4,wdlh5,wdla1,wdla2,wdla3,wdla4,wdla5,custom3,custom4,codechipa1,codechipa2
England,Premier L,,,26,15/08/2025,2300,1,Liverpool,12,12,Bournemouth,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,6.4,8.86,1.01,26.0,1.11,6.5,1.38,3.16,2.0,1.9,3.22,1.36,1.68,2.27,4-2 (1-0),4,2,1,0,0,0,0,,19,10,10,3,6,7,7,10,1,2,61,39,37;49;88;90,64;76,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1002,1063
England,Premier L,,,26,16/08/2025,1530,1,Aston Villa,2,2,Newcastle,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,3.69,3.13,1.02,15.0,1.17,4.5,1.64,2.34,2.56,1.55,4.5,1.17,1.53,2.58,0-0 (0-0),0,0,0,0,0,0,0,,3,16,3,3,3,6,13,11,1,1,40,60,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1003,1016
England,Premier L,,,26,16/08/2025,1800,1,Brighton,5,5,Fulham,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,3.65,3.91,1.03,13.0,1.19,4.33,1.77,2.14,2.84,1.45,5.0,1.13,1.7,2.21,1-1 (0-0),1,1,0,0,0,0,0,,10,7,4,2,4,3,16,15,3,3,50,50,55,90,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1036,1010
England,Premier L,,,26,16/08/2025,1800,1,Sunderland,17,17,West Ham,19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.43,2.27,1.06,10.0,1.3,3.7,2.01,1.88,3.33,1.35,6.5,1.11,1.76,2.12,3-0 (0-0),3,0,0,0,0,0,0,,10,12,5,4,5,7,8,10,0,1,37,63,61;73;90,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1021,1022
England,Premier L,,,26,16/08/2025,1800,1,Tottenham,18,18,Burnley,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,4.5,8.4,1.04,13.0,1.22,4.33,1.78,2.12,2.9,1.44,5.0,1.17,2.01,1.85,3-0 (1-0),3,0,1,0,0,0,0,,16,14,6,4,6,5,14,8,0,0,68,32,10;60;66,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1001,1030
England,Premier L,,,26,16/08/2025,2030,1,Wolves,20,20,Man City,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,5.02,1.44,1.03,15.0,1.2,4.5,1.64,2.34,2.63,1.52,4.5,1.2,1.81,2.05,0-4 (0-2),0,4,0,2,0,0,0,,9,15,3,4,4,6,13,7,1,2,42,58,,34;37;61;81,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1031,1009
England,Premier L,,,26,17/08/2025,1700,1,Chelsea,8,8,C Palace,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,4.1,4.67,1.04,13.0,1.22,4.33,1.74,2.18,2.8,1.46,5.0,1.17,1.68,2.27,0-0 (0-0),0,0,0,0,0,0,0,,19,12,3,4,11,2,10,12,2,3,71,29,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1019,1012
England,Premier L,,,26,17/08/2025,1700,1,Nottingham,16,16,Brentford,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,3.37,3.66,1.06,10.0,1.34,3.46,2.09,1.81,3.44,1.33,6.5,1.11,1.85,2.02,3-1 (3-0),3,1,3,0,0,0,0,,11,10,5,3,5,5,7,15,1,2,55,45, 5;42;45,78,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1037,1059
England,Premier L,,,26,17/08/2025,1930,1,Man Utd,14,14,Arsenal,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,3.71,2.0,1.04,13.0,1.29,3.82,1.74,2.18,2.77,1.47,5.0,1.17,1.65,2.33,0-1 (0-1),0,1,0,1,0,0,0,,22,9,7,3,3,4,10,19,1,4,61,39,,13,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1020,1018
England,Premier L,,,26,18/08/2025,2300,1,Leeds,11,12,Everton,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,3.45,3.27,1.06,9.5,1.32,3.51,2.06,1.84,3.65,1.3,7.0,1.1,1.8,2.07,1-0 (0-0),1,0,0,0,0,0,0,,21,7,3,1,7,2,6,8,0,2,54,46,84,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1035,1017
England,Premier L,,,26,22/08/2025,2300,2,West Ham,19,18,Chelsea,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,4.12,1.68,1.04,13.0,1.22,4.33,1.73,2.19,2.81,1.47,5.0,1.17,1.75,2.12,1-5 (1-3),1,5,1,3,0,0,0,,12,12,4,7,7,5,7,10,0,1,40,60, 6,15;23;34;54;58,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1022,1019
England,Premier L,,,26,23/08/2025,1530,2,Man City,1,16,Tottenham,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.91,5.95,1.02,21.0,1.14,5.5,1.5,2.69,2.26,1.68,3.75,1.29,1.57,2.42,0-2 (0-2),0,2,0,2,0,0,0,,10,12,4,5,7,2,7,12,1,4,61,39,,35;45,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1009,1001
England,Premier L,,,26,23/08/2025,1800,2,Bournemouth,16,10,Wolves,20,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,3.99,4.49,1.04,13.0,1.22,4.33,1.79,2.1,2.93,1.43,5.0,1.17,1.71,2.16,1-0 (1-0),1,0,1,0,0,0,0,,14,6,4,1,8,3,13,16,2,4,59,41, 4,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1063,1031
England,Premier L,,,26,23/08/2025,1800,2,Brentford,17,11,Aston Villa,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,3.57,2.24,1.05,11.0,1.25,4.16,1.82,2.06,3.0,1.41,5.5,1.14,1.64,2.29,1-0 (1-0),1,0,1,0,0,0,0,,9,17,2,2,2,9,11,9,1,2,24,76,12,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1059,1003
England,Premier L,,,26,23/08/2025,1800,2,Burnley,18,12,Sunderland,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,3.17,3.44,1.1,7.0,1.48,2.76,2.54,1.56,4.5,1.2,10.0,1.06,2.07,1.78,2-0 (0-0),2,0,0,0,0,0,0,,7,9,2,1,4,3,9,5,0,1,43,57,47;88,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1030,1021
England,Premier L,,,26,23/08/2025,2030,2,Arsenal,6,9,Leeds,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,6.26,9.83,1.03,17.0,1.17,5.0,1.6,2.42,2.47,1.57,4.33,1.22,2.05,1.79,5-0 (2-0),5,0,2,0,0,0,0,,18,3,5,1,2,2,8,11,0,2,68,32,34;45;48;56;90,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1018,1035
England,Premier L,,,26,24/08/2025,1700,2,C Palace,10,13,Nottingham,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,3.27,3.16,1.08,8.0,1.36,3.26,2.2,1.73,3.53,1.31,8.0,1.08,1.93,1.93,1-1 (1-0),1,1,1,0,0,0,0,,8,9,4,1,1,3,11,11,3,3,42,58,37,57,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1012,1037
England,Premier L,,,26,24/08/2025,1700,2,Everton,14,14,Brighton,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,3.4,2.37,1.07,8.5,1.33,3.46,2.08,1.81,3.56,1.32,8.0,1.08,1.86,1.98,2-0 (1-0),2,0,1,0,0,0,0,,11,13,3,4,2,2,7,15,4,3,42,58,23;52,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1017,1036
England,Premier L,,,26,24/08/2025,1930,2,Fulham,12,15,Man Utd,15,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.68,2.14,1.04,12.0,1.26,4.04,1.82,2.07,3.02,1.41,5.5,1.14,1.66,2.25,1-1 (0-0),1,1,0,0,0,0,0,,13,10,4,3,9,6,12,10,1,1,52,48,73,58,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1010,1020
England,Premier L,,,26,25/08/2025,2300,2,Newcastle,13,17,Liverpool,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,3.74,2.36,1.03,15.0,1.17,5.0,1.6,2.42,2.44,1.59,4.33,1.22,1.49,2.7,2-3 (0-1),2,3,0,1,0,0,0,,10,5,3,4,7,1,17,15,2,3,38,62,57;88,35;46;90,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1016,1002
England,Premier L,,,26,30/08/2025,1530,3,Chelsea,4,15,Fulham,14,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,3.97,5.49,1.05,11.0,1.25,4.0,1.78,2.13,2.88,1.45,5.5,1.14,1.82,2.05,2-0 (1-0),2,0,1,0,0,0,0,,13,11,6,3,6,4,11,17,2,2,55,45,45;56,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1019,1010
England,Premier L,,,26,30/08/2025,1800,3,Man Utd,16,17,Burnley,11,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,5.11,7.98,1.02,15.0,1.17,4.5,1.63,2.39,2.6,1.55,4.5,1.17,1.89,1.97,3-2 (1-0),3,2,1,0,0,0,0,,26,6,6,3,7,1,9,9,1,5,62,38,27;57;90,55;66,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1020,1030
England,Premier L,,,26,30/08/2025,1800,3,Sunderland,8,2,Brentford,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,3.29,2.5,1.07,9.0,1.36,3.34,2.15,1.78,3.45,1.33,7.0,1.1,1.84,2.02,2-1 (0-0),2,1,0,0,0,0,0,,12,7,3,4,3,4,11,12,3,2,54,46,82;90,77,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1021,1059
England,Premier L,,,26,30/08/2025,1800,3,Tottenham,2,3,Bournemouth,9,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,3.71,3.97,1.03,15.0,1.2,4.5,1.68,2.31,2.6,1.53,4.5,1.2,1.57,2.46,0-1 (0-1),0,1,0,1,0,0,0,,5,19,1,6,0,8,17,13,2,4,62,38,, 5,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1001,1063
England,Premier L,,,26,30/08/2025,1800,3,Wolves,19,20,Everton,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,3.2,2.48,1.1,7.0,1.47,2.86,2.49,1.59,4.5,1.2,10.0,1.06,2.03,1.83,2-3 (1-2),2,3,1,2,0,0,0,,12,10,4,4,2,2,15,10,0,1,59,41,21;79, 7;33;55,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1031,1017
England,Premier L,,,26,30/08/2025,2030,3,Leeds,12,10,Newcastle,17,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.5,2.3,1.06,10.0,1.29,3.84,1.93,1.97,3.29,1.37,6.0,1.13,1.7,2.2,0-0 (0-0),0,0,0,0,0,0,0,,10,8,1,2,5,5,10,15,1,1,43,57,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1035,1016
England,Premier L,,,26,31/08/2025,1700,3,Brighton,18,11,Man City,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,3.79,2.0,1.03,15.0,1.17,5.0,1.54,2.58,2.32,1.65,4.33,1.22,1.53,2.57,2-1 (0-1),2,1,0,1,0,0,0,,12,12,7,3,3,2,16,14,2,2,36,64,67;89,34,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1036,1009
England,Premier L,,,26,31/08/2025,1700,3,Nottingham,5,5,West Ham,20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,4.0,5.17,1.04,13.0,1.31,3.58,1.81,2.08,3.07,1.41,5.0,1.17,1.78,2.1,0-3 (0-0),0,3,0,0,0,0,0,,11,12,3,8,9,7,14,6,0,0,58,42,,84;88;90,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1037,1022
