Date,Home,Away,Pick_1X2,Prob_1X2,Odds_1X2,Edge_1X2,EV_1X2,Delta_1X2,Pick_OU,Prob_OU,Odds_OU,Edge_OU,EV_OU,Delta_OU,Pick_TG,Prob_TG,Odds_TG,Edge_TG,EV_TG,Higher
2025-08-30 14:30:00,Chelsea,Fulham,1X2 A,82.9%,4.60,62.2%,2.81,+nan%,OU 2.5 Over,85.3%,1.90,34.0%,0.62,+nan%,TG 2-5,62.7%,3.50,34.1%,1.19,OU (85.3%)
2025-08-30 17:00:00,Man United,Burnley,1X2 A,70.5%,6.20,55.1%,3.37,+nan%,OU 2.5 Under,58.0%,2.05,10.6%,0.19,+nan%,TG 0-3,73.4%,2.90,38.9%,1.13,1X2 (70.5%)
2025-08-30 17:00:00,Sunderland,Brentford,1X2 D,52.6%,2.00,19.3%,0.05,+nan%,OU 2.5 Under,86.4%,1.90,36.4%,0.64,+nan%,TG 0-3,84.1%,3.00,50.7%,1.52,OU (86.4%)
2025-08-30 17:00:00,Tottenham,Bournemouth,1X2 H,44.2%,2.00,10.8%,-0.12,+nan%,OU 2.5 Over,69.4%,1.90,19.4%,0.32,+nan%,TG 0-3,65.0%,3.00,31.7%,0.95,OU (69.4%)
2025-08-30 17:00:00,Wolves,Everton,1X2 A,47.7%,2.00,14.4%,-0.05,+nan%,OU 2.5 Under,86.4%,1.90,36.4%,0.64,+nan%,TG 0-3,85.7%,3.00,52.4%,1.57,OU (86.4%)
2025-08-30 19:30:00,Leeds,Newcastle,1X2 A,47.7%,2.00,14.4%,-0.05,+nan%,OU 2.5 Under,63.3%,1.90,13.3%,0.20,+nan%,TG 0-3,76.6%,3.00,43.3%,1.30,OU (63.3%)
2025-08-31 16:00:00,Brighton,Man City,1X2 H,77.8%,2.00,44.5%,0.56,+nan%,OU 2.5 Over,90.0%,1.90,40.0%,0.71,+nan%,TG 3-6,52.4%,3.00,19.0%,0.57,OU (90.0%)
2025-08-31 16:00:00,Nott'm Forest,West Ham,1X2 H,44.2%,2.00,10.8%,-0.12,+nan%,OU 2.5 Over,69.4%,1.90,19.4%,0.32,+nan%,TG 2-5,64.0%,3.00,30.7%,0.92,OU (69.4%)
2025-08-31 18:30:00,Liverpool,Arsenal,1X2 D,44.1%,2.00,10.7%,-0.12,+nan%,OU 2.5 Under,69.5%,1.90,19.5%,0.32,+nan%,TG 0-3,78.7%,3.00,45.4%,1.36,OU (69.5%)
2025-08-31 21:00:00,Aston Villa,Crystal Palace,1X2 A,57.9%,2.00,24.6%,0.16,+nan%,OU 2.5 Over,90.0%,1.90,40.0%,0.71,+nan%,TG 2-5,58.8%,3.00,25.5%,0.76,OU (90.0%)
