date,home,away
2025-12-06 16:00:00,Nantes,Racing Club de Lens
2025-12-06 18:00:00,Toulouse,RC Strasbourg Alsace
2025-12-06 20:05:00,Paris Saint-Germain FC,Stade Rennais FC 1901
2025-12-07 14:00:00,Nice,Angers SCO
2025-12-07 16:15:00,Le Havre AC,Paris FC
2025-12-07 16:15:00,AJ Auxerre,FC Metz
2025-12-07 19:45:00,Lorient,Lyon
2025-12-12 19:45:00,Angers SCO,Nantes
2025-12-13 16:00:00,Stade Rennais FC 1901,Stade Brestois 29
2025-12-13 18:00:00,FC Metz,Paris Saint-Germain FC
2025-12-13 20:05:00,Paris FC,Toulouse
