date,home,away
2025-12-06 13:00:00,Villarreal CF,Getafe CF
2025-12-06 15:15:00,Deportivo Alavés,Real Sociedad de Fútbol
2025-12-06 17:30:00,Real Betis Balompié,FC Barcelona
2025-12-06 20:00:00,Ath Bilbao,Club Atlético de Madrid
2025-12-07 13:00:00,Elche CF,Girona FC
2025-12-07 15:15:00,Valencia CF,Sevilla FC
2025-12-07 17:30:00,RCD Espanyol de Barcelona,Rayo Vallecano de Madrid
2025-12-07 20:00:00,Real Madrid CF,RC Celta de Vigo
2025-12-08 20:00:00,CA Osasuna,Levante UD
2025-12-12 20:00:00,Real Sociedad de Fútbol,Girona FC
2025-12-13 13:00:00,Club Atlético de Madrid,Valencia CF
2025-12-13 15:15:00,RCD Mallorca,Elche CF
2025-12-13 17:30:00,FC Barcelona,CA Osasuna
2025-12-13 20:00:00,Getafe CF,RCD Espanyol de Barcelona
