Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,Season,Over2.5,Last5AwayOver2.5Perc,Last5HomeOver2.5Perc,HomeOver2.5Perc,AwayOver2.5Perc,HS,AS,AF,HF,MaxCA,HC,HST,AC,AST,MaxCH,AY,HY
2023-08-14,SP1,Cadiz,Alaves,1,0,H,1,0,2023/2024,0,0.0,0.0,26.32,31.58,12,10,15,19,3.95,2,3,4,2,2.35,2,3
2023-08-28,SP1,Getafe,Alaves,1,0,H,0,0,2023/2024,0,0.0,0.0,31.58,31.58,15,16,15,13,4.24,4,4,5,2,2.62,2,1
2023-09-15,SP1,Vallecano,Alaves,2,0,H,1,0,2023/2024,0,0.0,50.0,36.84,31.58,20,9,14,15,4.58,5,11,3,1,2.11,3,2
2023-09-28,SP1,Celta,Alaves,1,1,D,1,0,2023/2024,0,0.0,0.0,42.11,31.58,8,21,11,9,7.5,2,0,8,11,1.71,3,5
2023-10-22,SP1,Villarreal,Alaves,1,1,D,0,0,2023/2024,0,0.0,80.0,73.68,31.58,12,16,10,15,4.2,9,3,3,7,2.09,3,4
2023-10-29,SP1,Ath Madrid,Alaves,2,1,H,2,0,2023/2024,1,20.0,100.0,78.95,31.58,11,8,11,10,9.7,4,7,4,1,1.47,2,3
2023-11-12,SP1,Barcelona,Alaves,2,1,H,0,1,2023/2024,1,40.0,60.0,57.89,31.58,11,8,10,11,13.0,2,6,1,1,1.28,1,2
2023-12-03,SP1,Mallorca,Alaves,0,0,D,0,0,2023/2024,0,40.0,20.0,26.32,31.58,7,7,15,16,3.37,5,3,4,4,2.76,2,4
2023-12-18,SP1,Girona,Alaves,3,0,H,2,0,2023/2024,1,60.0,60.0,68.42,31.58,9,12,7,9,6.1,3,4,2,2,1.65,1,0
2024-01-02,SP1,Sociedad,Alaves,1,1,D,0,0,2023/2024,0,60.0,20.0,31.58,31.58,16,7,17,9,8.4,6,6,4,2,1.58,4,4
2024-01-12,SP1,Sevilla,Alaves,2,3,A,0,2,2023/2024,1,60.0,40.0,57.89,31.58,19,16,13,12,4.5,5,4,4,8,2.11,3,4
