match_id,date,h_team,a_team,team,h_a,minute,player,shot_id,result,situation,shotType,xG,X,Y,fast_break,isKeyPass,dist_m,angle_deg,is_header
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,21,Omar Alderete,584592,BlockedShot,SetPiece,Head,0.06941878795623779,0.8919999694824219,0.5570000076293945,,,11.984116684023881,32.514811461444495,1
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,h,26,Oihan Sancet,584593,Goal,OpenPlay,RightFoot,0.03193439170718193,0.7780000305175782,0.549000015258789,,,23.54693571418509,17.5031592125675,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,39,Carles Pérez,584594,MissedShots,OpenPlay,LeftFoot,0.014148639515042305,0.7219999694824218,0.48900001525878906,,,29.199585434000046,14.284374619615324,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,47,Peter,584596,ShotOnPost,OpenPlay,LeftFoot,0.0695107951760292,0.8859999847412109,0.4209999847412109,,,13.120188013285903,28.897002004203937,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,5,Carles Pérez,584591,MissedShots,OpenPlay,LeftFoot,0.019099026918411255,0.8190000152587891,0.27399999618530274,,,24.441059634850387,13.399569109949296,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,51,Carles Aleñá,584597,SavedShot,OpenPlay,LeftFoot,0.22783277928829193,0.899000015258789,0.5279999923706055,,,10.774562870127529,37.08598261571689,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,h,52,Iñaki Williams,584595,MissedShots,OpenPlay,LeftFoot,0.043010205030441284,0.825,0.3370000076293945,,,21.459162833141185,16.743319830051444,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,53,Omar Alderete,584598,BlockedShot,FromCorner,LeftFoot,0.038119733333587646,0.970999984741211,0.644000015258789,,,10.254526760292196,13.653313334497803,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,61,Alex Sola,584599,MissedShots,SetPiece,RightFoot,0.008965820074081421,0.71,0.47200000762939454,,,30.509469251765335,13.65567113191542,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,63,Christantus Uche,584600,Goal,FromCorner,Head,0.0791647657752037,0.9109999847412109,0.45099998474121095,,,9.921254248287616,38.814306014468606,1
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,h,76,Nico Williams,584601,SavedShot,OpenPlay,RightFoot,0.020776551216840744,0.774000015258789,0.725,,,28.234780395124012,12.495659889647943,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,h,79,Nico Williams,584602,SavedShot,DirectFreekick,RightFoot,0.03627365082502365,0.7269999694824218,0.74,,,32.98522106497317,11.048339898996547,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,h,79,Gorka Guruzeta,584603,BlockedShot,FromCorner,RightFoot,0.08361074328422546,0.9209999847412109,0.40900001525878904,,,10.34883484933172,32.94324113226462,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,a,84,Nabil Aberdin,584604,MissedShots,OpenPlay,RightFoot,0.011256377212703228,0.6980000305175781,0.7169999694824218,,,34.97518222307421,10.860421041141295,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,h,86,Iñaki Williams,584605,BlockedShot,OpenPlay,RightFoot,0.054737284779548645,0.79,0.4620000076293945,,,22.200890822641504,18.604488948945484,0
26982,2024-08-15 17:00:00,Athletic Club,Getafe,,h,92,Yuri,584606,SavedShot,SetPiece,LeftFoot,0.019851934164762497,0.735,0.6029999923706054,,,28.69297185257509,14.116531153585672,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,16,Yangel Herrera,584561,MissedShots,OpenPlay,RightFoot,0.08529814332723618,0.8969999694824219,0.4640000152587891,,,11.088597441964009,35.85076264359003,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,19,Aitor Ruibal,584562,SavedShot,OpenPlay,RightFoot,0.41154414415359497,0.8619999694824219,0.5029999923706054,,,14.4914391504184,28.346359010205468,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,19,Aitor Ruibal,584563,BlockedShot,OpenPlay,RightFoot,0.058650046586990356,0.8180000305175781,0.600999984741211,,,20.306683315536226,19.321660191748244,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,21,Bryan Gil Salvatierra,584564,MissedShots,OpenPlay,Head,0.08082814514636993,0.9059999847412109,0.4490000152587891,,,10.461546177794105,36.950806505300406,1
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,32,Bryan Gil Salvatierra,584565,MissedShots,OpenPlay,LeftFoot,0.01982320100069046,0.774000015258789,0.33799999237060546,,,26.16228375717715,14.512260906335712,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,34,Abel Ruiz,584566,BlockedShot,OpenPlay,RightFoot,0.0493994802236557,0.8090000152587891,0.534000015258789,,,20.187825775320682,20.42789911466747,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,37,Pablo Fornals,584567,BlockedShot,OpenPlay,LeftFoot,0.09610581398010254,0.815,0.4909999847412109,,,19.434638413668026,21.32083461491394,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,37,Aitor Ruibal,584568,MissedShots,OpenPlay,RightFoot,0.11076433956623077,0.8830000305175781,0.6809999847412109,,,17.389881676645576,17.283525012281338,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,a,38,Portu,584569,BlockedShot,OpenPlay,RightFoot,0.05290798842906952,0.7969999694824219,0.590999984741211,,,22.195060098138054,18.034182771178497,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,4,Romain Perraud,584559,BlockedShot,OpenPlay,RightFoot,0.022751454263925552,0.774000015258789,0.710999984741211,,,27.730450738961636,12.946978261629447,0
26983,2024-08-15 19:30:00,Real Betis,Girona,,h,41,Romain Perraud,584570,MissedShots,OpenPlay,LeftFoot,0.0417187474668026,0.845999984741211,0.705,,,21.349298625816083,14.978791791054235,0
