Date,Home,Away,Pick_1X2,Prob_1X2,Odds_1X2,Edge_1X2,EV_1X2,Delta_1X2,Pick_OU,Prob_OU,Odds_OU,Edge_OU,EV_OU,Delta_OU,Pick_TG,Prob_TG,Odds_TG,Edge_TG,EV_TG,Higher
2025-08-30 14:30:00,Chelsea,Fulham,1X2 H,42.9%,1.75,-11.4%,-0.25,+nan%,OU 2.5 Over,60.4%,1.90,9.2%,0.15,+nan%,TG 2-5,63.7%,3.50,35.1%,1.23,OU (60.4%)
2025-08-30 17:00:00,Man United,Burnley,1X2 H,49.8%,1.55,-12.0%,-0.23,+nan%,OU 2.5 Over,52.2%,1.85,-0.4%,-0.03,+nan%,TG 0-3,66.2%,2.90,31.7%,0.92,OU (52.2%)
2025-08-30 17:00:00,Sunderland,Brentford,1X2 A,39.5%,2.00,6.1%,-0.21,+nan%,OU 2.5 Over,55.7%,1.90,5.7%,0.06,+nan%,TG 2-5,64.0%,3.00,30.6%,0.92,OU (55.7%)
2025-08-30 17:00:00,Tottenham,Bournemouth,1X2 A,39.5%,2.00,6.2%,-0.21,+nan%,OU 2.5 Over,55.9%,1.90,5.9%,0.06,+nan%,TG 2-5,64.0%,3.00,30.7%,0.92,OU (55.9%)
2025-08-30 17:00:00,Wolves,Everton,1X2 H,42.9%,2.00,9.5%,-0.14,+nan%,OU 2.5 Under,58.9%,1.90,8.9%,0.12,+nan%,TG 0-3,78.7%,3.00,45.4%,1.36,OU (58.9%)
2025-08-30 19:30:00,Leeds,Newcastle,1X2 A,76.2%,2.00,42.9%,0.52,+nan%,OU 2.5 Over,57.5%,1.90,7.5%,0.09,+nan%,TG 2-5,60.9%,3.00,27.5%,0.83,1X2 (76.2%)
2025-08-31 16:00:00,Brighton,Man City,1X2 A,39.3%,2.00,6.0%,-0.21,+nan%,OU 2.5 Over,61.3%,1.90,11.3%,0.17,+nan%,TG 2-5,63.5%,3.00,30.2%,0.91,OU (61.3%)
2025-08-31 16:00:00,Nott'm Forest,West Ham,1X2 A,38.5%,2.00,5.2%,-0.23,+nan%,OU 2.5 Under,52.3%,1.90,2.3%,-0.01,+nan%,TG 0-3,71.7%,3.00,38.3%,1.15,OU (52.3%)
2025-08-31 18:30:00,Liverpool,Arsenal,1X2 H,43.0%,2.00,9.7%,-0.14,+nan%,OU 2.5 Over,66.1%,1.90,16.1%,0.26,+nan%,TG 2-5,61.6%,3.00,28.3%,0.85,OU (66.1%)
2025-08-31 21:00:00,Aston Villa,Crystal Palace,1X2 H,39.8%,2.00,6.5%,-0.20,+nan%,OU 2.5 Over,57.1%,1.90,7.1%,0.09,+nan%,TG 2-5,64.0%,3.00,30.7%,0.92,OU (57.1%)
