date,home,away,market,outcome,prob,odds,edge,EV
2025-12-13 17:30:00,Burnley,Fulham,TG Interval,0-3,0.8759225640578824,3.0,0.542589230724549,1.6277676921736473
2025-12-14 14:00:00,Sunderland,Newcastle,TG Interval,0-3,0.7890208562241858,3.0,0.4556875228908525,1.3670625686725577
2025-12-14 16:30:00,Brentford,Leeds,TG Interval,0-3,0.7748479900468968,3.0,0.44151465671356344,1.3245439701406903
2025-12-14 14:00:00,West Ham,Aston Villa,TG Interval,0-3,0.7713085242423552,3.0,0.43797519090902187,1.3139255727270656
2025-12-14 14:00:00,Nott'm Forest,Tottenham,TG Interval,0-3,0.7571259128293364,3.0,0.4237925794960031,1.2713777384880092
2025-12-13 20:00:00,Arsenal,Wolves,TG Interval,0-3,0.7262177903347726,3.0,0.3928844570014393,1.1786533710043177
2025-12-08 20:00:00,Wolves,Man United,TG Interval,0-3,0.6948538555818674,3.0,0.3615205222485341,1.0845615667456023
2025-12-13 15:00:00,Chelsea,Everton,TG Interval,0-3,0.6939082404103658,3.0,0.3605749070770325,1.0817247212310974
2025-12-13 17:30:00,Burnley,Fulham,TG Interval,1-3,0.6696517189698539,3.0,0.33631838563652056,1.0089551569095616
2025-12-14 14:00:00,Sunderland,Newcastle,TG Interval,1-3,0.6534122736397578,3.0,0.32007894030642453,0.9602368209192735
2025-12-14 14:00:00,West Ham,Aston Villa,TG Interval,1-3,0.6452523342203529,3.0,0.31191900088701957,0.9357570026610587
2025-12-14 16:30:00,Brentford,Leeds,TG Interval,1-3,0.6412888467029423,3.0,0.30795551336960897,0.9238665401088269
2025-12-13 15:00:00,Liverpool,Brighton,TG Interval,2-5,0.6398403533185368,3.0,0.3065070199852035,0.9195210599556105
2025-12-14 14:00:00,Crystal Palace,Man City,TG Interval,2-5,0.6385069416785024,3.0,0.3051736083451691,0.9155208250355074
2025-12-15 20:00:00,Man United,Bournemouth,TG Interval,2-5,0.638056562498592,3.0,0.3047232291652587,0.9141696874957761
2025-12-14 14:00:00,Nott'm Forest,Tottenham,TG Interval,1-3,0.6377311439037741,3.0,0.30439781057044074,0.9131934317113222
2025-12-14 14:00:00,Crystal Palace,Man City,TG Interval,0-3,0.6350458227351437,3.0,0.30171248940181034,0.905137468205431
2025-12-08 20:00:00,Wolves,Man United,TG Interval,2-5,0.6250180530935574,3.0,0.2916847197602241,0.8750541592806722
2025-12-13 15:00:00,Chelsea,Everton,TG Interval,2-5,0.6227920933928489,3.0,0.2894587600595156,0.8683762801785466
2025-12-13 20:00:00,Arsenal,Wolves,TG Interval,1-3,0.617834424248593,3.0,0.2845010909152597,0.8535032727457792
2025-12-13 15:00:00,Liverpool,Brighton,TG Interval,0-3,0.6104650377913878,3.0,0.2771317044580545,0.8313951133741635
2025-12-13 20:00:00,Arsenal,Wolves,TG Interval,2-5,0.607497586764531,3.0,0.2741642534311977,0.822492760293593
2025-12-08 20:00:00,Wolves,Man United,TG Interval,1-3,0.601241314971682,3.0,0.26790798163834867,0.803723944915046
2025-12-13 15:00:00,Chelsea,Everton,TG Interval,1-3,0.5995885850799743,3.0,0.26625525174664094,0.7987657552399228
2025-12-14 14:00:00,Nott'm Forest,Tottenham,TG Interval,2-5,0.597645587209822,3.0,0.26431225387648866,0.7929367616294658
2025-12-14 14:00:00,West Ham,Aston Villa,TG Interval,2-5,0.5896793482304625,3.0,0.2563460148971292,0.7690380446913876
2025-12-14 14:00:00,Sunderland,Newcastle,TG Interval,2-5,0.5773789364604409,3.0,0.2440456031271076,0.7321368093813228
2025-12-14 16:30:00,Brentford,Leeds,TG Interval,2-5,0.5772401212896109,3.0,0.24390678795627757,0.7317203638688325
2025-12-15 20:00:00,Man United,Bournemouth,TG Interval,0-3,0.5652450998459461,3.0,0.23191176651261275,0.6957352995378381
2025-12-14 14:00:00,Crystal Palace,Man City,TG Interval,1-3,0.5608999807742698,3.0,0.22756664744093652,0.6826999423228095
2025-12-13 17:30:00,Burnley,Fulham,OU 3.5,Under,0.8759225640578824,1.9,0.3759225640578824,0.6642528717099765
2025-12-13 15:00:00,Liverpool,Brighton,TG Interval,1-3,0.5428689151193727,3.0,0.20953558178603943,0.6286067453581183
2025-12-08 20:00:00,Wolves,Man United,TG Interval,2-4,0.5428590705345808,3.0,0.2095257372012475,0.6285772116037425
2025-12-14 14:00:00,Crystal Palace,Man City,TG Interval,2-4,0.5416143825407105,3.0,0.20828104920737717,0.6248431476221314
2025-12-13 15:00:00,Chelsea,Everton,TG Interval,2-4,0.540609890054349,3.0,0.2072765567210157,0.621829670163047
2025-12-13 15:00:00,Liverpool,Brighton,TG Interval,2-4,0.5374304785606069,3.0,0.20409714522727357,0.6122914356818208
2025-12-13 20:00:00,Arsenal,Wolves,TG Interval,2-4,0.533901481752916,3.0,0.20056814841958265,0.6017044452587479
2025-12-14 14:00:00,Nott'm Forest,Tottenham,TG Interval,2-4,0.5320425267165192,3.0,0.19870919338318588,0.5961275801495576
2025-12-14 14:00:00,West Ham,Aston Villa,TG Interval,2-4,0.5279702335756663,3.0,0.194636900242333,0.583910700726999
2025-12-15 20:00:00,Man United,Bournemouth,TG Interval,2-4,0.5262154581408877,3.0,0.19288212480755434,0.5786463744226631
2025-12-15 20:00:00,Man United,Bournemouth,TG Interval,3-6,0.5257542939857631,3.0,0.1924209606524298,0.5772628819572894
2025-12-14 14:00:00,Sunderland,Newcastle,TG Interval,2-4,0.5206366382324277,3.0,0.18730330489909436,0.561909914697283
2025-12-14 16:30:00,Brentford,Leeds,TG Interval,2-4,0.5168763317984968,3.0,0.18354299846516348,0.5506289953954904
2025-12-15 20:00:00,Man United,Bournemouth,OU 1.5,Over,0.806484330596177,1.9,0.30648433059617697,0.5323202281327362
2025-12-15 20:00:00,Man United,Bournemouth,TG Interval,1-3,0.5084875642536894,3.0,0.17515423092035604,0.5254626927610682
2025-12-13 15:00:00,Liverpool,Brighton,TG Interval,3-6,0.5045549967147087,3.0,0.1712216633813754,0.5136649901441261
2025-12-14 14:00:00,Sunderland,Newcastle,OU 3.5,Under,0.7890208562241858,1.9,0.28902085622418583,0.4991396268259529
2025-12-13 15:00:00,Liverpool,Brighton,OU 1.5,Over,0.7778640984351486,1.9,0.2778640984351486,0.47794178702678214
2025-12-14 14:00:00,Crystal Palace,Man City,TG Interval,3-6,0.49102547659583007,3.0,0.15769214326249675,0.4730764297874903
2025-12-14 16:30:00,Brentford,Leeds,OU 3.5,Under,0.7748479900468968,1.9,0.27484799004689675,0.47221118108910365
2025-12-14 14:00:00,West Ham,Aston Villa,OU 3.5,Under,0.7713085242423552,1.9,0.2713085242423552,0.4654861960604748
2025-12-14 14:00:00,Crystal Palace,Man City,OU 1.5,Over,0.7611621713387603,1.9,0.2611621713387603,0.44620812554364453
2025-12-13 17:30:00,Burnley,Fulham,TG Interval,2-5,0.48126306791166185,3.0,0.14792973457832853,0.44378920373498554
2025-12-14 14:00:00,Nott'm Forest,Tottenham,OU 3.5,Under,0.7571259128293364,1.9,0.2571259128293364,0.43853923437573905
2025-12-13 20:00:00,Arsenal,Wolves,OU 3.5,Under,0.7262177903347726,1.9,0.22621779033477263,0.3798138016360679
2025-12-08 20:00:00,Wolves,Man United,OU 1.5,Over,0.7147691431249102,1.9,0.21476914312491024,0.35806137193732934
2025-12-13 15:00:00,Chelsea,Everton,OU 1.5,Over,0.7139603424205216,1.9,0.21396034242052164,0.35652465059899097
