date,home,away,market,outcome,prob,odds,edge,EV
2025-12-06 20:00:00,Ath Bilbao,Club Atlético de Madrid,TG Interval,0-3,0.8635562475111503,3.0,0.530222914177817,1.5906687425334511
2025-12-06 13:00:00,Villarreal CF,Getafe CF,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-06 15:15:00,Deportivo Alavés,Real Sociedad de Fútbol,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-06 17:30:00,Real Betis Balompié,FC Barcelona,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-07 13:00:00,Elche CF,Girona FC,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-07 15:15:00,Valencia CF,Sevilla FC,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-07 17:30:00,RCD Espanyol de Barcelona,Rayo Vallecano de Madrid,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-07 20:00:00,Real Madrid CF,RC Celta de Vigo,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-08 20:00:00,CA Osasuna,Levante UD,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-12 20:00:00,Real Sociedad de Fútbol,Girona FC,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-13 13:00:00,Club Atlético de Madrid,Valencia CF,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-13 15:15:00,RCD Mallorca,Elche CF,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-13 17:30:00,FC Barcelona,CA Osasuna,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-13 20:00:00,Getafe CF,RCD Espanyol de Barcelona,TG Interval,0-3,0.7494241596289419,3.0,0.4160908262956086,1.2482724788868258
2025-12-06 20:00:00,Ath Bilbao,Club Atlético de Madrid,TG Interval,1-3,0.6735048093215642,3.0,0.3401714759882309,1.0205144279646925
2025-12-06 13:00:00,Villarreal CF,Getafe CF,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-06 15:15:00,Deportivo Alavés,Real Sociedad de Fútbol,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-06 17:30:00,Real Betis Balompié,FC Barcelona,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-07 13:00:00,Elche CF,Girona FC,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-07 15:15:00,Valencia CF,Sevilla FC,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-07 17:30:00,RCD Espanyol de Barcelona,Rayo Vallecano de Madrid,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-07 20:00:00,Real Madrid CF,RC Celta de Vigo,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-08 20:00:00,CA Osasuna,Levante UD,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-12 20:00:00,Real Sociedad de Fútbol,Girona FC,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-13 13:00:00,Club Atlético de Madrid,Valencia CF,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-13 15:15:00,RCD Mallorca,Elche CF,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-13 17:30:00,FC Barcelona,CA Osasuna,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-13 20:00:00,Getafe CF,RCD Espanyol de Barcelona,TG Interval,1-3,0.6305131965049864,3.0,0.29717986317165307,0.8915395895149592
2025-12-06 13:00:00,Villarreal CF,Getafe CF,TG Interval,2-5,0.5959864049799051,3.0,0.26265307164657176,0.7879592149397152
2025-12-06 15:15:00,Deportivo Alavés,Real Sociedad de Fútbol,TG Interval,2-5,0.5959864049799051,3.0,0.26265307164657176,0.7879592149397152
2025-12-06 17:30:00,Real Betis Balompié,FC Barcelona,TG Interval,2-5,0.5959864049799051,3.0,0.26265307164657176,0.7879592149397152
2025-12-07 13:00:00,Elche CF,Girona FC,TG Interval,2-5,0.5959864049799051,3.0,0.26265307164657176,0.7879592149397152
