date,home,away,market,outcome,prob,odds,ev,stake,profit_loss,result
2024-08-17,Ipswich,Liverpool,1X2,A,0.5521321039325187,2.0,0.10426420786503732,1.0,1.0,win
2024-08-17,Newcastle,Southampton,1X2,H,0.5628703280839705,2.0,0.12574065616794106,1.0,1.0,win
2024-08-19,Leicester,Tottenham,OU 2.5,Under,0.6728899469480936,2.5,0.682224867370234,1.0,1.5,win
2024-08-24,Southampton,Nott'm Forest,OU 2.5,Under,0.7233816948133301,1.89,0.3671914031971939,1.0,0.8899999999999999,win
2024-08-24,Fulham,Leicester,OU 2.5,Under,0.6591798484800391,2.01,0.32495149544487845,1.0,-1.0,lose
2024-08-31,Leicester,Aston Villa,OU 2.5,Under,0.6392462132494957,2.2,0.4063416691488906,1.0,-1.0,lose
2024-09-14,Southampton,Man United,OU 2.5,Under,0.6933300558103486,2.3,0.5946591283638016,1.0,-1.0,lose
2024-09-21,Southampton,Ipswich,OU 2.5,Under,0.7422723517252277,2.0,0.4845447034504553,1.0,1.0,win
2024-09-21,Leicester,Everton,OU 2.5,Under,0.7098615725445808,2.03,0.441018992265499,1.0,1.0299999999999998,win
2024-09-28,Arsenal,Leicester,1X2,H,0.5535215703158605,2.0,0.10704314063172093,1.0,1.0,win
2024-09-29,Man United,Tottenham,1X2,H,0.5617780530862679,2.0,0.12355610617253587,1.0,-1.0,lose
2024-09-29,Ipswich,Aston Villa,OU 2.5,Under,0.6235818196900186,2.1,0.30952182134903916,1.0,-1.0,lose
2024-10-19,Ipswich,Everton,OU 2.5,Under,0.6937181369850587,2.04,0.4151849994495198,1.0,1.04,win
2024-10-19,Southampton,Leicester,OU 2.5,Under,0.8086163550733335,2.1,0.6980943456540005,1.0,-1.0,lose
2024-10-25,Leicester,Nott'm Forest,OU 2.5,Under,0.6587306598587858,1.8,0.1857151877458143,1.0,-1.0,lose
2024-10-27,Arsenal,Liverpool,OU 2.5,Over,0.6402727175047916,1.92,0.22932361760919995,1.0,0.9199999999999999,win
2024-11-02,Southampton,Everton,OU 2.5,Under,0.7748134640996522,2.06,0.5961157360452836,1.0,1.06,win
2024-11-02,Newcastle,Arsenal,OU 2.5,Over,0.6413516150727349,1.84,0.18008697173383226,1.0,-1.0,lose
2024-11-02,Ipswich,Leicester,OU 2.5,Under,0.7280158942300935,2.1,0.5288333778831964,1.0,1.1,win
2024-11-09,West Ham,Everton,OU 2.5,Under,0.6448840843869805,2.06,0.32846121383717986,1.0,1.06,win
2024-11-10,Chelsea,Arsenal,OU 2.5,Over,0.6355610979390084,1.73,0.0995206994344846,1.0,-1.0,lose
2024-11-10,Man United,Leicester,1X2,H,0.6195922727311066,2.0,0.23918454546221324,1.0,1.0,win
2024-11-24,Southampton,Liverpool,1X2,A,0.6234869717590593,2.0,0.24697394351811863,1.0,1.0,win
2024-12-01,Liverpool,Man City,OU 2.5,Over,0.6548023388165561,1.57,0.028039671941993083,1.0,-1.0,lose
2024-12-01,Man United,Everton,1X2,H,0.5911850733441006,2.0,0.18237014668820128,1.0,1.0,win
2024-12-04,Newcastle,Liverpool,OU 2.5,Over,0.6687153312385697,1.57,0.0498830700445545,1.0,0.5700000000000001,win
2024-12-04,Southampton,Chelsea,1X2,A,0.5733374001123337,2.0,0.1466748002246674,1.0,1.0,win
2024-12-04,Southampton,Chelsea,OU 2.5,Under,0.6265672464736451,2.75,0.7230599278025243,1.0,-1.0,lose
2024-12-07,Man United,Nott'm Forest,1X2,H,0.5507639581976438,2.0,0.10152791639528758,1.0,-1.0,lose
2024-12-14,Newcastle,Leicester,1X2,H,0.5899116427485671,2.0,0.17982328549713422,1.0,1.0,win
2024-12-15,Southampton,Tottenham,OU 2.5,Under,0.7377427836116836,3.5,1.5820997426408923,1.0,-1.0,lose
2024-12-15,Brighton,Crystal Palace,OU 2.5,Over,0.6212381873599698,1.73,0.07474206413274787,1.0,0.73,win
2024-12-22,Man United,Bournemouth,OU 2.5,Over,0.649964788820671,1.57,0.020444718448453525,1.0,0.5700000000000001,win
2024-12-22,Leicester,Wolves,OU 2.5,Under,0.6648553691609218,2.2,0.46268181215402815,1.0,-1.0,lose
2024-12-22,Fulham,Southampton,OU 2.5,Under,0.6277977575888014,2.38,0.49415866306134726,1.0,1.38,win
