date,home,away,market,outcome,prob,odds,edge,EV
2026-04-04 12:30:00,Hamburger SV,Augsburg,TG Interval,0-3,0.8658611836938337,3.0,0.5325278503605004,1.597583551081501
2026-02-14 12:30:00,Hamburger SV,Union Berlin,TG Interval,0-3,0.8650818474185046,3.0,0.5317485140851712,1.5952455422555136
2026-01-23 19:30:00,St. Pauli,Hamburger SV,TG Interval,0-3,0.8503625419975053,3.0,0.5170292086641719,1.551087625992516
2025-12-07 14:30:00,Hamburger SV,Werder Bremen,TG Interval,0-3,0.8316850849913826,3.0,0.4983517516580493,1.4950552549741478
2026-02-07 12:30:00,FC Heidenheim,Hamburger SV,TG Interval,0-3,0.8265394722530293,3.0,0.49320613891969595,1.479618416759088
2026-04-25 12:30:00,FC Heidenheim,St. Pauli,TG Interval,0-3,0.8248646689355847,3.0,0.49153133560225143,1.474594006806754
2025-12-13 14:30:00,St. Pauli,FC Heidenheim,TG Interval,0-3,0.8223143786752846,3.0,0.48898104534195125,1.4669431360258538
2026-05-09 12:30:00,Hamburger SV,Freiburg,TG Interval,0-3,0.8166455102381293,3.0,0.48331217690479594,1.4499365307143877
2026-04-11 12:30:00,FC Heidenheim,Union Berlin,TG Interval,0-3,0.8130674129973057,3.0,0.47973407966397236,1.4392022389919168
2026-03-14 12:30:00,Hamburger SV,FC Cologne,TG Interval,0-3,0.8103283645397201,3.0,0.4769950312063868,1.4309850936191602
2026-03-14 12:30:00,Borussia M.Gladbach,St. Pauli,TG Interval,0-3,0.8081616138791141,3.0,0.4748282805457808,1.4244848416373426
2026-01-31 14:30:00,Augsburg,St. Pauli,TG Interval,0-3,0.8070147030595841,3.0,0.4736813697262508,1.4210441091787525
2026-05-02 12:30:00,St. Pauli,Mainz 05,TG Interval,0-3,0.8067017429153491,3.0,0.4733684095820158,1.4201052287460474
2026-02-21 12:30:00,St. Pauli,Werder Bremen,TG Interval,0-3,0.8025380034713988,3.0,0.4692046701380655,1.4076140104141963
2026-05-16 12:30:00,St. Pauli,Wolfsburg,TG Interval,0-3,0.7995212125924966,3.0,0.46618787925916333,1.3985636377774897
2026-01-11 14:30:00,Borussia M.Gladbach,Augsburg,TG Interval,0-3,0.7970177063341456,3.0,0.4636843730008123,1.3910531190024367
2026-02-28 12:30:00,Borussia M.Gladbach,Union Berlin,TG Interval,0-3,0.7961594242364427,3.0,0.4628260909031094,1.388478272709328
2026-01-15 19:30:00,Augsburg,Union Berlin,TG Interval,0-3,0.7950000931920462,3.0,0.4616667598587129,1.385000279576139
2025-12-20 14:30:00,Hamburger SV,Ein Frankfurt,TG Interval,0-3,0.7944374768808449,3.0,0.46110414354751156,1.3833124306425346
2026-01-13 19:30:00,Hamburger SV,Leverkusen,TG Interval,0-3,0.7910179052567159,3.0,0.4576845719233826,1.3730537157701477
2026-03-21 12:30:00,St. Pauli,Freiburg,TG Interval,0-3,0.7870417068004597,3.0,0.4537083734671264,1.361125120401379
2026-05-16 12:30:00,FC Heidenheim,Mainz 05,TG Interval,0-3,0.7816659781979161,3.0,0.44833264486458274,1.3449979345937484
2026-04-18 12:30:00,St. Pauli,FC Cologne,TG Interval,0-3,0.7805596910877494,3.0,0.44722635775441605,1.341679073263248
2026-04-04 12:30:00,Borussia M.Gladbach,FC Heidenheim,TG Interval,0-3,0.78050391951622,3.0,0.4471705861828867,1.34151175854866
2026-04-18 12:30:00,Werder Bremen,Hamburger SV,TG Interval,0-3,0.7794293757644661,3.0,0.4460960424311328,1.3382881272933984
2026-02-14 12:30:00,Augsburg,FC Heidenheim,TG Interval,0-3,0.779331570704366,3.0,0.44599823737103267,1.337994712113098
2026-02-21 12:30:00,Mainz 05,Hamburger SV,TG Interval,0-3,0.7780475182857531,3.0,0.4447141849524198,1.3341425548572596
2026-02-28 12:30:00,Hamburger SV,RasenBallsport Leipzig,TG Interval,0-3,0.776776983423139,3.0,0.44344365008980563,1.330330950269417
2025-12-21 14:30:00,Mainz 05,St. Pauli,TG Interval,0-3,0.7762968255538005,3.0,0.4429634922204672,1.3288904766614014
2026-03-07 12:30:00,Wolfsburg,Hamburger SV,TG Interval,0-3,0.77045147553693,3.0,0.43711814220359674,1.31135442661079
2026-04-25 12:30:00,Hamburger SV,Hoffenheim,TG Interval,0-3,0.7699589517900227,3.0,0.4366256184566894,1.3098768553700681
2026-01-14 17:30:00,Wolfsburg,St. Pauli,TG Interval,0-3,0.768693193570058,3.0,0.43535986023672474,1.3060795807101742
2026-04-04 12:30:00,Union Berlin,St. Pauli,TG Interval,0-3,0.7664505645175111,3.0,0.43311723118417783,1.2993516935525333
2026-05-02 12:30:00,Werder Bremen,Augsburg,TG Interval,0-3,0.7662875076061979,3.0,0.4329541742728646,1.2988625228185935
2026-02-07 12:30:00,Mainz 05,Augsburg,TG Interval,0-3,0.7648956057786787,3.0,0.43156227244534534,1.2946868173360357
2026-04-18 12:30:00,Borussia M.Gladbach,Mainz 05,TG Interval,0-3,0.7643648832188998,3.0,0.4310315498855665,1.2930946496566995
2026-03-07 12:30:00,St. Pauli,Ein Frankfurt,TG Interval,0-3,0.7643180475187876,3.0,0.4309847141854543,1.292954142556363
2026-05-09 12:30:00,Mainz 05,Union Berlin,TG Interval,0-3,0.7640195508271133,3.0,0.43068621749377994,1.29205865248134
2025-12-06 14:30:00,FC Heidenheim,Freiburg,TG Interval,0-3,0.7616702372384347,3.0,0.42833690390510143,1.2850107117153042
2025-12-06 14:30:00,FC Cologne,St. Pauli,TG Interval,0-3,0.7601960016501416,3.0,0.42686266831680825,1.2805880049504248
2026-01-17 14:30:00,Hamburger SV,Borussia M.Gladbach,TG Interval,0-3,0.7600096185337709,3.0,0.4266762852004376,1.2800288556013126
2025-12-20 14:30:00,Augsburg,Werder Bremen,TG Interval,0-3,0.7588978875617753,3.0,0.425564554228442,1.276693662685326
2026-02-21 12:30:00,Wolfsburg,Augsburg,TG Interval,0-3,0.757248851645065,3.0,0.42391551831173163,1.271746554935195
2025-12-13 14:30:00,Hoffenheim,Hamburger SV,TG Interval,0-3,0.7571643435794638,3.0,0.4238310102461305,1.2714930307383914
2025-12-13 14:30:00,Borussia M.Gladbach,Wolfsburg,TG Interval,0-3,0.7569849297500725,3.0,0.42365159641673916,1.2709547892502173
2025-12-06 14:30:00,Wolfsburg,Union Berlin,TG Interval,0-3,0.7563699204033503,3.0,0.42303658707001696,1.2691097612100508
2026-02-28 12:30:00,Hoffenheim,St. Pauli,TG Interval,0-3,0.7553951793004422,3.0,0.4220618459671089,1.2661855379013267
