date,home,away,market,outcome,prob,odds,edge,EV
2025-09-12 14:00:00,Fulham,Leeds,TG Interval,0-3,0.9155953567713251,3.0,0.5822620234379918,1.7467860703139753
2025-09-12 14:00:00,Crystal Palace,Sunderland,TG Interval,0-3,0.7824231470607343,3.0,0.44908981372740103,1.347269441182203
2025-09-12 19:45:00,West Ham,Tottenham,TG Interval,0-3,0.7791783119925652,3.0,0.44584497865923184,1.3375349359776956
2025-09-12 14:00:00,Everton,Aston Villa,TG Interval,0-3,0.7535077585761812,3.0,0.4201744252428479,1.2605232757285436
2025-09-14 16:00:00,Burnley,Liverpool,TG Interval,0-3,0.7308811034159901,3.0,0.3975477700826568,1.1926433102479703
2025-09-12 14:00:00,Newcastle,Wolves,TG Interval,0-3,0.6968231305868258,3.0,0.36348979725349245,1.090469391760477
2025-09-12 14:00:00,Arsenal,Nott'm Forest,TG Interval,0-3,0.6914221222375195,3.0,0.3580887889041862,1.0742663667125587
2025-09-14 18:30:00,Man City,Man United,TG Interval,0-3,0.6698124515723747,3.0,0.33647911823904136,1.0094373547171243
2025-09-12 19:45:00,West Ham,Tottenham,TG Interval,1-3,0.6491718272168975,3.0,0.31583849388356416,0.9475154816506923
2025-09-12 14:00:00,Crystal Palace,Sunderland,TG Interval,1-3,0.6485613334347051,3.0,0.3152280001013718,0.9456840003041154
2025-09-12 14:00:00,Fulham,Leeds,TG Interval,1-3,0.6484333356005816,3.0,0.31510000226724827,0.9453000068017448
2025-09-12 22:00:00,Brentford,Chelsea,TG Interval,2-5,0.6394723638338764,3.0,0.3061390305005431,0.9184170915016292
2025-09-12 14:00:00,Bournemouth,Brighton,TG Interval,2-5,0.6390434552099445,3.0,0.30571012187661123,0.9171303656298337
2025-09-12 14:00:00,Everton,Aston Villa,TG Interval,1-3,0.6363058813064673,3.0,0.30297254797313394,0.9089176439194018
2025-09-14 18:30:00,Man City,Man United,TG Interval,2-5,0.6324591039302224,3.0,0.2991257705968891,0.8973773117906672
2025-09-12 14:00:00,Bournemouth,Brighton,TG Interval,0-3,0.6296373371058392,3.0,0.29630400377250593,0.8889120113175177
2025-09-12 14:00:00,Arsenal,Nott'm Forest,TG Interval,2-5,0.6244364162012381,3.0,0.2911030828679048,0.8733092486037144
2025-09-12 22:00:00,Brentford,Chelsea,TG Interval,0-3,0.6234688725808482,3.0,0.29013553924751484,0.8704066177425445
2025-09-12 14:00:00,Newcastle,Wolves,TG Interval,2-5,0.6216400962609407,3.0,0.28830676292760743,0.8649202887828222
2025-09-14 16:00:00,Burnley,Liverpool,TG Interval,1-3,0.6123705500127633,3.0,0.27903721667943,0.83711165003829
2025-09-12 14:00:00,Newcastle,Wolves,TG Interval,1-3,0.6013453816381944,3.0,0.2680120483048611,0.8040361449145832
2025-09-12 14:00:00,Everton,Aston Villa,TG Interval,2-5,0.6006555061156827,3.0,0.26732217278234943,0.8019665183470481
2025-09-12 14:00:00,Arsenal,Nott'm Forest,TG Interval,1-3,0.5983629450561979,3.0,0.2650296117228646,0.7950888351685936
2025-09-14 16:00:00,Burnley,Liverpool,TG Interval,2-5,0.589795341852999,3.0,0.25646200851966566,0.769386025558997
2025-09-14 18:30:00,Man City,Man United,TG Interval,1-3,0.5850264399931151,3.0,0.2516931066597818,0.7550793199793453
2025-09-12 19:45:00,West Ham,Tottenham,TG Interval,2-5,0.5847508103451704,3.0,0.2514174770118371,0.7542524310355112
2025-09-12 14:00:00,Fulham,Leeds,OU 3.5,Under,0.9155953567713251,1.9,0.4155953567713251,0.7396311778655176
2025-09-12 14:00:00,Crystal Palace,Sunderland,TG Interval,2-5,0.5787340711910779,3.0,0.24540073785774458,0.7362022135732338
