fixture_id,status,fixture_datetime_utc,date,time,country,league,league_id,season,home_id,away_id,home,away,score_home,score_away,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,possession_home,possession_away,shots_off_home,shots_off_away,blocked_shots_home,blocked_shots_away,goal_attempts_home,goal_attempts_away,attacks_home,attacks_away,dangerous_attacks_home,dangerous_attacks_away,counter_attacks_home,counter_attacks_away,cross_attacks_home,cross_attacks_away,goalkeeper_saves_home,goalkeeper_saves_away,fouls_home,fouls_away,offsides_home,offsides_away,free_kicks_home,free_kicks_away,throwins_home,throwins_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,substitutions_home,substitutions_away,odds_over_2_5,odds_under_2_5,odds_btts_yes,odds_btts_no,datameci,orameci,txtechipa1,txtechipa2,codechipa1,codechipa2,scor1,scor2,sut,sutt,cor,ballp,ballph,ballpa,cotao,cotau,gg,ng
1334397,FT,2025-03-07T22:00:00+00:00,2025-03-07,22:00,Argentina,Liga Profesional Argentina,128,2025,449,458,Banfield,Argentinos JRS,1,2,12.0,16.0,6.0,7.0,2.0,3.0,30.0,70.0,5.0,5.0,1.0,4.0,,,,,,,,,,,5.0,6.0,13.0,13.0,1.0,2.0,,,,,3.0,3.0,,,,,,,,,2025-03-07,2200,Banfield,Argentinos JRS,449,458,1,2,12-16,6-7,2-3,30-70,30.0,70.0,,,,
1334398,FT,2025-03-07T22:00:00+00:00,2025-03-07,22:00,Argentina,Liga Profesional Argentina,128,2025,438,461,Velez Sarsfield,San Martin S.J.,1,0,14.0,11.0,5.0,3.0,5.0,6.0,62.0,38.0,4.0,6.0,5.0,2.0,,,,,,,,,,,3.0,4.0,9.0,13.0,3.0,1.0,,,,,3.0,2.0,0.0,1.0,,,,,,,2025-03-07,2200,Velez Sarsfield,San Martin S.J.,438,461,1,0,14-11,5-3,5-6,62-38,62.0,38.0,,,,
1334399,FT,2025-03-08T00:15:00+00:00,2025-03-08,00:15,Argentina,Liga Profesional Argentina,128,2025,1065,451,Central Cordoba de Santiago,Boca Juniors,0,3,11.0,6.0,5.0,4.0,5.0,2.0,42.0,58.0,5.0,1.0,1.0,1.0,,,,,,,,,,,2.0,5.0,16.0,12.0,0.0,2.0,,,,,2.0,1.0,1.0,0.0,,,,,,,2025-03-08,15,Central Cordoba de Santiago,Boca Juniors,1065,451,0,3,11-6,5-4,5-2,42-58,42.0,58.0,,,,
1334400,FT,2025-03-08T20:00:00+00:00,2025-03-08,20:00,Argentina,Liga Profesional Argentina,128,2025,460,453,San Lorenzo,Independiente,1,2,10.0,10.0,3.0,3.0,3.0,6.0,41.0,59.0,4.0,3.0,3.0,4.0,,,,,,,,,,,1.0,2.0,7.0,15.0,2.0,0.0,,,,,1.0,2.0,,,,,,,,,2025-03-08,2000,San Lorenzo,Independiente,460,453,1,2,10-10,3-3,3-6,41-59,41.0,59.0,,,,
1334401,FT,2025-03-08T22:15:00+00:00,2025-03-08,22:15,Argentina,Liga Profesional Argentina,128,2025,436,445,Racing Club,Huracan,0,1,19.0,12.0,1.0,2.0,6.0,1.0,61.0,39.0,9.0,6.0,9.0,4.0,,,,,,,,,,,1.0,1.0,10.0,16.0,1.0,0.0,,,,,4.0,3.0,,,,,,,,,2025-03-08,2215,Racing Club,Huracan,436,445,0,1,19-12,1-2,6-1,61-39,61.0,39.0,,,,
1334402,FT,2025-03-09T00:30:00+00:00,2025-03-09,00:30,Argentina,Liga Profesional Argentina,128,2025,1064,446,Platense,Lanus,0,0,11.0,12.0,4.0,5.0,2.0,4.0,44.0,56.0,5.0,4.0,2.0,3.0,,,,,,,,,,,5.0,4.0,7.0,13.0,1.0,0.0,,,,,1.0,2.0,,,,,,,,,2025-03-09,30,Platense,Lanus,1064,446,0,0,11-12,4-5,2-4,44-56,44.0,56.0,,,,
1334403,FT,2025-03-09T00:30:00+00:00,2025-03-09,00:30,Argentina,Liga Profesional Argentina,128,2025,474,2432,Sarmiento Junin,Barracas Central,1,1,17.0,23.0,2.0,11.0,4.0,5.0,43.0,57.0,8.0,7.0,7.0,5.0,,,,,,,,,,,10.0,1.0,12.0,6.0,1.0,0.0,,,,,5.0,0.0,1.0,0.0,,,,,,,2025-03-09,30,Sarmiento Junin,Barracas Central,474,2432,1,1,17-23,2-11,4-5,43-57,43.0,57.0,,,,
1334404,FT,2025-03-09T20:00:00+00:00,2025-03-09,20:00,Argentina,Liga Profesional Argentina,128,2025,442,450,Defensa Y Justicia,Estudiantes L.P.,1,0,20.0,11.0,6.0,4.0,6.0,4.0,49.0,51.0,4.0,3.0,10.0,4.0,,,,,,,,,,,4.0,5.0,12.0,10.0,2.0,3.0,,,,,3.0,2.0,,,,,,,,,2025-03-09,2000,Defensa Y Justicia,Estudiantes L.P.,442,450,1,0,20-11,6-4,6-4,49-51,49.0,51.0,,,,
1334405,FT,2025-03-09T20:00:00+00:00,2025-03-09,20:00,Argentina,Liga Profesional Argentina,128,2025,463,452,Aldosivi,Tigre,0,2,14.0,13.0,3.0,4.0,4.0,4.0,58.0,42.0,6.0,7.0,5.0,2.0,,,,,,,,,,,2.0,4.0,10.0,12.0,3.0,1.0,,,,,2.0,1.0,,,,,,,,,2025-03-09,2000,Aldosivi,Tigre,463,452,0,2,14-13,3-4,4-4,58-42,58.0,42.0,,,,
1334406,FT,2025-03-09T22:15:00+00:00,2025-03-09,22:15,Argentina,Liga Profesional Argentina,128,2025,435,455,River Plate,Atletico Tucuman,1,0,38.0,7.0,13.0,2.0,9.0,3.0,62.0,38.0,17.0,2.0,8.0,3.0,,,,,,,,,,,2.0,11.0,13.0,11.0,2.0,2.0,,,,,1.0,2.0,1.0,0.0,,,,,,,2025-03-09,2215,River Plate,Atletico Tucuman,435,455,1,0,38-7,13-2,9-3,62-38,62.0,38.0,,,,
