fixture_id,status,fixture_datetime_utc,date,time,country,league,league_id,season,home_id,away_id,home,away,score_home,score_away,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,possession_home,possession_away,shots_off_home,shots_off_away,blocked_shots_home,blocked_shots_away,goal_attempts_home,goal_attempts_away,attacks_home,attacks_away,dangerous_attacks_home,dangerous_attacks_away,counter_attacks_home,counter_attacks_away,cross_attacks_home,cross_attacks_away,goalkeeper_saves_home,goalkeeper_saves_away,fouls_home,fouls_away,offsides_home,offsides_away,free_kicks_home,free_kicks_away,throwins_home,throwins_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,substitutions_home,substitutions_away,odds_over_2_5,odds_under_2_5,odds_btts_yes,odds_btts_no,datameci,orameci,txtechipa1,txtechipa2,codechipa1,codechipa2,scor1,scor2,sut,sutt,cor,ballp,ballph,ballpa,cotao,cotau,gg,ng
1491962,NS,2026-03-10T22:45:00+00:00,2026-03-10,22:45,Argentina,Liga Profesional Argentina,128,2026,453,441,Independiente,Union Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-10,2245,Independiente,Union Santa Fe,453,441,,,,,,,,,,,,
1491967,NS,2026-03-10T22:45:00+00:00,2026-03-10,22:45,Argentina,Liga Profesional Argentina,128,2026,452,438,Tigre,Velez Sarsfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-10,2245,Tigre,Velez Sarsfield,452,438,,,,,,,,,,,,
1492156,NS,2026-03-11T00:30:00+00:00,2026-03-11,00:30,Brazil,Serie A Brazil,71,2026,7848,128,Mirassol,Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.77,1.77,1.95,2026-03-11,30,Mirassol,Santos,7848,128,,,,,,,,,2.0,1.77,1.77,1.95
1491964,NS,2026-03-11T01:00:00+00:00,2026-03-11,01:00,Argentina,Liga Profesional Argentina,128,2026,457,1064,Newells Old Boys,Platense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-11,100,Newells Old Boys,Platense,457,1064,,,,,,,,,,,,
1491965,NS,2026-03-11T01:00:00+00:00,2026-03-11,01:00,Argentina,Liga Profesional Argentina,128,2026,474,436,Sarmiento Junin,Racing Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-11,100,Sarmiento Junin,Racing Club,474,436,,,,,,,,,,,,
1491953,NS,2026-03-11T20:30:00+00:00,2026-03-11,20:30,Argentina,Liga Profesional Argentina,128,2026,458,437,Argentinos JRS,Rosario Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-11,2030,Argentinos JRS,Rosario Central,458,437,,,,,,,,,,,,
1491955,NS,2026-03-11T20:30:00+00:00,2026-03-11,20:30,Argentina,Liga Profesional Argentina,128,2026,449,434,Banfield,Gimnasia L.P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-11,2030,Banfield,Gimnasia L.P.,449,434,,,,,,,,,,,,
1492151,NS,2026-03-11T22:00:00+00:00,2026-03-11,22:00,Brazil,Serie A Brazil,71,2026,1062,119,Atletico-MG,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.75,1.8,1.9,2026-03-11,2200,Atletico-MG,Internacional,1062,119,,,,,,,,,2.05,1.75,1.8,1.9
1491956,NS,2026-03-11T22:45:00+00:00,2026-03-11,22:45,Argentina,Liga Profesional Argentina,128,2026,451,460,Boca Juniors,San Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-11,2245,Boca Juniors,San Lorenzo,451,460,,,,,,,,,,,,
1492152,NS,2026-03-11T23:00:00+00:00,2026-03-11,23:00,Brazil,Serie A Brazil,71,2026,118,136,Bahia,Vitoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.7,2.0,1.73,2026-03-11,2300,Bahia,Vitoria,118,136,,,,,,,,,2.1,1.7,2.0,1.73
1492153,NS,2026-03-12T00:30:00+00:00,2026-03-12,00:30,Brazil,Serie A Brazil,71,2026,131,147,Corinthians,Coritiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.7,2.1,1.65,2026-03-12,30,Corinthians,Coritiba,131,147,,,,,,,,,2.1,1.7,2.1,1.65
1492154,NS,2026-03-12T00:30:00+00:00,2026-03-12,00:30,Brazil,Serie A Brazil,71,2026,127,135,Flamengo,Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.93,1.85,1.85,2026-03-12,30,Flamengo,Cruzeiro,127,135,,,,,,,,,1.85,1.93,1.85,1.85
