Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,Season,Over2.5,Last5AwayOver2.5Perc,Last5HomeOver2.5Perc,HomeOver2.5Perc,AwayOver2.5Perc,HS,MaxCA,AS,HF,AF,HC,HST,AC,AST,MaxCH,MaxD
2023-08-27,D1,Bayern Munich,Augsburg,3,1,H,2.0,0.0,2023/2024,1,100.0,100.0,70.59,64.71,19.0,29.0,11.0,13.0,8.0,10.0,6.0,4.0,2.0,1.12,17.0
2023-09-16,D1,RB Leipzig,Augsburg,3,0,H,3.0,0.0,2023/2024,1,100.0,100.0,58.82,64.71,9.0,13.0,16.0,16.0,12.0,1.0,6.0,6.0,4.0,1.3,7.6
2023-10-01,D1,Freiburg,Augsburg,2,0,H,1.0,0.0,2023/2024,0,66.67,33.33,58.82,64.71,7.0,4.7,13.0,13.0,17.0,2.0,3.0,3.0,4.0,1.93,4.3
2023-10-22,D1,Heidenheim,Augsburg,2,5,A,2.0,3.0,2023/2024,1,75.0,75.0,58.82,64.71,16.0,3.23,9.0,11.0,11.0,6.0,5.0,5.0,6.0,2.45,3.79
2023-11-04,D1,FC Koln,Augsburg,1,1,D,1.0,1.0,2023/2024,0,60.0,60.0,41.18,64.71,28.0,3.56,18.0,10.0,10.0,10.0,12.0,2.0,3.0,2.16,3.85
2023-11-25,D1,Union Berlin,Augsburg,1,1,D,0.0,1.0,2023/2024,0,40.0,60.0,58.82,64.71,16.0,4.07,11.0,10.0,15.0,3.0,6.0,4.0,2.0,2.08,3.76
2023-12-09,D1,Werder Bremen,Augsburg,2,0,H,1.0,0.0,2023/2024,0,20.0,60.0,70.59,64.71,12.0,3.25,11.0,13.0,9.0,5.0,5.0,2.0,1.0,2.35,3.89
2023-12-20,D1,Stuttgart,Augsburg,3,0,H,2.0,0.0,2023/2024,1,40.0,60.0,76.47,64.71,17.0,8.5,6.0,8.0,14.0,4.0,7.0,4.0,5.0,1.42,5.7
2024-01-21,D1,M'gladbach,Augsburg,1,2,A,1.0,0.0,2023/2024,1,40.0,100.0,76.47,64.71,18.0,4.36,15.0,10.0,20.0,5.0,4.0,7.0,7.0,1.88,4.2
2024-02-03,D1,Bochum,Augsburg,1,1,D,1.0,0.0,2023/2024,0,40.0,40.0,58.82,64.71,9.0,3.24,12.0,17.0,14.0,3.0,4.0,5.0,6.0,2.45,3.75
