Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Referee,Season,Last5HomeOver2.5Perc,Last5AwayOver2.5Perc,AwayOver2.5Perc,HomeOver2.5Perc,HS,AS,MaxCA,AF,HF,HC,AC,HST,AST,MaxCH,MaxCD,Over2.5
2023-08-21,E0,20:00,Crystal Palace,Arsenal,A,D,D Coote,2023/2024,0.0,0.0,52.63,63.16,14,14,1.98,10,14,1,8,2,3,4.95,3.9,0
2023-09-17,E0,16:30,Everton,Arsenal,A,D,S Hooper,2023/2024,0.0,0.0,52.63,36.84,8,13,1.64,10,12,1,11,1,4,6.68,4.61,0
2023-09-30,E0,15:00,Bournemouth,Arsenal,A,A,M Salisbury,2023/2024,25.0,33.33,52.63,63.16,8,15,1.59,10,11,6,6,1,8,6.5,4.8,1
2023-10-21,E0,17:30,Chelsea,Arsenal,D,H,C Kavanagh,2023/2024,40.0,50.0,52.63,63.16,11,13,2.41,14,7,2,7,5,3,3.5,3.5,1
2023-11-04,E0,17:30,Newcastle,Arsenal,H,D,S Attwell,2023/2024,40.0,40.0,52.63,68.42,9,14,2.83,9,14,0,11,2,1,2.94,3.35,0
2023-11-25,E0,17:30,Brentford,Arsenal,A,D,T Robinson,2023/2024,80.0,40.0,52.63,68.42,9,15,1.72,7,9,1,8,3,4,6.18,4.2,0
2023-12-05,E0,20:15,Luton,Arsenal,A,A,S Barrott,2023/2024,60.0,60.0,52.63,68.42,6,23,1.31,7,14,3,8,4,9,19.0,8.08,1
2023-12-09,E0,17:30,Aston Villa,Arsenal,H,H,J Gillett,2023/2024,60.0,40.0,52.63,78.95,10,12,2.12,11,16,3,3,3,5,3.8,3.89,0
2023-12-23,E0,17:30,Liverpool,Arsenal,D,D,C Kavanagh,2023/2024,60.0,20.0,52.63,68.42,13,13,3.03,14,13,4,5,3,2,2.56,3.83,0
2023-12-31,E0,14:00,Fulham,Arsenal,H,D,J Smith,2023/2024,80.0,40.0,52.63,63.16,15,13,1.63,10,11,5,4,4,3,6.66,4.53,1
2024-01-30,E0,19:30,Nott'm Forest,Arsenal,A,D,S Hooper,2023/2024,60.0,60.0,52.63,52.63,9,19,1.41,7,6,2,11,3,3,9.52,5.3,1
2024-02-11,E0,14:00,West Ham,Arsenal,A,A,C Pawson,2023/2024,40.0,60.0,52.63,52.63,5,25,1.59,11,17,2,6,1,12,6.75,4.6,1
