Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5HomeOver2.5Perc,Last5AwayOver2.5Perc,HomeOver2.5Perc,AwayOver2.5Perc,HS,AS,AF,HF,MaxCA,HC,AC,HST,AST,MaxCH,AY,Over2.5
2024-08-24,F1,18:00,Lille,Angers,H,H,2024/2025,0.0,0.0,58.82,17.65,11,5,17,9,11.0,3,2,6,2,1.39,2,0
2024-09-15,F1,16:00,Strasbourg,Angers,D,H,2024/2025,50.0,0.0,70.59,17.65,10,12,14,11,6.0,6,9,5,2,1.67,1,0
2024-10-04,F1,19:45,Marseille,Angers,D,D,2024/2025,33.33,0.0,64.71,17.65,13,8,9,12,13.0,9,3,4,3,1.29,0,0
2024-10-20,F1,16:00,Toulouse,Angers,D,A,2024/2025,40.0,0.0,47.06,17.65,18,8,9,11,8.3,8,2,6,4,1.53,4,0
2024-11-01,F1,18:00,Monaco,Angers,A,A,2024/2025,40.0,0.0,58.82,17.65,11,10,12,16,14.0,4,4,3,3,1.29,1,0
2024-11-24,F1,16:00,Auxerre,Angers,H,D,2024/2025,80.0,0.0,58.82,17.65,10,10,7,13,5.13,2,2,6,5,1.84,1,0
2024-12-01,F1,16:00,Le Havre,Angers,A,D,2024/2025,60.0,0.0,70.59,17.65,5,12,10,8,3.6,2,4,1,3,2.47,0,0
2024-12-15,F1,16:00,Rennes,Angers,H,H,2024/2025,40.0,0.0,47.06,17.65,7,3,12,18,6.14,2,1,4,0,1.67,1,0
2025-01-12,F1,16:15,Montpellier,Angers,A,A,2024/2025,100.0,20.0,70.59,17.65,8,21,15,11,3.92,3,3,3,8,2.16,2,1
2025-01-26,F1,16:15,Lens,Angers,H,D,2024/2025,40.0,20.0,35.29,17.65,16,2,10,16,7.69,4,4,4,0,1.54,1,0
2025-02-16,F1,16:15,Reims,Angers,A,A,2024/2025,40.0,20.0,35.29,17.65,16,10,6,13,4.58,1,4,4,3,1.99,1,0
2025-02-22,F1,18:00,St Etienne,Angers,D,A,2024/2025,40.0,40.0,52.94,17.65,19,13,16,13,3.1,4,3,8,4,2.54,0,1
2025-03-09,F1,14:00,Brest,Angers,H,H,2024/2025,80.0,40.0,52.94,17.65,19,7,8,14,5.82,6,6,7,1,1.74,1,0
2025-04-05,F1,16:00,Paris SG,Angers,H,D,2024/2025,60.0,20.0,76.47,17.65,20,5,12,7,21.0,5,1,6,0,1.15,3,0
2025-04-20,F1,16:15,Nice,Angers,H,H,2024/2025,40.0,40.0,52.94,17.65,22,5,8,10,8.7,4,2,8,2,1.43,1,1
2025-05-04,F1,14:00,Nantes,Angers,A,D,2024/2025,0.0,40.0,35.29,17.65,8,14,16,12,4.38,4,6,3,2,2.02,3,0
2025-05-17,F1,20:00,Lyon,Angers,H,D,2024/2025,80.0,20.0,64.71,17.65,21,13,13,10,15.63,8,8,4,3,1.18,3,0
2025-08-22,F1,19:45,Paris SG,Angers,H,D,2025/2026,0.0,0.0,0.0,0.0,21,3,9,3,41.0,12,0,4,0,1.08,0,0
2024-08-25,F1,16:00,Nantes,Auxerre,H,H,2024/2025,0.0,0.0,35.29,64.71,8,10,6,9,3.32,3,12,6,3,2.66,0,0
2024-09-01,F1,16:00,Le Havre,Auxerre,H,D,2024/2025,100.0,50.0,70.59,64.71,21,7,15,10,2.71,2,2,8,2,2.96,5,1
2024-09-22,F1,16:00,Montpellier,Auxerre,H,A,2024/2025,66.67,66.67,70.59,64.71,14,11,20,13,3.75,11,5,5,6,2.3,4,1
2024-10-05,F1,16:00,St Etienne,Auxerre,H,H,2024/2025,33.33,75.0,52.94,64.71,13,11,10,13,2.42,5,4,5,3,3.23,1,1
2024-10-27,F1,14:00,Lyon,Auxerre,D,H,2024/2025,60.0,80.0,64.71,64.71,12,17,14,7,6.8,5,4,8,4,1.49,4,1
2024-11-08,F1,19:45,Marseille,Auxerre,A,A,2024/2025,60.0,100.0,64.71,64.71,19,10,16,13,7.0,5,3,5,6,1.5,2,1
2024-12-01,F1,16:00,Toulouse,Auxerre,H,H,2024/2025,20.0,80.0,47.06,64.71,12,4,12,14,5.7,6,2,7,0,1.72,0,0
2025-01-05,F1,14:00,Strasbourg,Auxerre,H,D,2024/2025,80.0,80.0,70.59,64.71,11,14,13,10,4.4,4,3,4,7,1.88,2,1
2025-01-19,F1,16:15,Angers,Auxerre,H,H,2024/2025,60.0,60.0,47.06,64.71,12,10,10,9,3.48,4,2,4,4,2.36,1,0
2025-02-01,F1,18:00,Monaco,Auxerre,H,A,2024/2025,80.0,60.0,58.82,64.71,11,12,15,17,8.5,5,4,6,7,1.43,2,1
2025-02-14,F1,19:45,Brest,Auxerre,D,A,2024/2025,100.0,60.0,52.94,64.71,18,11,12,9,3.69,6,4,6,6,2.31,2,1
2025-03-09,F1,16:15,Reims,Auxerre,A,A,2024/2025,40.0,60.0,35.29,64.71,18,13,13,9,3.2,6,12,4,9,2.61,1,0
2025-03-14,F1,19:45,Nice,Auxerre,D,H,2024/2025,0.0,40.0,52.94,64.71,20,10,18,14,6.0,7,3,6,4,1.67,3,0
2025-04-06,F1,16:15,Rennes,Auxerre,A,D,2024/2025,20.0,40.0,47.06,64.71,18,11,5,10,4.38,8,5,5,3,1.95,0,0
2025-04-20,F1,14:00,Lille,Auxerre,H,H,2024/2025,60.0,40.0,58.82,64.71,15,7,13,8,9.47,8,4,9,3,1.38,2,1
2025-04-27,F1,16:15,Lens,Auxerre,A,A,2024/2025,40.0,40.0,35.29,64.71,16,12,13,12,5.9,8,1,5,8,1.59,4,1
2025-05-17,F1,20:00,Paris SG,Auxerre,H,A,2024/2025,80.0,60.0,76.47,64.71,21,7,9,10,22.2,5,2,9,2,1.14,2,1
2025-08-23,F1,18:00,Nice,Auxerre,H,H,2025/2026,50.0,100.0,50.0,50.0,16,12,15,10,4.5,5,4,6,8,1.88,2,1
2025-08-30,F1,18:00,Nantes,Auxerre,H,H,2025/2026,0.0,50.0,0.0,50.0,4,14,11,13,3.1,3,9,3,4,2.6,3,0
2023-08-20,F1,14:00,Le Havre,Brest,A,A,2023/2024,100.0,100.0,47.06,47.06,18,10,15,18,2.83,5,3,7,5,3.02,2,1
2023-08-26,F1,18:00,Marseille,Brest,H,H,2023/2024,50.0,50.0,52.94,47.06,15,18,8,4,7.0,3,10,6,7,1.54,1,0
2023-09-17,F1,14:00,Reims,Brest,A,H,2023/2024,50.0,66.67,47.06,47.06,13,18,11,7,4.4,8,8,7,7,2.06,4,1
2023-10-01,F1,14:00,Nice,Brest,D,D,2023/2024,0.0,50.0,35.29,47.06,12,7,9,13,5.1,6,4,1,2,1.85,3,0
2023-10-22,F1,14:00,Lille,Brest,H,H,2023/2024,25.0,40.0,52.94,47.06,6,9,13,12,5.0,3,5,4,1,1.91,3,0
2023-11-05,F1,16:05,Monaco,Brest,H,H,2023/2024,60.0,20.0,52.94,47.06,12,15,11,15,4.81,6,4,6,1,1.85,4,0
