Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,Season,Over2.5,Last5HomeOver2.5Perc,Last5AwayOver2.5Perc,HomeOver2.5Perc,AwayOver2.5Perc,HS,AS,AF,HF,MaxCA,HC,AC,HST,AST,MaxCH,MaxAHA,AY
2023-08-20,I1,Sassuolo,Atalanta,0,2,A,0,0,2023/2024,0,0.0,0.0,47.37,63.16,11,16,13,9,2.27,7,7,3,6,3.6,1.89,0
2023-08-26,I1,Frosinone,Atalanta,2,1,H,2,0,2023/2024,1,100.0,50.0,73.68,63.16,13,18,10,10,1.71,3,7,5,6,6.0,1.88,2
2023-09-17,I1,Fiorentina,Atalanta,3,2,H,2,1,2023/2024,1,100.0,66.67,68.42,63.16,15,11,14,8,2.78,3,4,8,4,2.8,2.09,2
2023-09-27,I1,Verona,Atalanta,0,1,A,0,1,2023/2024,0,33.33,50.0,57.89,63.16,11,8,25,10,1.95,4,1,2,2,4.61,1.85,3
2023-10-08,I1,Lazio,Atalanta,3,2,H,2,1,2023/2024,1,25.0,60.0,26.32,63.16,12,12,10,7,2.72,4,6,4,4,3.14,1.91,1
2023-10-30,I1,Empoli,Atalanta,0,3,A,0,2,2023/2024,1,20.0,80.0,31.58,63.16,9,18,13,10,1.7,3,6,2,6,5.5,1.91,0
2023-11-12,I1,Udinese,Atalanta,1,1,D,1,0,2023/2024,0,20.0,60.0,47.37,63.16,13,8,13,13,2.23,7,7,4,2,3.87,2.06,3
2023-12-04,I1,Torino,Atalanta,3,0,H,1,0,2023/2024,1,60.0,60.0,26.32,63.16,9,10,14,12,2.62,4,3,5,4,3.22,2.16,2
2023-12-23,I1,Bologna,Atalanta,1,0,H,0,0,2023/2024,0,20.0,60.0,36.84,63.16,9,12,14,10,2.88,2,3,1,2,3.08,1.98,4
2024-01-07,I1,Roma,Atalanta,1,1,D,1,1,2023/2024,0,40.0,40.0,52.63,63.16,16,8,14,14,3.85,6,5,6,2,2.35,1.9,6
2024-02-11,I1,Genoa,Atalanta,1,4,A,0,1,2023/2024,1,40.0,40.0,42.11,63.16,15,14,13,8,2.06,7,4,6,9,4.23,2.12,4
2024-02-25,I1,Milan,Atalanta,1,1,D,1,1,2023/2024,0,40.0,40.0,52.63,63.16,20,8,16,12,3.16,5,3,7,3,2.43,1.88,4
2024-02-28,I1,Inter,Atalanta,4,0,H,2,0,2023/2024,1,60.0,40.0,52.63,63.16,15,6,15,10,6.11,4,1,7,1,1.65,2.13,6
2024-03-10,I1,Juventus,Atalanta,2,2,D,0,1,2023/2024,1,60.0,60.0,26.32,63.16,18,7,10,12,3.6,4,3,5,3,2.34,1.97,1
2024-03-30,I1,Napoli,Atalanta,0,3,A,0,2,2023/2024,1,60.0,80.0,63.16,63.16,20,12,13,6,3.61,7,5,6,6,2.2,2.1,2
2024-04-07,I1,Cagliari,Atalanta,2,1,H,1,1,2023/2024,1,60.0,80.0,63.16,63.16,11,7,19,16,1.83,4,4,3,2,5.1,1.95,3
2024-04-21,I1,Monza,Atalanta,1,2,A,0,1,2023/2024,1,80.0,100.0,42.11,63.16,17,12,13,8,2.04,2,8,2,6,4.4,1.93,2
2024-05-06,I1,Salernitana,Atalanta,1,2,A,1,0,2023/2024,1,40.0,100.0,68.42,63.16,9,17,10,12,1.3,1,7,2,4,12.0,2.03,0
