Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5AwayOver2.5Perc,HS,Last5HomeOver2.5Perc,AST,AvgLast5AwayGoalsConceded,AvgLast5HomeGoalsScored,AwayOver2.5Perc,HomeOver2.5Perc,AvgLast5AwayGoalsScored,HST,AvgLast5HomeGoalsConceded,BFEC>2.5,BFEC<2.5,AvgHomeGoalsScored,AvgAwayGoalsConceded,AvgHomeGoalsConceded,Over2.5
2024-08-16,SP1,18:00,Celta,Alaves,H,A,2024/2025,100.0,6,100.0,2,2.0,2.0,57.89,57.89,1.0,4,1.0,2.44,1.68,1.68,1.63,1.11,1
2024-08-28,SP1,20:30,Sociedad,Alaves,A,D,2024/2025,100.0,8,100.0,5,1.5,1.0,57.89,42.11,1.5,1,2.0,2.44,1.67,1.05,1.63,1.05,1
2024-09-14,SP1,15:15,Espanol,Alaves,H,D,2024/2025,100.0,9,66.67,6,2.0,1.67,57.89,36.84,1.67,4,1.33,2.84,1.53,1.21,1.63,1.05,1
2024-09-24,SP1,20:00,Real Madrid,Alaves,H,H,2024/2025,100.0,10,75.0,3,2.25,3.0,57.89,63.16,1.75,4,0.75,1.52,2.88,2.37,1.63,1.0,1
2024-09-28,SP1,13:00,Getafe,Alaves,H,H,2024/2025,80.0,14,0.0,1,2.2,0.75,57.89,26.32,1.4,8,0.25,3.6,1.37,0.79,1.63,1.0,0
2024-10-26,SP1,15:15,Vallecano,Alaves,H,D,2024/2025,60.0,16,40.0,7,2.0,1.4,57.89,52.63,1.2,4,1.0,2.76,1.56,1.26,1.63,1.37,0
2024-11-09,SP1,15:15,Villarreal,Alaves,H,H,2024/2025,60.0,13,80.0,3,2.4,2.4,57.89,73.68,0.8,3,2.0,1.86,2.14,2.26,1.63,1.42,1
2024-11-23,SP1,15:15,Ath Madrid,Alaves,H,A,2024/2025,60.0,11,60.0,1,2.2,2.2,57.89,52.63,0.6,8,0.6,2.18,1.83,2.21,1.63,0.79,1
2024-12-08,SP1,17:30,Osasuna,Alaves,D,A,2024/2025,60.0,16,80.0,3,2.0,2.0,57.89,57.89,0.6,8,1.6,2.76,1.55,1.74,1.63,1.21,1
2024-12-22,SP1,13:00,Valencia,Alaves,D,A,2024/2025,80.0,8,60.0,3,2.0,1.6,57.89,47.37,1.0,3,1.6,2.58,1.62,1.37,1.63,1.05,1
2025-01-18,SP1,17:30,Betis,Alaves,A,D,2024/2025,100.0,7,60.0,5,2.0,1.4,57.89,57.89,1.6,2,1.6,2.28,1.76,1.68,1.63,1.11,1
2025-02-02,SP1,13:00,Barcelona,Alaves,H,D,2024/2025,80.0,11,60.0,0,1.6,2.0,57.89,68.42,1.6,4,1.2,1.29,4.3,2.74,1.63,1.05,0
2025-02-15,SP1,13:00,Leganes,Alaves,D,H,2024/2025,80.0,8,60.0,7,1.8,1.2,57.89,47.37,2.0,3,2.4,3.05,1.47,1.21,1.63,1.42,1
2025-03-02,SP1,17:30,Mallorca,Alaves,D,H,2024/2025,60.0,15,40.0,7,1.6,1.4,57.89,47.37,1.8,4,1.0,3.2,1.44,1.05,1.63,1.11,0
2025-03-14,SP1,20:00,Las Palmas,Alaves,D,A,2024/2025,60.0,14,60.0,3,1.6,1.0,57.89,47.37,1.8,7,1.8,2.62,1.6,1.11,1.63,1.53,1
2025-04-05,SP1,13:00,Girona,Alaves,A,D,2024/2025,40.0,11,60.0,3,1.4,1.2,57.89,68.42,1.4,6,1.4,2.38,1.71,1.42,1.63,1.58,0
2025-04-20,SP1,17:30,Sevilla,Alaves,D,D,2024/2025,40.0,10,40.0,3,1.4,0.8,57.89,26.32,1.6,2,1.8,2.88,1.52,0.89,1.63,1.21,0
2025-05-11,SP1,17:30,Ath Bilbao,Alaves,H,D,2024/2025,20.0,11,20.0,1,1.0,1.2,57.89,36.84,1.0,3,0.4,3.35,1.41,1.68,1.63,0.68,0
2025-05-18,SP1,18:00,Valladolid,Alaves,A,A,2024/2025,20.0,7,60.0,4,0.8,0.6,57.89,47.37,1.0,1,2.2,2.22,1.8,0.58,1.63,1.68,0
2024-08-24,SP1,18:00,Barcelona,Ath Bilbao,H,D,2024/2025,100.0,13,100.0,2,2.0,2.0,36.84,68.42,1.0,5,1.0,1.7,2.38,2.74,0.84,1.05,1
2024-09-15,SP1,17:30,Las Palmas,Ath Bilbao,A,A,2024/2025,100.0,15,66.67,4,2.0,1.67,36.84,47.37,2.0,6,2.0,2.28,1.77,1.11,0.84,1.53,1
2024-09-19,SP1,18:00,Leganes,Ath Bilbao,A,D,2024/2025,66.67,14,33.33,4,1.33,0.67,36.84,47.37,2.0,3,1.33,3.1,1.46,1.21,0.84,1.42,0
2024-10-06,SP1,13:00,Girona,Ath Bilbao,H,D,2024/2025,75.0,14,75.0,4,1.5,1.75,36.84,68.42,1.75,6,1.25,2.08,1.91,1.42,0.84,1.58,1
2024-10-28,SP1,20:00,Mallorca,Ath Bilbao,D,D,2024/2025,60.0,4,20.0,1,1.2,0.6,36.84,47.37,1.4,1,0.4,2.84,1.54,1.05,0.84,1.11,0
2024-11-10,SP1,17:30,Valladolid,Ath Bilbao,D,D,2024/2025,40.0,6,60.0,1,1.0,0.8,36.84,47.37,1.4,3,1.4,2.28,1.76,0.58,0.84,1.68,0
2024-12-01,SP1,17:30,Vallecano,Ath Bilbao,A,H,2024/2025,40.0,7,40.0,7,0.8,1.0,36.84,52.63,1.2,4,1.4,2.74,1.56,1.26,0.84,1.37,1
2024-12-15,SP1,15:15,Alaves,Ath Bilbao,D,A,2024/2025,40.0,6,40.0,2,1.0,1.0,36.84,15.79,1.0,3,1.6,2.82,1.53,0.74,0.84,0.89,0
2024-12-21,SP1,17:30,Osasuna,Ath Bilbao,A,D,2024/2025,40.0,6,80.0,8,0.8,1.4,36.84,57.89,1.2,3,1.6,2.62,1.6,1.74,0.84,1.21,1
2025-01-19,SP1,13:00,Celta,Ath Bilbao,A,D,2024/2025,60.0,3,40.0,6,1.0,1.6,36.84,57.89,1.6,1,0.8,2.24,1.79,1.68,0.84,1.11,1
2025-02-02,SP1,20:00,Betis,Ath Bilbao,D,H,2024/2025,80.0,10,80.0,4,1.2,1.6,36.84,57.89,1.8,6,2.0,2.34,1.73,1.68,0.84,1.11,1
2025-02-16,SP1,13:00,Espanol,Ath Bilbao,D,D,2024/2025,60.0,12,20.0,4,1.2,1.2,36.84,36.84,1.6,4,0.8,2.4,1.69,1.21,0.84,1.05,0
2025-03-01,SP1,20:00,Ath Madrid,Ath Bilbao,H,D,2024/2025,60.0,12,0.0,3,1.2,1.2,36.84,52.63,1.4,4,0.4,2.28,1.76,2.21,0.84,0.79,0
2025-03-16,SP1,15:15,Sevilla,Ath Bilbao,A,D,2024/2025,40.0,11,20.0,4,1.0,0.8,36.84,26.32,1.2,4,1.6,2.6,1.61,0.89,0.84,1.21,0
2025-04-06,SP1,20:00,Villarreal,Ath Bilbao,D,D,2024/2025,20.0,12,60.0,2,0.8,2.2,36.84,73.68,0.8,4,0.8,1.98,2.0,2.26,0.84,1.42,0
2025-04-20,SP1,20:00,Real Madrid,Ath Bilbao,H,D,2024/2025,0.0,22,60.0,1,0.6,1.8,36.84,63.16,0.4,7,1.0,1.8,2.22,2.37,0.84,1.0,0
2025-05-04,SP1,20:00,Sociedad,Ath Bilbao,D,D,2024/2025,0.0,12,40.0,1,0.4,1.0,36.84,42.11,0.2,3,0.8,2.88,1.53,1.05,0.84,1.05,0
2025-05-15,SP1,20:30,Getafe,Ath Bilbao,A,D,2024/2025,0.0,11,60.0,2,0.2,0.8,36.84,26.32,0.6,1,1.8,3.8,1.34,0.79,0.84,1.0,0
2025-05-18,SP1,18:00,Valencia,Ath Bilbao,A,D,2024/2025,0.0,6,20.0,4,0.2,1.2,36.84,47.37,0.6,2,0.4,2.48,1.65,1.37,0.84,1.05,0
2024-08-19,SP1,20:30,Villarreal,Ath Madrid,D,D,2024/2025,100.0,8,100.0,5,2.0,2.0,36.84,73.68,2.0,3,2.0,1.88,2.12,2.26,0.79,1.42,1
2024-08-31,SP1,18:00,Ath Bilbao,Ath Madrid,A,D,2024/2025,50.0,8,0.0,2,1.0,0.67,36.84,36.84,1.5,1,0.67,2.18,1.84,1.68,0.79,0.68,0
2024-09-22,SP1,20:00,Vallecano,Ath Madrid,D,H,2024/2025,33.33,15,66.67,5,1.0,1.67,36.84,52.63,1.33,3,1.33,2.3,1.75,1.26,0.79,1.37,0
2024-09-26,SP1,20:00,Celta,Ath Madrid,A,D,2024/2025,25.0,9,75.0,2,0.75,2.0,36.84,57.89,1.25,4,1.0,2.0,1.99,1.68,0.79,1.11,0
2024-10-06,SP1,20:00,Sociedad,Ath Madrid,D,A,2024/2025,20.0,16,60.0,1,0.8,1.2,36.84,42.11,1.2,8,1.4,2.54,1.64,1.05,0.79,1.05,0
2024-10-27,SP1,17:30,Betis,Ath Madrid,H,H,2024/2025,0.0,24,40.0,3,0.6,1.4,36.84,57.89,0.8,3,0.6,2.26,1.78,1.68,0.79,1.11,0
2024-11-10,SP1,15:15,Mallorca,Ath Madrid,A,D,2024/2025,0.0,12,20.0,2,0.6,0.6,36.84,47.37,0.8,6,0.6,2.76,1.55,1.05,0.79,1.11,0
2024-11-30,SP1,20:00,Valladolid,Ath Madrid,A,A,2024/2025,20.0,9,80.0,9,0.4,0.8,36.84,47.37,1.6,1,2.4,2.0,1.98,0.58,0.79,1.68,1
2024-12-21,SP1,20:00,Barcelona,Ath Madrid,A,H,2024/2025,40.0,19,80.0,4,0.6,2.0,36.84,68.42,1.8,7,1.4,1.63,2.58,2.74,0.79,1.05,1
2025-01-18,SP1,15:15,Leganes,Ath Madrid,H,D,2024/2025,40.0,9,60.0,4,0.6,0.8,36.84,47.37,1.6,3,2.2,2.24,1.79,1.21,0.79,1.42,0
2025-02-08,SP1,20:00,Real Madrid,Ath Madrid,D,A,2024/2025,40.0,23,60.0,1,0.6,3.0,36.84,63.16,1.8,9,0.8,1.69,2.42,2.37,0.79,1.0,0
2025-02-22,SP1,17:30,Valencia,Ath Madrid,A,A,2024/2025,60.0,18,60.0,3,0.6,1.2,36.84,47.37,2.2,2,1.2,2.36,1.72,1.37,0.79,1.05,1
2025-03-09,SP1,13:00,Getafe,Ath Madrid,H,D,2024/2025,60.0,11,40.0,2,1.0,0.8,36.84,26.32,1.4,3,1.0,2.78,1.55,0.79,0.79,1.0,1
2025-03-29,SP1,15:15,Espanol,Ath Madrid,D,A,2024/2025,40.0,8,20.0,2,1.0,1.2,36.84,36.84,1.2,1,0.8,2.3,1.75,1.21,0.79,1.05,0
2025-04-06,SP1,15:15,Sevilla,Ath Madrid,A,D,2024/2025,60.0,11,40.0,5,1.0,0.8,36.84,26.32,1.6,6,1.8,2.46,1.67,0.89,0.79,1.21,1
2025-04-19,SP1,20:00,Las Palmas,Ath Madrid,H,D,2024/2025,60.0,8,60.0,2,1.0,1.0,36.84,47.37,1.4,2,1.8,2.0,1.98,1.11,0.79,1.53,0
2025-05-03,SP1,13:00,Alaves,Ath Madrid,D,D,2024/2025,40.0,8,0.0,2,1.0,0.4,36.84,15.79,0.8,2,0.6,2.52,1.63,0.74,0.79,0.89,0
2025-05-15,SP1,18:00,Osasuna,Ath Madrid,H,H,2024/2025,20.0,9,60.0,5,1.0,1.8,36.84,57.89,0.6,3,1.2,2.04,1.93,1.74,0.79,1.21,0
2025-05-25,SP1,13:00,Girona,Ath Madrid,A,D,2024/2025,40.0,2,40.0,11,0.8,0.4,36.84,68.42,1.2,1,1.8,1.6,2.64,1.42,0.79,1.58,1
