Date,Home,Away,Pick_1X2,Prob_1X2,Odds_1X2,Edge_1X2,EV_1X2,Delta_1X2,Pick_OU,Prob_OU,Odds_OU,Edge_OU,EV_OU,Delta_OU,Pick_TG,Prob_TG,Odds_TG,Edge_TG,EV_TG,Higher
2025-08-30 14:30:00,Chelsea,Fulham,1X2 A,58.1%,4.60,37.4%,1.67,+nan%,OU 2.5 Over,61.8%,1.90,10.5%,0.17,+nan%,TG 2-5,62.7%,3.50,34.1%,1.19,OU (61.8%)
2025-08-30 17:00:00,Man United,Burnley,1X2 A,54.1%,6.20,38.7%,2.36,+nan%,OU 2.5 Under,54.1%,2.05,6.7%,0.11,+nan%,TG 0-3,73.4%,2.90,38.9%,1.13,1X2 (54.1%)
2025-08-30 17:00:00,Sunderland,Brentford,1X2 H,37.2%,2.00,3.8%,-0.26,+nan%,OU 2.5 Under,64.4%,1.90,14.4%,0.22,+nan%,TG 0-3,84.1%,3.00,50.7%,1.52,OU (64.4%)
2025-08-30 17:00:00,Tottenham,Bournemouth,1X2 H,40.2%,2.00,6.9%,-0.20,+nan%,OU 2.5 Over,53.2%,1.90,3.2%,0.01,+nan%,TG 0-3,65.0%,3.00,31.7%,0.95,OU (53.2%)
2025-08-30 17:00:00,Wolves,Everton,1X2 A,45.5%,2.00,12.2%,-0.09,+nan%,OU 2.5 Under,66.4%,1.90,16.4%,0.26,+nan%,TG 0-3,85.7%,3.00,52.4%,1.57,OU (66.4%)
2025-08-30 19:30:00,Leeds,Newcastle,1X2 A,46.4%,2.00,13.1%,-0.07,+nan%,OU 2.5 Under,57.0%,1.90,7.0%,0.08,+nan%,TG 0-3,76.6%,3.00,43.3%,1.30,OU (57.0%)
2025-08-31 16:00:00,Brighton,Man City,1X2 H,49.8%,2.00,16.5%,-0.00,+nan%,OU 2.5 Over,77.1%,1.90,27.1%,0.46,+nan%,TG 3-6,52.4%,3.00,19.0%,0.57,OU (77.1%)
2025-08-31 16:00:00,Nott'm Forest,West Ham,1X2 H,42.2%,2.00,8.8%,-0.16,+nan%,OU 2.5 Over,57.1%,1.90,7.1%,0.08,+nan%,TG 2-5,64.0%,3.00,30.7%,0.92,OU (57.1%)
2025-08-31 18:30:00,Liverpool,Arsenal,1X2 A,39.9%,2.00,6.6%,-0.20,+nan%,OU 2.5 Under,58.9%,1.90,8.9%,0.12,+nan%,TG 0-3,78.7%,3.00,45.4%,1.36,OU (58.9%)
2025-08-31 21:00:00,Aston Villa,Crystal Palace,1X2 A,45.1%,2.00,11.7%,-0.10,+nan%,OU 2.5 Over,69.9%,1.90,19.9%,0.33,+nan%,TG 2-5,58.8%,3.00,25.5%,0.76,OU (69.9%)
