date,home,away,market,outcome,prob,odds,edge,EV
2025-12-13 14:00:00,Torino,Cremonese,TG Interval,0-3,0.8407463733800749,3.0,0.5074130400467416,1.5222391201402248
2025-12-08 14:00:00,Pisa,Parma,TG Interval,0-3,0.8202385996620393,3.0,0.48690526632870595,1.4607157989861177
2025-12-13 17:00:00,Parma,Lazio,TG Interval,0-3,0.803235299063851,3.0,0.46990196573051773,1.4097058971915533
2025-12-06 14:00:00,Sassuolo,Fiorentina,TG Interval,0-3,0.7857549657957925,3.0,0.4524216324624592,1.3572648973873775
2025-12-12 19:45:00,Lecce,Pisa,TG Interval,0-3,0.7853992486243471,3.0,0.45206591529101375,1.3561977458730414
2025-12-08 17:00:00,Udinese,Genoa,TG Interval,0-3,0.7731256820532288,3.0,0.43979234871989553,1.3193770461596865
2025-12-07 14:00:00,Cagliari,Roma,TG Interval,0-3,0.7414125633914654,3.0,0.4080792300581321,1.2242376901743963
2025-12-13 19:45:00,Atalanta,Cagliari,TG Interval,0-3,0.7410270690547047,3.0,0.4076937357213714,1.223081207164114
2025-12-07 11:30:00,Cremonese,Lecce,TG Interval,0-3,0.7276534316400142,3.0,0.39432009830668086,1.1829602949200426
2025-12-06 19:45:00,Verona,Atalanta,TG Interval,0-3,0.7097966288089306,3.0,0.37646329547559726,1.1293898864267917
2025-12-08 19:45:00,Torino,Milan,TG Interval,0-3,0.7081977428369479,3.0,0.3748644095036146,1.124593228510844
2025-12-13 14:00:00,Torino,Cremonese,TG Interval,1-3,0.6691835274603878,3.0,0.33585019412705447,1.0075505823811635
2025-12-08 14:00:00,Pisa,Parma,TG Interval,1-3,0.6657812386862383,3.0,0.33244790535290497,0.9973437160587149
2025-12-07 19:45:00,Napoli,Juventus,TG Interval,0-3,0.6634014570745556,3.0,0.33006812374122224,0.9902043712236668
2025-12-07 17:00:00,Lazio,Bologna,TG Interval,0-3,0.6609640062903982,3.0,0.3276306729570649,0.9828920188711945
2025-12-13 17:00:00,Parma,Lazio,TG Interval,1-3,0.6593179248812281,3.0,0.3259845915478948,0.9779537746436842
2025-12-12 19:45:00,Lecce,Pisa,TG Interval,1-3,0.6516627370304413,3.0,0.318329403697108,0.9549882110913239
2025-12-06 14:00:00,Sassuolo,Fiorentina,TG Interval,1-3,0.6511513545113534,3.0,0.3178180211780201,0.9534540635340603
2025-12-08 17:00:00,Udinese,Genoa,TG Interval,1-3,0.6461027288609791,3.0,0.31276939552764577,0.9383081865829372
2025-12-06 17:00:00,Inter,Como,TG Interval,2-5,0.639531032863726,3.0,0.3061976995303927,0.9185930985911781
2025-12-07 17:00:00,Lazio,Bologna,TG Interval,2-5,0.6355188415241653,3.0,0.30218550819083195,0.9065565245724958
2025-12-07 19:45:00,Napoli,Juventus,TG Interval,2-5,0.6350390396766082,3.0,0.3017057063432749,0.9051171190298248
2025-12-07 14:00:00,Cagliari,Roma,TG Interval,1-3,0.6285698352196132,3.0,0.29523650188627987,0.8857095056588395
2025-12-13 19:45:00,Atalanta,Cagliari,TG Interval,1-3,0.6274857966040539,3.0,0.2941524632707206,0.8824573898121617
2025-12-08 19:45:00,Torino,Milan,TG Interval,2-5,0.62186144143597,3.0,0.2885281081026367,0.86558432430791
2025-12-06 19:45:00,Verona,Atalanta,TG Interval,2-5,0.618170172170039,3.0,0.2848368388367057,0.854510516510117
2025-12-07 11:30:00,Cremonese,Lecce,TG Interval,1-3,0.617937851188539,3.0,0.28460451785520563,0.8538135535656168
2025-12-08 19:45:00,Torino,Milan,TG Interval,1-3,0.6100736934248315,3.0,0.2767403600914982,0.8302210802744945
2025-12-06 19:45:00,Verona,Atalanta,TG Interval,1-3,0.6095759387087464,3.0,0.27624260537541306,0.8287278161262392
2025-12-07 11:30:00,Cremonese,Lecce,TG Interval,2-5,0.6064001435307906,3.0,0.2730668101974573,0.8192004305923719
2025-12-06 17:00:00,Inter,Como,TG Interval,0-3,0.6057672361495814,3.0,0.2724339028162481,0.8173017084487442
2025-12-07 14:00:00,Cagliari,Roma,TG Interval,2-5,0.6051859951696685,3.0,0.2718526618363352,0.8155579855090056
2025-12-13 19:45:00,Atalanta,Cagliari,TG Interval,2-5,0.6037432067649482,3.0,0.2704098734316149,0.8112296202948446
2025-12-08 17:00:00,Udinese,Genoa,TG Interval,2-5,0.5886662040974269,3.0,0.25533287076409356,0.7659986122922806
2025-12-07 19:45:00,Napoli,Juventus,TG Interval,1-3,0.580922708012586,3.0,0.24758937467925274,0.7427681240377582
2025-12-12 19:45:00,Lecce,Pisa,TG Interval,2-5,0.5799634753300702,3.0,0.24663014199673688,0.7398904259902106
2025-12-07 17:00:00,Lazio,Bologna,TG Interval,1-3,0.5792441346995718,3.0,0.2459108013662385,0.7377324040987154
2025-12-06 14:00:00,Sassuolo,Fiorentina,TG Interval,2-5,0.5785797608831618,3.0,0.24524642754982845,0.7357392826494853
2025-12-13 17:00:00,Parma,Lazio,TG Interval,2-5,0.5665303935096883,3.0,0.23319706017635494,0.6995911805290649
2025-12-08 14:00:00,Pisa,Parma,TG Interval,2-5,0.5522668308923684,3.0,0.21893349755903507,0.6568004926771052
2025-12-07 19:45:00,Napoli,Juventus,TG Interval,2-4,0.5446037220829232,3.0,0.21127038874958987,0.6338111662487695
2025-12-07 17:00:00,Lazio,Bologna,TG Interval,2-4,0.544482931128354,3.0,0.21114959779502068,0.6334487933850621
