league,n,d_rmse,d_nll,d_brier,d_logloss
Primeira Liga,215,-0.04171870390222465,-0.034384133424722574,-0.00919259747792911,-0.022057417796227885
Liga I,231,-0.03183957301165208,-0.027321166002398756,-0.006848346048311915,-0.014361809144175952
Championship,417,-0.038366454810637496,-0.02375152382358514,-0.004323386899690362,-0.012691222078254738
Ligue 2,223,-0.006130349756731324,-0.022259405417667133,-0.008844221077413061,-0.0200559350493974
Serie A,268,-0.02183697473039059,-0.02037334175171468,-0.0063144603376750486,-0.014553694580305976
Serie B,270,-0.02409766997012941,-0.017757803729954613,-0.007217276198643652,-0.018828854736229417
Süper Lig,216,-0.01810293190522072,-0.015280437310948747,-0.0019201365005068194,-0.005951386340069198
2. Bundesliga,216,-0.023362040520381155,-0.013028659194313397,-0.002206107417585562,-0.00740854533007318
Ligue 1,216,-0.005456425028703915,-0.013023075971706821,-0.008008398661849714,-0.019776206532852725
La Liga,258,-0.007431973057036023,-0.010215917561633203,-0.0035089048309139836,-0.00876178889373641
Premier League,281,0.006337357661537979,-0.008752636204483188,-0.0028020263796855738,-0.002506613171470773
Bundesliga,215,0.002027172218458828,-0.003633947137220872,-0.0019361940803014621,-0.004675590343363734
Eredivisie,225,0.003939490828978487,0.0017260865313808438,-0.0015550760095418004,-0.0019178479617257271
