datameci,txtechipa1,txtechipa2,cotaa,cotae,cotad,cotao,cotau,gg,ng,league,country
2025-12-20 00:00:00,Bournemouth,Burnley,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-20 00:00:00,Brighton,Sunderland,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-20 00:00:00,Everton,Arsenal,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-20 00:00:00,Leeds,C Palace,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-20 00:00:00,Man City,West Ham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-20 00:00:00,Newcastle,Chelsea,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-20 00:00:00,Tottenham,Liverpool,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-20 00:00:00,Wolves,Brentford,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-21 00:00:00,Aston Villa,Man Utd,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-22 00:00:00,Fulham,Nottingham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-26 00:00:00,Man Utd,Newcastle,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-27 00:00:00,Arsenal,Brighton,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-27 00:00:00,Brentford,Bournemouth,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-27 00:00:00,Burnley,Everton,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-27 00:00:00,Chelsea,Aston Villa,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-27 00:00:00,Liverpool,Wolves,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-27 00:00:00,Nottingham,Man City,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-27 00:00:00,West Ham,Fulham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-28 00:00:00,C Palace,Tottenham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-28 00:00:00,Sunderland,Leeds,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-30 00:00:00,Arsenal,Aston Villa,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-30 00:00:00,Burnley,Newcastle,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-30 00:00:00,Chelsea,Bournemouth,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-30 00:00:00,Man Utd,Wolves,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-30 00:00:00,Nottingham,Everton,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2025-12-30 00:00:00,West Ham,Brighton,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-01 00:00:00,Brentford,Tottenham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-01 00:00:00,C Palace,Fulham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-01 00:00:00,Liverpool,Leeds,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-01 00:00:00,Sunderland,Man City,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-03 00:00:00,Aston Villa,Nottingham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-03 00:00:00,Bournemouth,Arsenal,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-03 00:00:00,Brighton,Burnley,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-03 00:00:00,Wolves,West Ham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-04 00:00:00,Everton,Brentford,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-04 00:00:00,Fulham,Liverpool,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-04 00:00:00,Leeds,Man Utd,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-04 00:00:00,Man City,Chelsea,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-04 00:00:00,Newcastle,C Palace,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-04 00:00:00,Tottenham,Sunderland,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-06 00:00:00,West Ham,Nottingham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-07 00:00:00,Bournemouth,Tottenham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-07 00:00:00,Brentford,Sunderland,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-07 00:00:00,Burnley,Man Utd,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-07 00:00:00,C Palace,Aston Villa,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-07 00:00:00,Everton,Wolves,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-07 00:00:00,Fulham,Chelsea,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-07 00:00:00,Man City,Brighton,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-07 00:00:00,Newcastle,Leeds,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-08 00:00:00,Arsenal,Liverpool,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-17 00:00:00,Chelsea,Brentford,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-17 00:00:00,Leeds,Fulham,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-17 00:00:00,Liverpool,Burnley,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-17 00:00:00,Man Utd,Man City,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-17 00:00:00,Nottingham,Arsenal,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
2026-01-17 00:00:00,Sunderland,C Palace,2.0,3.4,3.6,1.9,1.9,2.0,2.0,Premier L,England
