fixture_datetime,home,away,league,home_matches_total,away_matches_total,home_xg_ok_last_window,away_xg_ok_last_window,home_pressure_ok_last_window,away_pressure_ok_last_window,window_n
2026-03-03 18:00:00,Padova,Spezia,Serie B,13,13,10,10,10,10,10
2026-03-03 19:00:00,Cesena,Monza,Serie B,13,13,10,10,10,10,10
2026-03-03 19:00:00,Venezia,Avellino,Serie B,13,13,10,10,10,10,10
2026-03-03 19:00:00,Virtus Entella,Modena,Serie B,13,13,10,10,10,10,10
2026-03-03 19:00:00,Reggiana,Sudtirol,Serie B,13,14,10,10,10,10,10
2026-03-03 19:30:00,Bournemouth,Brentford,Premier League,14,14,10,10,10,10,10
2026-03-03 19:30:00,Everton,Burnley,Premier League,14,14,10,10,10,10,10
2026-03-03 19:30:00,Leeds,Sunderland,Premier League,14,14,10,10,10,10,10
2026-03-03 19:45:00,Ipswich,Hull City,Championship,17,16,10,10,10,10,10
2026-03-03 20:15:00,Wolves,Liverpool,Premier League,15,14,10,10,10,10,10
2026-03-04 18:00:00,Rayo Vallecano,Oviedo,La Liga,12,12,10,10,10,10,10
2026-03-04 18:00:00,Carrarese,Catanzaro,Serie B,13,13,10,10,10,10,10
2026-03-04 19:00:00,Bari,Empoli,Serie B,13,12,10,10,10,10,10
2026-03-04 19:00:00,Frosinone,Pescara,Serie B,12,13,10,10,10,10,10
2026-03-04 19:00:00,Palermo,Mantova,Serie B,14,13,10,10,10,10,10
2026-03-04 19:00:00,Juve Stabia,Sampdoria,Serie B,13,13,10,10,10,10,10
2026-03-04 19:30:00,Hamburger SV,Bayer Leverkusen,Bundesliga,12,11,10,10,10,10,10
2026-03-04 19:30:00,Fulham,West Ham,Premier League,14,14,10,10,10,10,10
2026-03-04 19:30:00,Manchester City,Nottingham Forest,Premier League,14,14,10,10,10,10,10
2026-03-04 19:30:00,Brighton,Arsenal,Premier League,14,15,10,10,10,10,10
