source,league,rows,min_date,max_date
history,2. Bundesliga,227,2025-08-01 18:30:00,2026-03-13 17:30:00
history,Bundesliga,226,2025-08-22 18:30:00,2026-03-13 19:30:00
history,Championship,442,2025-08-08 19:00:00,2026-03-13 20:00:00
history,Eredivisie,235,2025-08-08 18:00:00,2026-03-13 19:00:00
history,La Liga,271,2025-08-15 17:00:00,2026-03-13 20:00:00
history,Liga I,242,2025-07-11 16:00:00,2026-03-13 18:30:00
history,Ligue 1,226,2025-08-15 18:45:00,2026-03-13 19:45:00
history,Ligue 2,238,2025-08-09 12:00:00,2026-03-13 19:00:00
history,Premier League,291,2025-08-15 19:00:00,2026-03-05 20:00:00
history,Primeira Liga,225,2025-08-08 19:15:00,2026-03-09 20:15:00
history,Serie A,281,2025-08-23 16:30:00,2026-03-13 19:45:00
history,Serie B,291,2025-08-22 18:30:00,2026-03-13 19:30:00
history,Süper Lig,227,2025-08-08 18:30:00,2026-03-13 17:00:00
upcoming,Bundesliga,19,2026-03-04 19:30:00+00:00,2026-03-15 18:30:00+00:00
upcoming,Championship,36,2026-03-02 20:00:00+00:00,2026-03-16 20:00:00+00:00
upcoming,Eredivisie,18,2026-03-06 19:00:00+00:00,2026-03-15 15:45:00+00:00
upcoming,La Liga,22,2026-03-02 20:00:00+00:00,2026-03-16 20:00:00+00:00
upcoming,Liga I,8,2026-03-07 12:30:00+00:00,2026-03-07 18:00:00+00:00
upcoming,Ligue 1,17,2026-03-06 19:45:00+00:00,2026-03-15 19:45:00+00:00
upcoming,Ligue 2,19,2026-03-02 19:45:00+00:00,2026-03-16 19:45:00+00:00
upcoming,Premier League,20,2026-03-03 19:30:00+00:00,2026-03-16 20:00:00+00:00
upcoming,Primeira Liga,19,2026-03-02 20:15:00+00:00,2026-03-15 17:00:00+00:00
upcoming,Serie A,21,2026-03-02 19:45:00+00:00,2026-03-16 19:45:00+00:00
upcoming,Serie B,30,2026-03-03 18:00:00+00:00,2026-03-15 16:15:00+00:00
upcoming,Süper Lig,18,2026-03-07 13:00:00+00:00,2026-03-15 18:00:00+00:00
predictions,Bundesliga,1,2026-03-04 19:30:00,2026-03-04 19:30:00
predictions,Championship,1,2026-03-03 19:45:00,2026-03-03 19:45:00
predictions,La Liga,1,2026-03-04 18:00:00,2026-03-04 18:00:00
predictions,Premier League,10,2026-03-03 19:30:00,2026-03-05 20:00:00
predictions,Serie B,10,2026-03-03 18:00:00,2026-03-04 19:00:00
