team,home_matches,away_matches,total_matches,last_home_date,last_away_date,last_any_date
Arsenal,13,14,27,2026-02-07 15:00:00,2026-02-18 20:00:00,2026-02-18 20:00:00
Aston Villa,13,13,26,2026-02-11 19:30:00,2026-02-07 15:00:00,2026-02-11 19:30:00
Bournemouth,13,13,26,2026-02-07 15:00:00,2026-02-10 19:30:00,2026-02-10 19:30:00
Brentford,13,13,26,2026-02-12 20:00:00,2026-02-07 17:30:00,2026-02-12 20:00:00
Brighton,13,13,26,2026-02-08 14:00:00,2026-02-11 19:30:00,2026-02-11 19:30:00
Burnley,13,13,26,2026-02-07 15:00:00,2026-02-11 19:30:00,2026-02-11 19:30:00
Chelsea,13,13,26,2026-02-10 19:30:00,2026-02-07 15:00:00,2026-02-10 19:30:00
Crystal Palace,13,13,26,2026-02-11 19:30:00,2026-02-08 14:00:00,2026-02-11 19:30:00
Everton,13,13,26,2026-02-10 19:30:00,2026-02-07 15:00:00,2026-02-10 19:30:00
Fulham,13,13,26,2026-02-07 15:00:00,2026-02-11 19:30:00,2026-02-11 19:30:00
Leeds,13,13,26,2026-02-06 20:00:00,2026-02-10 19:30:00,2026-02-10 19:30:00
Liverpool,13,13,26,2026-02-08 16:30:00,2026-02-11 20:15:00,2026-02-11 20:15:00
Manchester City,13,13,26,2026-02-11 19:30:00,2026-02-08 16:30:00,2026-02-11 19:30:00
Manchester United,13,13,26,2026-02-07 12:30:00,2026-02-10 20:15:00,2026-02-10 20:15:00
Newcastle,13,13,26,2026-02-07 17:30:00,2026-02-10 19:30:00,2026-02-10 19:30:00
Nottingham Forest,13,13,26,2026-02-11 19:30:00,2026-02-06 20:00:00,2026-02-11 19:30:00
Sunderland,13,13,26,2026-02-11 20:15:00,2026-02-07 15:00:00,2026-02-11 20:15:00
Tottenham,13,13,26,2026-02-10 19:30:00,2026-02-07 12:30:00,2026-02-10 19:30:00
West Ham,13,13,26,2026-02-10 20:15:00,2026-02-07 15:00:00,2026-02-10 20:15:00
Wolves,14,13,27,2026-02-18 20:00:00,2026-02-11 19:30:00,2026-02-18 20:00:00
