league_group,fixture_datetime,league,home,away,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,market,odds,p_model,p_implied,model_prob,implied_prob,value_margin,risk_flags,ev,score,mu_home,mu_away,mu_total,stake_units,stake_tier,reason_codes,neff_min,press_n_min,xg_n_min,sterile_flag,assassin_flag,timing_usable,slow_start_flag,late_goal_flag,timing_early_share,timing_late_share,run_id,input_hash,ft_home,ft_away,hit,profit
Premier League,2026-02-21T17:30:00,Premier League,West Ham,Bournemouth,2026-02-20 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.35,0.4557998641338147,0.425531914893617,0.4557998641338147,0.425531914893617,0.0302679492401976,,0.0711296807144645,0.1960972185991355,1.537986306077951,1.3850289057310072,2.9230152118089583,1.0,T2,SELECT_TOP_SCORE|STAKE_T2_MED_CONF,11.143011127794642,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_6e8c4a6e3fc9,6e8c4a6e3fc960ab56b5888e36e7e0e8f4d54792dc984b39cdab23d9ae49fcb8,0,0,True,1.35
Premier League,2026-02-21T20:00:00,Premier League,Manchester City,Newcastle,2026-02-20 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.7,0.4883747672099866,0.3703703703703703,0.4883747672099866,0.3703703703703703,0.1180043968396162,,0.3186118714669639,0.4412908736689396,1.6222113838297694,1.1514910604213344,2.773702444251104,2.0,T4,SELECT_TOP_SCORE|STAKE_T4_MAX_CONF,8.65909752741936,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_6e8c4a6e3fc9,6e8c4a6e3fc960ab56b5888e36e7e0e8f4d54792dc984b39cdab23d9ae49fcb8,2,1,False,-1.0
Premier League,2026-02-22T14:00:00,Premier League,Nottingham Forest,Liverpool,2026-02-21 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.1,0.4974314708839134,0.4761904761904761,0.4974314708839134,0.4761904761904761,0.0212409946934372,,0.044606088856218,0.1688530887032709,1.4326459876625843,1.3017004292568406,2.7343464169194247,0.5,T1,SELECT_TOP_SCORE|STAKE_T1_LOW_CONF,10.298839086190728,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_3a3363a01a39,3a3363a01a398b41b60f9fa21d312976bc90f4c719f0e7539183838b7a6aa45e,0,1,True,1.1
Premier League,2026-02-28T12:30:00,Premier League,Bournemouth,Sunderland,2026-02-27 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.05,0.5151879335003107,0.4878048780487805,0.5151879335003107,0.4878048780487805,0.0273830554515301,,0.0561352636756367,0.1809442191024107,1.5319461599957611,1.1240516570519263,2.6559978170476874,1.0,T2,SELECT_TOP_SCORE|STAKE_T2_MED_CONF,10.951963119614444,10.0,10.0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,PICKS_GOALS_c04445ef7deb,c04445ef7deba525f35af23e849b97a91f61485839f61b2e41d66a12a3d015ff,1,1,True,1.0499999999999998
Premier League,2026-02-28T15:00:00,Premier League,Liverpool,West Ham,2026-02-27 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.75,0.4912539579319552,0.3636363636363636,0.4912539579319552,0.3636363636363636,0.1276175942955915,,0.3509483843128769,0.474621364988176,1.60417812991222,1.156733467566071,2.760911597478291,2.0,T4,SELECT_TOP_SCORE|STAKE_T4_MAX_CONF,9.668527665239186,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_c04445ef7deb,c04445ef7deba525f35af23e849b97a91f61485839f61b2e41d66a12a3d015ff,5,2,False,-1.0
Premier League,2026-03-01T14:00:00,Premier League,Manchester United,Crystal Palace,2026-02-28 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.25,0.4863797558938862,0.4444444444444444,0.4863797558938862,0.4444444444444444,0.0419353114494417,,0.0943544507612439,0.2171196685952353,1.5841936844167048,1.1985750518759186,2.7827687362926232,1.0,T2,SELECT_TOP_SCORE|STAKE_T2_MED_CONF,8.742734068014965,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_183082c4058c,183082c4058cc5a75519fdf557855f39da74f454e2dba9743b4f499a7d011cee,2,1,False,-1.0
Premier League,2026-03-03T19:30:00,Premier League,Bournemouth,Brentford,2026-03-02 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.2,0.4958135272140365,0.4545454545454545,0.4958135272140365,0.4545454545454545,0.0412680726685819,,0.0907897598708804,0.2157744026270842,1.528313696483604,1.2126436901332516,2.740957386616856,1.5,T3,SELECT_TOP_SCORE|STAKE_T3_HIGH_CONF,11.163799366269838,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_1b86ac90a440,1b86ac90a44040a66eca9c3b70bf2d6fceea4f3cafccd6fb3fa96b7fb4b5c693,0,0,True,1.2000000000000002
Premier League,2026-03-04T19:30:00,Premier League,Aston Villa,Chelsea,2026-03-03 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.2,0.4985058642810878,0.4545454545454545,0.4985058642810878,0.4545454545454545,0.0439604097356332,,0.0967129014183931,0.2197541144410368,1.433372093267738,1.2962106727936995,2.7295827660614376,1.0,T2,SELECT_TOP_SCORE|STAKE_T2_MED_CONF,9.01537389844237,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_bba00f523ede,bba00f523ede45a8a40ba7f4175728ab5e33dfc68732233c938f0ab42afbdf6b,1,4,False,-1.0
Premier League,2026-03-04T20:15:00,Premier League,Newcastle,Manchester United,2026-03-03 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,2.55,0.4753654856670875,0.3921568627450981,0.4753654856670875,0.3921568627450981,0.0832086229219893,,0.2121819884510729,0.3354695018595439,1.482960765770189,1.350156481373089,2.833117247143278,2.0,T4,SELECT_TOP_SCORE|STAKE_T4_MAX_CONF,9.265115896365984,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_bba00f523ede,bba00f523ede45a8a40ba7f4175728ab5e33dfc68732233c938f0ab42afbdf6b,2,1,False,-1.0
Serie A,2026-02-21T19:45:00,Serie A,Cagliari,Lazio,2026-02-20 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_OVER,2.6,0.4095655640597591,0.3846153846153846,0.4095655640597591,0.3846153846153846,0.0249501794443745,,0.0648704665553736,0.1884492247134291,1.188790380563391,1.1533812777617714,2.3421716583251624,1.0,T2,SELECT_TOP_SCORE|STAKE_T2_MED_CONF,9.568478197870633,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_4e86a67e43f9,4e86a67e43f9ed04231c9456b739658c39f46e62e9215a8574396c875c5c75e9,0,0,False,-1.0
Serie A,2026-02-22T19:45:00,Serie A,AS Roma,Cremonese,2026-02-21 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_UNDER,1.95,0.543388094649957,0.5128205128205129,0.543388094649957,0.5128205128205129,0.030567581829444,,0.0596067845674159,0.1817076051634829,1.5308240392663537,1.0046450445831885,2.535469083849542,0.5,T1,SELECT_TOP_SCORE|STAKE_T1_LOW_CONF,8.11646445583473,10.0,10.0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,PICKS_GOALS_c78dbeb1fe79,c78dbeb1fe79bf82ab69a5d534c6184098d24673ec5b32e6134a06895312032c,3,0,False,-1.0
Serie A,2026-02-27T19:45:00,Serie A,Parma,Cagliari,2026-02-26 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_OVER,2.45,0.437289552461019,0.4081632653061224,0.437289552461019,0.4081632653061224,0.0291262871548966,,0.0713594035294966,0.1946616559556211,1.3067293352514466,1.1488371561636492,2.455566491415096,1.0,T2,SELECT_TOP_SCORE|STAKE_T2_MED_CONF,9.280256824186283,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_2836bd64cceb,2836bd64cceb79d1409064e09bb1a8131cd6dbcab3cb5828c42401ba65682a35,1,1,False,-1.0
Ligue 1,2026-02-21T18:00:00,Ligue 1,Toulouse,Paris FC,2026-02-20 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_OVER,2.2,0.5143249121749437,0.4545454545454545,0.5143249121749437,0.4545454545454545,0.0597794576294891,,0.1315148067848761,0.254949898397793,1.627533926202562,1.1582401378573508,2.785774064059913,1.5,T3,SELECT_TOP_SCORE|STAKE_T3_HIGH_CONF,9.417729989448835,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_41deac2fe455,41deac2fe4550b8168f9134adc7e45a6b85154a64b8c946975c5f89e10e062e5,1,1,False,-1.0
Ligue 1,2026-02-22T16:15:00,Ligue 1,Angers,Lille,2026-02-21 23:59:59.999999,,,2025-08-01,2026-07-01,7,OU25_OVER,2.1,0.5254965506488032,0.4761904761904761,0.5254965506488032,0.4761904761904761,0.049306074458327,,0.1035427563624866,0.2269647204067486,1.490297487772921,1.34669467024995,2.8369921580228707,1.5,T3,SELECT_TOP_SCORE|STAKE_T3_HIGH_CONF,9.40406301555198,10.0,10.0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,PICKS_GOALS_918ffc3fc578,918ffc3fc57842c3de2e1dc039455a8c3237a091fb8d0b24102f6d7bd0f041fb,0,1,False,-1.0
