fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Crystal Palace,Wolves,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.6688978672027588,0.6226611137390137,1.6688978672027588,0.6226611137390137,1.0,1,0.06,0.08,-0.04,2.2915589809417725,65.0,0.3975220534063857,0.6024779465936143,0.3975220534063857,0.6024779465936143,OU25_OVER,1.83,1.87,1.83,1.87,-0.2725346422663141,0.1266337601300589,0.3731029850353056,0.6268970149646944,BTTS_YES,,,,,BAD,1,2,elo_evidence_low;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.6320905278763702,11.361623739646197,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,0,
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Nottingham Forest,Liverpool,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,0.8888972997665405,2.249800205230713,0.8888972997665405,2.249800205230713,1.0,1,0.06,0.08,-0.04,3.1386975049972534,65.0,0.5893018479949138,0.4106981520050862,0.5893018479949138,0.4106981520050862,OU25_OVER,1.66,2.1,1.66,2.1,-0.0217589323284431,-0.1375338807893189,0.5154123641414797,0.4845876358585202,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,10.79578057258722,11.13497936589831,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,0,1,
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Sunderland,Fulham,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.0430632829666138,1.436066508293152,1.0430632829666138,1.436066508293152,1.0,1,0.06,0.08,-0.04,2.4791297912597656,65.0,0.4430909607661869,0.5569090392338131,0.4430909607661869,0.5569090392338131,OU25_OVER,2.05,1.68,2.05,1.68,-0.0916635304293168,-0.0643928140871941,0.4869599726940128,0.5130400273059872,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.268469012625406,11.860902486292842,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,3,
2026-02-22T16:30:00,2026-02-22,Premier League,England,2025-2026,Tottenham,Arsenal,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,0.8710386157035828,1.315876841545105,0.8710386157035828,1.315876841545105,1.0,1,0.06,0.08,-0.04,2.186915457248688,65.0,0.3710765997004923,0.6289234002995077,0.3710765997004923,0.6289234002995077,OU25_UNDER,1.75,1.98,1.75,1.98,-0.3506159505241384,0.2452683325930251,0.4231827536139786,0.5768172463860214,BTTS_YES,,,,,BAD,1,2,elo_evidence_low;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.253849710967675,12.5517155916886,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,4,
2026-02-23T20:00:00,2026-02-23,Premier League,England,2025-2026,Everton,Manchester United,full,2026-02-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,0.7817644476890564,1.49893319606781,0.7817644476890564,1.49893319606781,1.0,1,0.06,0.08,-0.04,2.2806976437568665,65.0,0.3946947427719794,0.6053052572280206,0.3946947427719794,0.6053052572280206,OU25_OVER,1.66,2.1,1.66,2.1,-0.3448067269985142,0.2711410401788434,0.4178082196768368,0.5821917803231632,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.708092404758087,10.22665622375781,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-23,2026-02-23,2026-02-23,0,1,
2026-02-27T20:00:00,2026-02-27,Premier League,England,2025-2026,Wolves,Aston Villa,full,2026-02-26T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,0.7477351427078247,1.874086856842041,0.7477351427078247,1.874086856842041,1.0,1,0.06,0.08,-0.04,2.6218219995498657,65.0,0.4772575211556003,0.5227424788443997,0.4772575211556003,0.5227424788443997,OU25_OVER,1.75,1.95,1.75,1.95,-0.1647993379776994,0.0193478337465793,0.4390592881062635,0.5609407118937364,BTTS_YES,,,,,BAD,1,2,elo_evidence_low;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.97319983289252,4.732328851877671,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-27,2026-02-27,2026-02-27,2,0,
2026-02-28T12:30:00,2026-02-28,Premier League,England,2025-2026,Bournemouth,Sunderland,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.881212592124939,0.854097306728363,1.881212592124939,0.854097306728363,1.0,1,0.06,0.08,-0.04,2.735309898853302,65.0,0.5032851366994024,0.4967148633005975,0.5032851366994024,0.4967148633005975,OU25_OVER,1.75,2.05,1.75,2.05,-0.1192510107760457,0.018265469766225,0.478366825195763,0.521633174804237,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,11.450533718314368,11.58817786990797,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,1,1,
2026-02-28T15:00:00,2026-02-28,Premier League,England,2025-2026,Newcastle,Everton,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.2547178268432615,0.7141796946525574,1.2547178268432615,0.7141796946525574,1.0,1,0.06,0.08,-0.04,1.968897521495819,65.0,0.3157587178331571,0.6842412821668429,0.3157587178331571,0.6842412821668429,OU25_UNDER,1.75,2.05,1.75,2.05,-0.447422243791975,0.4026946284420278,0.3656036230335327,0.6343963769664673,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,12.406225779758543,12.23038667596501,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,2,3,
2026-02-28T15:00:00,2026-02-28,Premier League,England,2025-2026,Liverpool,West Ham,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,2.172980546951294,0.6930671334266663,2.172980546951294,0.6930671334266663,1.0,1,0.06,0.08,-0.04,2.86604768037796,65.0,0.5323048740341232,0.4676951259658768,0.5323048740341232,0.4676951259658768,OU25_OVER,1.44,2.75,1.44,2.75,-0.2334809813908626,0.2861615964061612,0.4353596962472612,0.5646403037527388,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.49836366054405,10.829892660819382,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,5,2,
2026-02-28T15:00:00,2026-02-28,Premier League,England,2025-2026,Burnley,Brentford,full,2026-02-27T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.1672968864440918,1.3353307247161863,1.1672968864440918,1.3353307247161863,1.0,1,0.06,0.08,-0.04,2.5026276111602783,65.0,0.4486053259280357,0.5513946740719643,0.4486053259280357,0.5513946740719643,OU25_OVER,1.8,2.0,1.8,2.0,-0.1925104133295356,0.1027893481439286,0.5005432163401032,0.4994567836598967,BTTS_YES,,,,,BAD,1,2,elo_evidence_low;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,12.04270408988996,5.529502996677567,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-28,2026-02-28,2026-02-28,3,4,
