fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-03-03T19:30:00,2026-03-03,Premier League,England,2025-2026,Bournemouth,Brentford,full,strict_module_weights_v1,2026-03-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.528313696483604,1.2126436901332516,1.528313696483604,1.2126436901332516,1.0,1.5154639175257731,1.2577319587628866,1.7572773898708598,1.1190168925179895,1.4023081088164666,1.1943647301171527,1.583293453128368,1.196232139388039,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.740957386616856,56.0,0.5041864727859635,0.4958135272140365,0.5041864727859635,0.4958135272140365,OU25_OVER,1.65,2.2,1.65,2.2,-0.1680923199031602,0.0907897598708804,0.5398879855629324,0.4601120144370676,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.740617504947082,11.163799366269838,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-03,2026-03-03,2026-03-03,0,0,
2026-03-03T19:30:00,2026-03-03,Premier League,England,2025-2026,Everton,Burnley,full,strict_module_weights_v1,2026-03-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.5145606262667624,1.2013719415929138,1.5145606262667624,1.2013719415929138,1.0,1.5154639175257731,1.2577319587628866,1.8565345956216537,1.067280661936893,1.345743063133859,1.214827329171591,1.5451433356432909,1.1513770384046889,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.715932567859676,56.0,0.4985092807090149,0.501490719290985,0.4985092807090149,0.501490719290985,OU25_OVER,1.93,1.85,1.93,1.85,-0.0378770882316011,-0.0722421693116777,0.5354782507550546,0.4645217492449454,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,8.251002509802781,13.228840758667255,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-03,2026-03-03,2026-03-03,2,0,
2026-03-03T19:30:00,2026-03-03,Premier League,England,2025-2026,Leeds,Sunderland,full,strict_module_weights_v1,2026-03-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.4894265777086473,1.1647348625881742,1.4894265777086473,1.1647348625881742,1.0,1.5154639175257731,1.2577319587628866,1.4909776018853322,0.8242903561368289,1.4010289287902256,1.1830316181532226,1.5355440732489936,1.133820555724124,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.654161440296821,56.0,0.4843473668361212,0.5156526331638788,0.4843473668361212,0.5156526331638788,OU25_OVER,2.05,1.75,2.05,1.75,-0.0070878979859515,-0.0976078919632121,0.5237153316163294,0.4762846683836705,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.101441089326292,12.155587927111808,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-03,2026-03-03,2026-03-03,0,1,
2026-03-03T20:15:00,2026-03-03,Premier League,England,2025-2026,Wolves,Liverpool,full,strict_module_weights_v1,2026-03-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.3313334047981118,1.3850684861428206,1.3313334047981118,1.3850684861428206,1.0,1.5154639175257731,1.2577319587628866,1.1031279456481102,2.052354265561636,1.2284286380779164,1.225803408540795,1.2309115348140494,1.4811576957852153,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.7164018909409324,56.0,0.4984332587336315,0.5015667412663685,0.4984332587336315,0.5015667412663685,OU25_OVER,1.55,2.4,1.55,2.4,-0.2274284489628711,0.2037601790392842,0.5417221439939174,0.4582778560060826,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,12.978302359732956,5.595818141312583,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-03,2026-03-03,2026-03-03,2,1,
2026-03-04T19:30:00,2026-03-04,Premier League,England,2025-2026,Fulham,West Ham,full,strict_module_weights_v1,2026-03-03T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.5706738698331797,1.1531602038802915,1.5706738698331797,1.1531602038802915,1.0,1.5154639175257731,1.2577319587628866,1.7777978747947063,1.0914788774809847,1.5245223823574672,1.0765605287021345,1.6223116790161312,1.0871176018060202,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.7238340737134714,56.0,0.5003559401529653,0.4996440598470347,0.5003559401529653,0.4996440598470347,OU25_OVER,1.77,2.0,1.77,2.0,-0.1143699859292515,-0.0007118803059305,0.5321278417095332,0.4678721582904668,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.438156984030911,11.30628373714469,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-04,2026-03-04,2026-03-04,0,1,
2026-03-04T19:30:00,2026-03-04,Premier League,England,2025-2026,Manchester City,Nottingham Forest,full,strict_module_weights_v1,2026-03-03T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.6281414395532088,1.1743608880598184,1.6281414395532088,1.1743608880598184,1.0,1.5154639175257731,1.2577319587628866,2.3842910148579097,0.7923598983809439,1.5016226831526365,1.1442464820607992,1.6324844010757975,1.2238819768054785,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.802502327613027,56.0,0.5180463997251856,0.4819536002748144,0.5180463997251856,0.4819536002748144,OU25_OVER,1.55,2.4,1.55,2.4,-0.1970280804259622,0.1566886406595544,0.5444331286809866,0.4555668713190134,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.409368143351177,5.580833326723866,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-04,2026-03-04,2026-03-04,2,2,
2026-03-04T19:30:00,2026-03-04,Premier League,England,2025-2026,Brighton,Arsenal,full,strict_module_weights_v1,2026-03-03T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.3911863113214755,1.4280812799677451,1.3911863113214755,1.4280812799677451,1.0,1.5154639175257731,1.2577319587628866,1.3579912889335943,1.8453580208921243,1.2156333676058575,1.434269509334864,1.3811730940653693,1.527541268158648,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.8192675912892207,56.0,0.5214924831081834,0.4785075168918166,0.5214924831081834,0.4785075168918166,OU25_OVER,1.9,1.85,1.9,1.85,-0.0091642820944515,-0.1147610937501393,0.5597878535237751,0.4402121464762248,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.216631546021762,13.611103415409897,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-04,2026-03-04,2026-03-04,0,1,
2026-03-04T19:30:00,2026-03-04,Premier League,England,2025-2026,Aston Villa,Chelsea,full,strict_module_weights_v1,2026-03-03T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.433372093267738,1.2962106727936995,1.433372093267738,1.2962106727936995,1.0,1.5154639175257731,1.2577319587628866,1.308412404618975,1.142526648387408,1.324176265882273,1.345706577872008,1.461204877299852,1.3697543199272075,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.7295827660614376,56.0,0.5014941357189122,0.4985058642810878,0.5014941357189122,0.4985058642810878,OU25_OVER,1.65,2.2,1.65,2.2,-0.1725346760637949,0.0967129014183931,0.5429763916436967,0.4570236083563033,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.735019834227383,9.01537389844237,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-04,2026-03-04,2026-03-04,1,4,
2026-03-04T20:15:00,2026-03-04,Premier League,England,2025-2026,Newcastle,Manchester United,full,strict_module_weights_v1,2026-03-03T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.482960765770189,1.350156481373089,1.482960765770189,1.350156481373089,1.0,1.5154639175257731,1.2577319587628866,1.578025018351977,1.547929550001106,1.4144172443995588,1.3942825884041254,1.461473543299169,1.3748003830671691,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.833117247143278,56.0,0.5246345143329125,0.4753654856670875,0.5246345143329125,0.4753654856670875,OU25_OVER,1.5,2.55,1.5,2.55,-0.2130482285006312,0.2121819884510729,0.5611015589181412,0.4388984410818588,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.265115896365984,10.60655218821328,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-04,2026-03-04,2026-03-04,2,1,
2026-03-05T20:00:00,2026-03-05,Premier League,England,2025-2026,Tottenham,Crystal Palace,full,strict_module_weights_v1,2026-03-04T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.4646279062251966,1.228481503662115,1.4646279062251966,1.228481503662115,1.0,1.5154639175257731,1.2577319587628866,1.1702476047872274,1.300161477385347,1.4951614530694692,1.1244416926588665,1.4705088618751887,1.2570485970148373,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.6931094098873114,56.0,0.493254956188912,0.506745043811088,0.493254956188912,0.506745043811088,OU25_OVER,1.8,2.0,1.8,2.0,-0.1121410788599583,0.0134900876221759,0.5340528738727313,0.4659471261272687,BTTS_YES,,,,,WARN,0,1,odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.688926595284649,11.81609627509921,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-03-05,2026-03-05,2026-03-05,1,3,
