fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-08-25T17:30:00,2025-08-25,La Liga,Spain,2025-2026,Athletic Club,Rayo Vallecano,full,strict_module_weights_v1,2025-08-24T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.4049205690511042,1.4782014844477187,1.4049205690511042,1.4782014844477187,1.0,1.534351145038168,1.1259541984732824,2.0,2.5,1.1650638476132438,1.5209093883983018,1.1996565965301045,1.590369831835322,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.883122053498823,57.0,0.5355199097670031,0.4644800902329968,0.5355199097670031,0.4644800902329968,OU25_OVER,,,,,,,0.5703561991877092,0.4296438008122908,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-25,2025-08-25,2025-08-25,1,0,
2025-08-27T19:00:00,2025-08-27,La Liga,Spain,2025-2026,Celta Vigo,Real Betis,full,strict_module_weights_v1,2025-08-26T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.2826347876148922,1.267107296560908,1.2826347876148922,1.267107296560908,1.0,1.534351145038168,1.1259541984732824,0.5,1.5,1.1936867969758225,1.1483804953624015,1.2818905214226768,1.518521973323978,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.5497420841758003,57.0,0.4597116719087881,0.5402883280912119,0.4597116719087881,0.5402883280912119,OU25_UNDER,,,,,,,0.5115821101387079,0.4884178898612921,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-27,2025-08-27,2025-08-27,1,1,
2025-08-29T17:30:00,2025-08-29,La Liga,Spain,2025-2026,Elche,Levante,full,strict_module_weights_v1,2025-08-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.3805167709745187,1.1476081971634653,1.3805167709745187,1.1476081971634653,1.0,1.534351145038168,1.1259541984732824,1.5,1.0,1.2027943149694398,1.210202125828396,1.264310936867566,1.178703945268213,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.528124968137984,57.0,0.4547267118645507,0.5452732881354492,0.4547267118645507,0.5452732881354492,OU25_UNDER,,,,,,,0.5035391835514155,0.4964608164485845,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-29,2025-08-29,2025-08-29,2,0,
2025-08-29T19:30:00,2025-08-29,La Liga,Spain,2025-2026,Valencia,Getafe,full,strict_module_weights_v1,2025-08-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.297362700778776,1.2249699019863456,1.297362700778776,1.2249699019863456,1.0,1.534351145038168,1.1259541984732824,0.7497343965028179,1.5,1.017580809701426,1.2745971437024388,1.4170144027514824,1.2237557466856916,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.522332602765122,57.0,0.453245878580423,0.546754121419577,0.453245878580423,0.546754121419577,OU25_UNDER,,,,,,,0.5060013641846541,0.4939986358153458,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.999943562233217,1.0,2.0,1.0,2.0,0,0,0,0,0,0,2025-08-29,2025-08-29,2025-08-29,3,0,
2025-08-30T15:00:00,2025-08-30,La Liga,Spain,2025-2026,Alaves,Atletico Madrid,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.6167549914796675,1.1668855389449402,1.6167549914796675,1.1668855389449402,1.0,1.534351145038168,1.1259541984732824,2.0,1.0,1.6543357318282588,1.1236242900343885,1.557722402029342,1.3423911481881206,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.7836405304246075,57.0,0.5138414578953603,0.4861585421046397,0.5138414578953603,0.4861585421046397,OU25_OVER,,,,,,,0.541257681580724,0.458742318419276,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,1,1,
2025-08-30T17:00:00,2025-08-30,La Liga,Spain,2025-2026,Oviedo,Real Sociedad,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.1549301353661412,1.4750270252817603,1.1549301353661412,1.4750270252817603,1.0,1.534351145038168,1.1259541984732824,0.5,2.0,1.080475645791202,1.748442429077376,0.8842830636122938,1.5501389544924131,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.6299571606479013,57.0,0.4787335644999081,0.5212664355000918,0.4787335644999081,0.5212664355000918,OU25_OVER,,,,,,,0.5194212890805846,0.4805787109194154,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,1,0,
2025-08-30T17:30:00,2025-08-30,La Liga,Spain,2025-2026,Girona,Sevilla,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.3770318090071203,1.441229702064715,1.3770318090071203,1.441229702064715,1.0,1.534351145038168,1.1259541984732824,2.0,2.5,1.1650638476132438,1.5209093883983018,1.088101556354169,1.4424827023033058,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.818261511071835,57.0,0.5212953595835979,0.4787046404164021,0.5212953595835979,0.4787046404164021,OU25_OVER,,,,,,,0.5594195309356965,0.4405804690643035,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,0,2,
2025-08-31T17:30:00,2025-08-31,La Liga,Spain,2025-2026,Espanyol,Osasuna,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.562258407175352,0.9217453048528728,1.562258407175352,0.9217453048528728,1.0,1.534351145038168,1.1259541984732824,1.5,0.5,1.6904844930915073,0.8986888867488159,1.5035873035488314,0.7867656151054234,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.484003712028225,57.0,0.4443783414457774,0.5556216585542226,0.4443783414457774,0.5556216585542226,OU25_UNDER,,,,,,,0.4697136152394714,0.5302863847605286,BTTS_NO,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,1,0,
2025-09-12T19:00:00,2025-09-12,La Liga,Spain,2025-2026,Sevilla,Elche,full,strict_module_weights_v1,2025-09-11T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.474473665390026,1.193060948208453,1.474473665390026,1.193060948208453,1.0,1.534351145038168,1.1259541984732824,1.0,1.5,1.4408543393537774,1.3947417376185236,1.6020784901452585,0.975975337658037,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.6675346135984794,56.0,0.4874095052718825,0.5125904947281175,0.4874095052718825,0.5125904947281175,OU25_OVER,,,,,,,0.527882595240523,0.472117404759477,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-12,2025-09-12,2025-09-12,2,2,
2025-09-13T14:15:00,2025-09-13,La Liga,Spain,2025-2026,Real Sociedad,Real Madrid,full,strict_module_weights_v1,2025-09-12T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.4362610057154643,1.555097621134735,1.4362610057154643,1.555097621134735,1.0,1.534351145038168,1.1259541984732824,1.0,2.5,1.7363381997964216,1.669697362128251,1.153743991004367,1.7491664048534366,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.9913586268501997,56.0,0.5586804839215158,0.4413195160784842,0.5586804839215158,0.4413195160784842,OU25_OVER,,,,,,,0.587703476128837,0.412296523871163,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,1,2,
2025-09-13T16:30:00,2025-09-13,La Liga,Spain,2025-2026,Athletic Club,Alaves,full,strict_module_weights_v1,2025-09-12T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.4771075879291184,1.1220375964785263,1.4771075879291184,1.1220375964785263,1.0,1.534351145038168,1.1259541984732824,1.5032784141816986,0.5032784141816987,1.3253701930516395,1.3772037789650995,1.5267869609310851,1.108108523719075,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.5991451844076447,56.0,0.4715609128105735,0.5284390871894264,0.4715609128105735,0.5284390871894264,OU25_OVER,,,,,,,0.512075004007074,0.487924995992926,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.9978480847209632,1.0,2.0,1.0,2.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,0,1,
2025-09-13T19:00:00,2025-09-13,La Liga,Spain,2025-2026,Atletico Madrid,Villarreal,full,strict_module_weights_v1,2025-09-12T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.476985951326804,1.0901103411080384,1.476985951326804,1.0901103411080384,1.0,1.534351145038168,1.1259541984732824,1.0,1.0,1.4005159287726123,1.027341043806156,1.6524660444735346,1.131573603068745,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.5670962924348424,56.0,0.4640420559601923,0.5359579440398077,0.4640420559601923,0.5359579440398077,OU25_OVER,,,,,,,0.5043874547536925,0.4956125452463075,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,2,0,
2025-09-14T12:00:00,2025-09-14,La Liga,Spain,2025-2026,Celta Vigo,Girona,full,strict_module_weights_v1,2025-09-13T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.7182997902789947,0.9781058680650768,1.7182997902789947,0.9781058680650768,1.0,1.534351145038168,1.1259541984732824,2.821863086422328,0.6781369135776721,1.5803489524115566,1.0112535673714935,1.7091431420744227,0.8283884219004938,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.696405658344072,56.0,0.4942525247222594,0.5057474752777406,0.4942525247222594,0.5057474752777406,OU25_OVER,,,,,,,0.5032333200566976,0.4967666799433023,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,2.86154687070311,1.0,3.0,1.0,3.0,1.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,1,1,
2025-09-14T14:15:00,2025-09-14,La Liga,Spain,2025-2026,Levante,Real Betis,full,strict_module_weights_v1,2025-09-13T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.3684272140499112,1.466074018309654,1.3684272140499112,1.466074018309654,1.0,1.534351145038168,1.1259541984732824,1.5,2.0,1.529733855864034,1.7012217440920725,0.889013168274541,1.5615476115892923,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.8345012323595653,56.0,0.5249096909438234,0.4750903090561765,0.5249096909438234,0.4750903090561765,OU25_OVER,,,,,,,0.5618473814974645,0.4381526185025355,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.9971177719038191,1.0,2.0,1.0,2.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,2,2,
2025-09-14T16:30:00,2025-09-14,La Liga,Spain,2025-2026,Osasuna,Rayo Vallecano,full,strict_module_weights_v1,2025-09-13T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.4514356579262508,1.0430613255015064,1.4514356579262508,1.0430613255015064,1.0,1.534351145038168,1.1259541984732824,1.0,0.7511250510045353,1.2615369927999884,0.9474884991474394,1.6892438068439453,1.122780064899521,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.4944969834277573,56.0,0.4467865675891254,0.5532134324108746,0.4467865675891254,0.5532134324108746,OU25_UNDER,,,,,,,0.4891116535259011,0.510888346474099,BTTS_NO,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.999887483468877,1.0,2.0,1.0,2.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,2,0,
2025-09-15T19:00:00,2025-09-15,La Liga,Spain,2025-2026,Espanyol,Mallorca,full,strict_module_weights_v1,2025-09-14T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.575159778901217,1.1297862867154944,1.575159778901217,1.1297862867154944,1.0,1.534351145038168,1.1259541984732824,1.750058798402391,0.7500587984023911,1.8240188518548008,1.2178186902949355,1.3216349123280422,1.199776219648834,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.704946065616712,56.0,0.4960675593552646,0.5039324406447354,0.4960675593552646,0.5039324406447354,OU25_OVER,,,,,,,0.527144865450847,0.4728551345491529,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.999997234194476,1.0,2.0,1.0,2.0,1.0,0,0,0,0,0,0,2025-09-15,2025-09-15,2025-09-15,3,2,
2025-09-19T19:00:00,2025-09-19,La Liga,Spain,2025-2026,Real Betis,Real Sociedad,full,strict_module_weights_v1,2025-09-18T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.2496969831637346,1.2863883967720773,1.2496969831637346,1.2863883967720773,1.0,1.534351145038168,1.1259541984732824,1.0,0.750851202853895,0.9897378624826884,1.4714474381255869,1.1540882381111808,1.5722389502639122,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.536085379935812,56.0,0.4564903673914701,0.5435096326085299,0.4564903673914701,0.5435096326085299,OU25_UNDER,,,,,,,0.5089132957020853,0.4910867042979147,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.996270056964536,1.9784195301419405,2.0,2.0,2.0,2.0,0,0,0,0,0,0,2025-09-19,2025-09-19,2025-09-19,3,1,
