fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-21T15:00:00,2026-02-21,Premier League,England,2025-2026,Chelsea,Burnley,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,2.1052651405334477,0.7471111416816711,2.8523762822151184,0.5429238725925075,0.4570761274074925,0.5429238725925075,0.4570761274074925,OU25_OVER,1.44,1.44,1.44,1.44,-0.2181896234667891,-0.3418103765332109,0.4621605315516866,0.5378394684483134,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.715623075214884,10.876484720930046,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,1,
2026-02-21T15:00:00,2026-02-21,Premier League,England,2025-2026,Brentford,Brighton,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,2.114445447921753,0.3494574129581451,2.463902860879898,0.4468807325558244,0.5531192674441756,0.4468807325558244,0.5531192674441756,OU25_UNDER,1.73,1.73,1.73,1.73,-0.2268963326784238,-0.0431036673215762,0.2593314064392005,0.7406685935607995,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.985572859484224,11.374934222457767,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,2,
2026-02-21T15:00:00,2026-02-21,Premier League,England,2025-2026,Aston Villa,Leeds,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,2.275273084640503,0.4368240535259247,2.712097138166428,0.509307439915472,0.490692560084528,0.509307439915472,0.490692560084528,OU25_OVER,1.78,1.78,1.78,1.78,-0.0934327569504598,-0.1265672430495401,0.3175434782331652,0.6824565217668348,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.548013585330953,10.249063006473708,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,1,
2026-02-21T17:30:00,2026-02-21,Premier League,England,2025-2026,West Ham,Bournemouth,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,0.8351144790649414,0.6534444093704224,1.4885588884353638,0.1882867287400428,0.8117132712599572,0.1882867287400428,0.8117132712599572,OU25_UNDER,1.53,1.53,1.53,1.53,-0.7119213050277344,0.2419213050277344,0.2716221314810517,0.7283778685189484,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,12.477740601624886,11.806712675158808,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,0,
2026-02-21T20:00:00,2026-02-21,Premier League,England,2025-2026,Manchester City,Newcastle,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,2.816237688064575,0.3392489850521087,3.155486673116684,0.6105568962345093,0.3894431037654907,0.6105568962345093,0.3894431037654907,OU25_OVER,1.41,1.41,1.41,1.41,-0.139114776309342,-0.4508852236906581,0.2704819601365292,0.7295180398634707,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,12.179678011034104,9.134544630726143,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,2,1,
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Crystal Palace,Wolves,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.8573404550552368,1.1444661617279053,3.001806616783142,0.5772103279829626,0.4227896720170374,0.5772103279829626,0.4227896720170374,OU25_OVER,1.83,1.83,1.83,1.83,0.0562949002088215,-0.2262949002088214,0.5752161604018824,0.4247838395981176,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.6320905278763702,11.361623739646197,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,0,
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Nottingham Forest,Liverpool,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2288354635238647,1.2460800409317017,2.4749155044555664,0.449736200145056,0.550263799854944,0.449736200145056,0.550263799854944,OU25_UNDER,1.66,1.66,1.66,1.66,-0.2534379077592069,-0.086562092240793,0.5039068525901237,0.4960931474098763,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.79578057258722,11.13497936589831,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,0,1,
2026-02-22T14:00:00,2026-02-22,Premier League,England,2025-2026,Sunderland,Fulham,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.384136199951172,0.8651860952377319,2.249322295188904,0.390479664667632,0.6095203353323679,0.390479664667632,0.6095203353323679,OU25_UNDER,2.05,2.05,2.05,2.05,-0.1995166874313544,0.2495166874313541,0.4339573511853954,0.5660426488146045,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.268469012625406,11.860902486292842,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,3,
2026-02-22T16:30:00,2026-02-22,Premier League,England,2025-2026,Tottenham,Arsenal,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,0.6214756369590759,2.091768503189087,2.713244140148163,0.5096017313802471,0.4903982686197529,0.5096017313802471,0.4903982686197529,OU25_OVER,1.75,1.75,1.75,1.75,-0.1081969700845675,-0.1418030299154324,0.4057015014098451,0.5942984985901549,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.253849710967675,12.5517155916886,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,4,
2026-02-23T20:00:00,2026-02-23,Premier League,England,2025-2026,Everton,Manchester United,full,2026-02-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,0.6493162512779236,0.7580055594444275,1.407321810722351,0.1682744496670535,0.8317255503329465,0.1682744496670535,0.8317255503329465,OU25_UNDER,1.66,1.66,1.66,1.66,-0.7206644135526912,0.3806644135526911,0.253795083831547,0.746204916168453,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.708092404758087,10.22665622375781,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-23,2026-02-23,2026-02-23,0,1,
