fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2026-02-20T19:30:00,2026-02-20,Serie B,Italy,2025-2026,Frosinone,Empoli,full,2026-02-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,3.008452653884888,0.2809869349002838,3.2894395887851715,0.6381490353502386,0.3618509646497614,0.6381490353502386,0.3618509646497614,OU25_OVER,1.82,1.82,1.82,1.82,0.1614312443374341,-0.3414312443374342,0.2328685235695637,0.7671314764304362,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,9.03957969924886,5.504937749642252,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-20,2026-02-20,2026-02-20,2,2,
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Mantova,Sampdoria,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,0.5035538673400879,0.9320459961891174,1.435599863529205,0.175169612290544,0.824830387709456,0.175169612290544,0.824830387709456,OU25_UNDER,2.2,2.2,2.2,2.2,-0.6146268529608032,0.8146268529608034,0.2398463339732782,0.7601536660267219,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.649492338268171,9.90357455640206,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,2,1,
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Venezia,Pescara,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.302513360977173,0.9219464063644408,3.2244597673416138,0.6251478538916798,0.3748521461083202,0.6251478538916798,0.3748521461083202,OU25_OVER,1.48,1.48,1.48,1.48,-0.0747811762403138,-0.4452188237596861,0.5420259757999545,0.4579740242000455,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.696897375020022,5.576392468642866,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,3,2,
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Palermo,Sudtirol,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,2.616176128387451,0.5926688313484192,3.2088449597358704,0.6218476642574194,0.3781523357425805,0.6218476642574194,0.3781523357425805,OU25_OVER,2.05,2.05,2.05,2.05,0.2747877117277097,-0.2247877117277099,0.4144716180601044,0.5855283819398955,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,12.594037398776546,8.921902706666238,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,3,0,
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Virtus Entella,Catanzaro,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,0.9517080187797546,0.812232255935669,1.7639402747154236,0.2597433015833201,0.7402566984166798,0.2597433015833201,0.7402566984166798,OU25_UNDER,2.15,2.15,2.15,2.15,-0.4415519015958616,0.5915519015958617,0.341421130583819,0.6585788694161809,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,11.00500935989417,9.819187796421136,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,3,
2026-02-21T14:00:00,2026-02-21,Serie B,Italy,2025-2026,Padova,Bari,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,0.8322498202323914,0.5698832273483276,1.402133047580719,0.1670179785805218,0.8329820214194781,0.1670179785805218,0.8329820214194781,OU25_UNDER,2.35,2.35,2.35,2.35,-0.6075077503357735,0.9575077503357736,0.2454106844588141,0.7545893155411859,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,7.654180937655393,11.83440002496562,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,1,1,
2026-02-21T16:15:00,2026-02-21,Serie B,Italy,2025-2026,Cesena,Spezia,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.7207355499267578,0.6690834164619446,2.3898189663887024,0.4276269907089331,0.5723730092910668,0.4276269907089331,0.5723730092910668,OU25_UNDER,2.15,2.15,2.15,2.15,-0.0806019699757938,0.2306019699757935,0.4005339727230262,0.5994660272769737,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.178802060505214,11.062813169130282,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,2,3,
2026-02-21T18:30:00,2026-02-21,Serie B,Italy,2025-2026,Carrarese,Monza,full,2026-02-20T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,7,7,7,7,7,7,7,7,7,1.1784931421279907,0.7106842398643494,1.88917738199234,0.2933586610213567,0.7066413389786432,0.2933586610213567,0.7066413389786432,OU25_UNDER,2.1,2.1,2.1,2.1,-0.3839468118551509,0.4839468118551508,0.3521461113708931,0.647853888629107,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,8.419341446915054,11.639490834718766,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-21,2026-02-21,2026-02-21,0,1,
2026-02-22T14:00:00,2026-02-22,Serie B,Italy,2025-2026,Juve Stabia,Modena,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,0.6952165961265564,0.3956322371959686,1.090848833322525,0.0977477168514974,0.9022522831485026,0.0977477168514974,0.9022522831485026,OU25_UNDER,2.45,2.45,2.45,2.45,-0.7605180937138314,1.2105180937138311,0.1637106126507949,0.8362893873492051,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,10.037576944416658,10.61801782318724,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,2,
2026-02-22T16:15:00,2026-02-22,Serie B,Italy,2025-2026,Reggiana,Avellino,full,2026-02-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.1806483268737793,0.7576114535331726,1.938259780406952,0.3066176603680489,0.6933823396319512,0.3066176603680489,0.6933823396319512,OU25_UNDER,2.25,2.25,2.25,2.25,-0.31011026417189,0.56011026417189,0.3680898527057128,0.6319101472942872,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,9.390434766551676,10.04856899955167,10.0,10.0,10.0,10.0,0,0,0,0,0,0,2026-02-22,2026-02-22,2026-02-22,1,1,
