fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-08-01T16:00:00,2025-08-01,Liga I,Romania,2025-2026,Farul Constanta,Metaloglobus,full,strict_module_weights_v1,2025-07-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.4581031480315318,1.5944349369447717,1.4581031480315318,1.5944349369447717,1.0,1.5,1.4166666666666667,2.5,2.0,1.1666666666666667,1.8333333333333333,1.26574592545946,1.4777397477790868,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.0525380849763035,58.0,0.5714204091965467,0.4285795908034533,0.5714204091965467,0.4285795908034533,OU25_OVER,,,,,,,0.5972785380799804,0.4027214619200195,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-01,2025-08-01,2025-08-01,2,1,
2025-08-01T18:30:00,2025-08-01,Liga I,Romania,2025-2026,Petrolul Ploiesti,Uta Arad,full,strict_module_weights_v1,2025-07-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.2951817572214273,1.4726942078165046,1.2951817572214273,1.4726942078165046,1.0,1.5,1.4166666666666667,0.5,1.0,1.1666666666666667,1.8333333333333333,1.4140603622190415,1.390776831266018,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.767875965037932,58.0,0.5101613402880975,0.4898386597119025,0.5101613402880975,0.4898386597119025,OU25_OVER,,,,,,,0.548918780273328,0.451081219726672,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-01,2025-08-01,2025-08-01,1,2,
2025-08-02T15:30:00,2025-08-02,Liga I,Romania,2025-2026,Arges Pitesti,Csikszereda,full,strict_module_weights_v1,2025-08-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.657874393213674,1.3805215793799093,1.657874393213674,1.3805215793799093,1.0,1.5,1.4166666666666667,3.0,1.5,1.3392857142857144,1.4107142857142856,1.6922118585689816,1.244705365138684,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.0383959725935834,58.0,0.568606879663544,0.431393120336456,0.568606879663544,0.431393120336456,OU25_OVER,,,,,,,0.5918683624784229,0.4081316375215771,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-02,2025-08-02,2025-08-02,3,1,
2025-08-02T18:30:00,2025-08-02,Liga I,Romania,2025-2026,Dinamo Bucuresti,FCSB,full,strict_module_weights_v1,2025-08-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.3442076087982455,1.3954340104675516,1.3442076087982455,1.3954340104675516,1.0,1.5,1.4166666666666667,0.2,0.5,1.2976190476190477,1.7023809523809523,1.5992113875739344,1.4126884228225869,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.739641619265797,58.0,0.5037003323426772,0.4962996676573228,0.5037003323426772,0.4962996676573228,OU25_OVER,,,,,,,0.5458510545082383,0.4541489454917616,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-02,2025-08-02,2025-08-02,4,3,
2025-08-03T15:30:00,2025-08-03,Liga I,Romania,2025-2026,AFC Hermannstadt,Universitatea Cluj,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.4519114419282393,1.6196106938928674,1.4519114419282393,1.6196106938928674,1.0,1.5,1.4166666666666667,1.7488439729396863,2.253468081180941,1.140519195205168,1.8902285507962813,1.5675889833319143,1.4201603256361452,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.0715221358211067,58.0,0.5753442552439396,0.4246557447560604,0.5753442552439396,0.4246557447560604,OU25_OVER,,,,,,,0.5997708526686543,0.4002291473313457,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.998930309029272,1.0,2.0,1.0,2.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,2,2,
2025-08-03T18:30:00,2025-08-03,Liga I,Romania,2025-2026,CFR 1907 Cluj,Universitatea Craiova,full,strict_module_weights_v1,2025-08-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.521278447419068,1.448514743860798,1.521278447419068,1.448514743860798,1.0,1.5,1.4166666666666667,2.0182500128749425,2.240874993562529,1.2946428571428572,1.3303571428571428,1.5831709273834378,1.3006851684943708,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.969793191279866,58.0,0.5540928341922787,0.4459071658077213,0.5540928341922787,0.4459071658077213,OU25_OVER,,,,,,,0.5847153731478616,0.4152846268521384,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.9310074178145795,1.0,2.0,1.0,2.0,1.0,0,0,0,0,0,0,2025-08-03,2025-08-03,2025-08-03,2,3,
2025-08-04T16:00:00,2025-08-04,Liga I,Romania,2025-2026,Unirea Slobozia,Oţelul,full,strict_module_weights_v1,2025-08-03T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.6389669318693914,1.5475022646671022,1.6389669318693914,1.5475022646671022,1.0,1.5,1.4166666666666667,3.5,1.5,1.2976190476190477,1.7023809523809523,1.4582486798585168,1.6209614396207883,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.186469196536493,58.0,0.5983456268822613,0.4016543731177386,0.5983456268822613,0.4016543731177386,OU25_OVER,,,,,,,0.6186050442893223,0.3813949557106777,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-04,2025-08-04,2025-08-04,0,0,
2025-08-04T18:30:00,2025-08-04,Liga I,Romania,2025-2026,Rapid,FC Botosani,full,strict_module_weights_v1,2025-08-03T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.434721235306458,1.308587767423404,1.434721235306458,1.308587767423404,1.0,1.5,1.4166666666666667,0.5,0.5,1.2976190476190477,1.7023809523809523,1.8412658936067845,1.0653034506459962,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.7433090027298617,58.0,0.5045915041608187,0.4954084958391813,0.5045915041608187,0.4954084958391813,OU25_OVER,,,,,,,0.5455946264461046,0.4544053735538954,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-04,2025-08-04,2025-08-04,2,1,
2025-08-08T18:30:00,2025-08-08,Liga I,Romania,2025-2026,Metaloglobus,Dinamo Bucuresti,full,strict_module_weights_v1,2025-08-07T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.3723254060326815,1.6551377689339688,1.3723254060326815,1.6551377689339688,1.0,1.5,1.4166666666666667,1.2495439228436325,2.4956877066415,1.318452380952381,1.556547619047619,1.271031674040893,1.7990617073649886,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.0274631749666505,58.0,0.5663442130900569,0.4336557869099431,0.5663442130900569,0.4336557869099431,OU25_OVER,,,,,,,0.589935644158805,0.410064355841195,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.999833581054319,1.988032061506032,2.0,2.0,2.0,2.0,0,0,0,0,0,0,2025-08-08,2025-08-08,2025-08-08,0,1,
2025-08-09T15:30:00,2025-08-09,Liga I,Romania,2025-2026,Uta Arad,Farul Constanta,full,strict_module_weights_v1,2025-08-08T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.4357720868063368,1.5084975330412782,1.4357720868063368,1.5084975330412782,1.0,1.5,1.4166666666666667,1.5004185296684005,1.5011149697741244,1.318452380952381,1.556547619047619,1.4244685544056055,1.6103298585411772,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.9442696198476157,58.0,0.548674252287102,0.451325747712898,0.548674252287102,0.451325747712898,OU25_OVER,,,,,,,0.5805325545105319,0.4194674454894681,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.999964965969642,1.99981011017478,2.0,2.0,2.0,2.0,0,0,0,0,0,0,2025-08-09,2025-08-09,2025-08-09,2,1,
