fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-11-01T15:30:00,2025-11-01,Liga I,Romania,2025-2026,Unirea Slobozia,Arges Pitesti,full,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.6646300554275513,1.1580077409744265,2.822637796401977,0.5359235429360313,0.4640764570639687,0.5359235429360313,0.4640764570639687,OU25_OVER,,,,,,,0.5560769114692209,0.4439230885307791,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.485621531734398,6.995164900723095,6.0,7.0,6.0,7.0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,0,1,
2025-11-01T18:30:00,2025-11-01,Liga I,Romania,2025-2026,Universitatea Cluj,FCSB,full,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,0.490128755569458,0.7693586349487305,1.2594873905181885,0.1336619290628832,0.8663380709371168,0.1336619290628832,0.8663380709371168,OU25_UNDER,,,,,,,0.2079418233534391,0.7920581766465609,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.089454867906297,6.5078557552644645,6.0,7.0,6.0,7.0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,0,2,
2025-11-02T13:30:00,2025-11-02,Liga I,Romania,2025-2026,Uta Arad,Metaloglobus,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.1159534454345703,0.6773853302001953,1.7933387756347656,0.2675957811276847,0.7324042188723153,0.2675957811276847,0.7324042188723153,OU25_UNDER,,,,,,,0.3308575163309278,0.6691424836690721,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.709980893318048,5.933399426008419,7.0,6.0,7.0,6.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,2,0,
2025-11-02T15:45:00,2025-11-02,Liga I,Romania,2025-2026,AFC Hermannstadt,Oţelul,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,0.6604806184768677,2.438615560531616,3.099096179008484,0.5985916345577387,0.4014083654422613,0.5985916345577387,0.4014083654422613,OU25_OVER,,,,,,,0.4412053473854426,0.5587946526145574,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.668973576169583,5.763063304906777,6.0,6.0,6.0,6.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,1,3,
2025-11-02T18:30:00,2025-11-02,Liga I,Romania,2025-2026,Universitatea Craiova,Rapid,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.7087501287460327,0.2396165132522583,1.948366641998291,0.3093491841019001,0.6906508158980998,0.3093491841019001,0.6906508158980998,OU25_UNDER,,,,,,,0.1744850727877321,0.8255149272122679,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,6.117152531598106,5.536678681749108,7.0,7.0,7.0,7.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,2,2,
2025-11-03T15:30:00,2025-11-03,Liga I,Romania,2025-2026,Farul Constanta,Csikszereda,full,2025-11-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.0845085382461548,0.869010865688324,1.9535194039344788,0.310744920773746,0.689255079226254,0.310744920773746,0.689255079226254,OU25_UNDER,,,,,,,0.3843401856152307,0.6156598143847694,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.746759526051719,4.982661551594059,6.0,5.0,6.0,5.0,0,0,0,0,0,0,2025-11-03,2025-11-03,2025-11-03,3,0,
2025-11-03T18:30:00,2025-11-03,Liga I,Romania,2025-2026,Petrolul Ploiesti,FC Botosani,full,2025-11-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.3801122903823853,1.1116749048233032,2.4917871952056885,0.4540781726986012,0.5459218273013988,0.4540781726986012,0.5459218273013988,OU25_UNDER,,,,,,,0.5022041746370308,0.4977958253629692,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.874267970534439,5.858277688141109,6.0,6.0,6.0,6.0,0,0,0,0,0,0,2025-11-03,2025-11-03,2025-11-03,0,0,
2025-11-07T16:00:00,2025-11-07,Liga I,Romania,2025-2026,Universitatea Cluj,Metaloglobus,full,2025-11-06T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.4749891757965088,0.5677021145820618,2.0426912903785706,0.3348766541581587,0.6651233458418413,0.3348766541581587,0.6651233458418413,OU25_UNDER,,,,,,,0.3340715873649691,0.6659284126350309,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.857035758874646,6.841034328090333,7.0,7.0,7.0,7.0,0,0,0,0,0,0,2025-11-07,2025-11-07,2025-11-07,3,1,
2025-11-07T18:30:00,2025-11-07,Liga I,Romania,2025-2026,Farul Constanta,FC Botosani,full,2025-11-06T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.1667262315750122,0.6806678771972656,1.8473941087722776,0.2821008297819605,0.7178991702180395,0.2821008297819605,0.7178991702180395,OU25_UNDER,,,,,,,0.3399840204460314,0.6600159795539686,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,5.296472498650186,6.659706348702732,7.0,7.0,7.0,7.0,0,0,0,0,0,0,2025-11-07,2025-11-07,2025-11-07,2,0,
2025-11-08T12:30:00,2025-11-08,Liga I,Romania,2025-2026,Petrolul Ploiesti,Oţelul,full,2025-11-07T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.343243956565857,1.619408369064331,2.962652325630188,0.5683892777917299,0.4316107222082701,0.5683892777917299,0.4316107222082701,OU25_OVER,,,,,,,0.5926682130701006,0.4073317869298993,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,6.691392836864099,6.9762178202575305,7.0,7.0,7.0,7.0,0,0,0,0,0,0,2025-11-08,2025-11-08,2025-11-08,0,0,
