fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-08-22T18:00:00,2025-08-22,Ligue 2,France,2025-2026,Rodez,Laval,full,strict_module_weights_v1,2025-08-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.3327553844352378,1.0676340786523937,1.3327553844352378,1.0676340786523937,1.0,1.264069264069264,1.2034632034632036,0.5,0.5,1.7807292831380448,1.0666992107194857,1.327781432092084,1.0782959783489623,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.400389463087631,58.0,0.4239547437030644,0.5760452562969356,0.4239547437030644,0.5760452562969356,OU25_OVER,,,,,,,0.4775323066621004,0.5224676933378996,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-22,2025-08-22,2025-08-22,1,1,
2025-08-22T18:00:00,2025-08-22,Ligue 2,France,2025-2026,Dunkerque,Nancy,full,strict_module_weights_v1,2025-08-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.5099854785238231,1.111235457662726,1.5099854785238231,1.111235457662726,1.0,1.264069264069264,1.2034632034632036,1.0,1.0,2.034880599485964,1.1003151852540916,1.5825504920985076,1.019085519855686,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.621220936186549,58.0,0.4767388088698559,0.5232611911301441,0.4767388088698559,0.5232611911301441,OU25_OVER,,,,,,,0.5140511564198658,0.4859488435801342,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-22,2025-08-22,2025-08-22,1,3,
2025-08-22T18:00:00,2025-08-22,Ligue 2,France,2025-2026,Amiens,Annecy,full,strict_module_weights_v1,2025-08-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.3934856866670635,1.1101801608028157,1.3934856866670635,1.1101801608028157,1.0,1.264069264069264,1.2034632034632036,2.0,1.0,1.373508757494884,1.1167322034622047,1.3779231666625489,0.998447314207932,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.5036658474698794,58.0,0.4489197695461506,0.5510802304538494,0.4489197695461506,0.5510802304538494,OU25_OVER,,,,,,,0.4970120887315494,0.5029879112684505,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-22,2025-08-22,2025-08-22,0,1,
2025-08-22T18:00:00,2025-08-22,Ligue 2,France,2025-2026,Clermont Foot,Grenoble,full,strict_module_weights_v1,2025-08-21T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.4464369036251954,1.1666646603191595,1.4464369036251954,1.1666646603191595,1.0,1.264069264069264,1.2034632034632036,1.0,0.5,2.1368439900045795,1.5504588246693998,1.22639280198538,0.9906586910661128,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.613101563944355,58.0,0.4747843906379718,0.5252156093620282,0.4747843906379718,0.5252156093620282,OU25_OVER,,,,,,,0.5178915027055782,0.4821084972944218,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-22,2025-08-22,2025-08-22,2,1,
2025-08-23T12:00:00,2025-08-23,Ligue 2,France,2025-2026,Estac Troyes,Montpellier,full,strict_module_weights_v1,2025-08-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.596575121441671,1.291015535660201,1.596575121441671,1.291015535660201,1.0,1.264069264069264,1.2034632034632036,1.5,1.5,2.120133371008627,1.6130811279029076,1.6436562922472349,1.0254398891967722,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.8875906571018723,58.0,0.5366636139149853,0.4633363860850147,0.5366636139149853,0.4633363860850147,OU25_OVER,,,,,,,0.5659232993731885,0.4340767006268115,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-23,2025-08-23,2025-08-23,1,0,
2025-08-23T12:00:00,2025-08-23,Ligue 2,France,2025-2026,Guingamp,RED Star FC 93,full,strict_module_weights_v1,2025-08-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.579976442040903,1.2772404674617976,1.579976442040903,1.2772404674617976,1.0,1.264069264069264,1.2034632034632036,2.0,2.0,2.1454435539321413,1.1771111672657448,1.3519513917206487,1.2063095770403198,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.857216909502701,58.0,0.5300447458927566,0.4699552541072433,0.5300447458927566,0.4699552541072433,OU25_OVER,,,,,,,0.5608158304031559,0.4391841695968441,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-23,2025-08-23,2025-08-23,0,4,
2025-08-25T18:45:00,2025-08-25,Ligue 2,France,2025-2026,PAU,Reims,full,strict_module_weights_v1,2025-08-24T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.4199155330129334,1.1293313077879392,1.4199155330129334,1.1293313077879392,1.0,1.264069264069264,1.2034632034632036,2.0,1.0,1.373508757494884,1.1167322034622047,1.4836425520460268,1.0750519021484268,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.5492468408008726,57.0,0.4597735648921618,0.5402264351078382,0.4597735648921618,0.5402264351078382,OU25_OVER,,,,,,,0.5054502520482249,0.4945497479517751,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-25,2025-08-25,2025-08-25,2,0,
2025-08-29T18:00:00,2025-08-29,Ligue 2,France,2025-2026,Nancy,PAU,full,strict_module_weights_v1,2025-08-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.2848122890494726,1.1085426939769367,1.2848122890494726,1.1085426939769367,1.0,1.264069264069264,1.2034632034632036,1.0,0.5,1.4705808231183326,1.111395591106621,1.246157510568736,1.1972340592599997,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.393354983026409,57.0,0.4221913404885545,0.5778086595114456,0.4221913404885545,0.5778086595114456,OU25_OVER,,,,,,,0.4791216776362992,0.5208783223637008,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-29,2025-08-29,2025-08-29,2,2,
2025-08-29T18:00:00,2025-08-29,Ligue 2,France,2025-2026,RED Star FC 93,Annecy,full,strict_module_weights_v1,2025-08-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.4144816523673105,1.1740311617341337,1.4144816523673105,1.1740311617341337,1.0,1.264069264069264,1.2034632034632036,1.009076653376595,1.7454616733117023,1.522404820028553,1.2297849614260317,1.7093803055792292,0.8426138906446964,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.588512814101444,57.0,0.4690050011175584,0.5309949988824416,0.4690050011175584,0.5309949988824416,OU25_OVER,,,,,,,0.5146853721818461,0.4853146278181539,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.983384840940951,1.0,2.0,1.0,2.0,0,0,0,0,0,0,2025-08-29,2025-08-29,2025-08-29,1,0,
2025-08-29T18:00:00,2025-08-29,Ligue 2,France,2025-2026,Rodez,Boulogne,full,strict_module_weights_v1,2025-08-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.336968512766869,1.0823411953684288,1.336968512766869,1.0823411953684288,1.0,1.264069264069264,1.2034632034632036,0.7500244101243354,0.2500244101243354,1.7030069578857745,1.114208149279023,1.3223465066211435,1.189605742603832,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.419309708135297,57.0,0.4285577293378316,0.5714422706621685,0.4285577293378316,0.5714422706621685,OU25_OVER,,,,,,,0.4816840087025881,0.5183159912974118,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.9999995233165504,1.0,2.0,1.0,2.0,1.0,0,0,0,0,0,0,2025-08-29,2025-08-29,2025-08-29,1,0,
