fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-08-30T11:30:00,2025-08-30,Premier League,England,2025-2026,Chelsea,Fulham,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.408290220310598,1.1236595553923865,1.408290220310598,1.1236595553923865,1.0,1.5154639175257731,1.2577319587628866,0.5,0.5,1.285447020902901,1.1674162721803825,1.7229715922982534,1.1148508153685448,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.5319497757029845,57.0,0.4556654817620404,0.5443345182379595,0.4556654817620404,0.5443345182379595,OU25_OVER,,,,,,,0.5023894386048522,0.4976105613951478,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,2,0,
2025-08-30T14:00:00,2025-08-30,Premier League,England,2025-2026,Manchester United,Burnley,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.6436238800901986,1.1084763409207516,1.6436238800901986,1.1084763409207516,1.0,1.5154639175257731,1.2577319587628866,1.5,0.5,1.8173992399089989,1.1010548261688329,1.732354012410558,1.1204794034935557,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.7521002210109504,57.0,0.506790743859759,0.493209256140241,0.506790743859759,0.493209256140241,OU25_OVER,,,,,,,0.530375339086748,0.4696246609132519,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,3,2,
2025-08-30T14:00:00,2025-08-30,Premier League,England,2025-2026,Wolves,Everton,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.3083042867898471,1.2223959400099174,1.3083042867898471,1.2223959400099174,1.0,1.5154639175257731,1.2577319587628866,0.5,2.0,1.1580145843589316,0.97183439101139,1.450460294759219,1.1053782350076613,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.5307002267997643,57.0,0.4552460102325995,0.5447539897674005,0.4552460102325995,0.5447539897674005,OU25_OVER,,,,,,,0.5074126532542371,0.4925873467457629,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,2,3,
2025-08-30T14:00:00,2025-08-30,Premier League,England,2025-2026,Tottenham,Bournemouth,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,2.016326975957072,1.1334971201220765,2.016326975957072,1.1334971201220765,1.0,1.5154639175257731,1.2577319587628866,3.5,1.0,2.607037976969087,1.0266124950614106,1.6335276588179632,1.0950048514062771,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.1498240960791484,57.0,0.5914092698089894,0.4085907301910105,0.5914092698089894,0.4085907301910105,OU25_OVER,,,,,,,0.5740441440040801,0.4259558559959199,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,0,1,
2025-08-30T14:00:00,2025-08-30,Premier League,England,2025-2026,Sunderland,Brentford,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.7141200554317826,1.1627171120067292,1.7141200554317826,1.1627171120067292,1.0,1.5154639175257731,1.2577319587628866,3.0,0.5,1.8599128706009065,1.0913372573826914,1.371825083084986,1.347160056623607,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.876837167438512,57.0,0.5344208914133677,0.4655791085866323,0.5344208914133677,0.4655791085866323,OU25_OVER,,,,,,,0.5519228186082112,0.4480771813917887,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,2,1,
2025-08-30T16:30:00,2025-08-30,Premier League,England,2025-2026,Leeds,Newcastle,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,6,6,6,6,6,6,6,6,6,1.3865108598773366,1.1172446405955052,1.3865108598773366,1.1172446405955052,1.0,1.5154639175257731,1.2577319587628866,0.5,0.2,1.3497086022883642,0.8483155325824279,1.5715925691797448,1.5282918957789742,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.503755500472842,57.0,0.4489336184435141,0.5510663815564858,0.4489336184435141,0.5510663815564858,OU25_OVER,,,,,,,0.4975802939936804,0.5024197060063196,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,0,0,
2025-08-31T13:00:00,2025-08-31,Premier League,England,2025-2026,Brighton,Manchester City,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.3913755438045183,1.3746588608900103,1.3913755438045183,1.3746588608900103,1.0,1.5154639175257731,1.2577319587628866,0.5,2.5,1.5045997691309925,1.0349388057275195,1.4361601380458433,1.451325503811903,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.766034404694529,57.0,0.5096133736700226,0.4903866263299774,0.5096133736700226,0.4903866263299774,OU25_OVER,,,,,,,0.5506678281142804,0.4493321718857196,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,2,1,
2025-08-31T13:00:00,2025-08-31,Premier League,England,2025-2026,Nottingham Forest,West Ham,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.7277956815186943,1.1761468542098508,1.7277956815186943,1.1761468542098508,1.0,1.5154639175257731,1.2577319587628866,3.0,0.5,1.8599128706009065,1.0913372573826914,1.426527587432633,1.4008790254360932,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.903942535728545,57.0,0.5402935138892955,0.4597064861107045,0.5402935138892955,0.4597064861107045,OU25_OVER,,,,,,,0.5566979212361922,0.4433020787638078,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,0,3,
2025-08-31T15:30:00,2025-08-31,Premier League,England,2025-2026,Liverpool,Arsenal,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.8945546588161548,1.1503494413864694,1.8945546588161548,1.1503494413864694,1.0,1.5154639175257731,1.2577319587628866,2.0,1.5,2.568681760666429,1.0355995353445866,1.7847946065569529,0.9534270961806726,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.0449041002026243,57.0,0.5700462544450933,0.4299537455549067,0.5700462544450933,0.4299537455549067,OU25_OVER,,,,,,,0.5676606261927547,0.4323393738072453,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,1,0,
2025-08-31T18:00:00,2025-08-31,Premier League,England,2025-2026,Aston Villa,Crystal Palace,full,strict_module_weights_v1,2025-08-30T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.250546835765033,1.1380085024916875,1.250546835765033,1.1380085024916875,1.0,1.5154639175257731,1.2577319587628866,0.2,0.2,1.377917059165926,1.0942425546059449,1.1195280158529684,1.365420321340187,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.3885553382567206,57.0,0.4209843956345948,0.5790156043654051,0.4209843956345948,0.5790156043654051,OU25_OVER,,,,,,,0.4796219785427275,0.5203780214572724,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-31,2025-08-31,2025-08-31,0,3,
