fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-08-23T15:00:00,2025-08-23,Primeira Liga,Portugal,2025-2026,Moreirense,Guimaraes,full,strict_module_weights_v1,2025-08-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.8695821388394804,1.021485468531918,1.8695821388394804,1.021485468531918,1.0,1.5161290322580645,1.2258064516129032,2.5,0.5,2.2845058925415773,0.9180640274168934,1.768016211203441,1.0065875241301334,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.8910676073713986,58.0,0.5376501546724367,0.4623498453275633,0.5376501546724367,0.4623498453275633,OU25_OVER,,,,,,,0.5303363691881059,0.4696636308118941,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-23,2025-08-23,2025-08-23,2,0,
2025-08-23T17:00:00,2025-08-23,Primeira Liga,Portugal,2025-2026,Nacional,Sporting CP,full,strict_module_weights_v1,2025-08-22T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2735977547464894,1.6976300925610626,1.2735977547464894,1.6976300925610626,1.0,1.5161290322580645,1.2258064516129032,0.2,2.0,1.426636846796613,2.213540466715648,1.161947720576441,1.8156895809479576,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.971227847307552,58.0,0.5546306369842744,0.4453693630157256,0.5546306369842744,0.4453693630157256,OU25_OVER,,,,,,,0.5752299752165853,0.4247700247834147,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-23,2025-08-23,2025-08-23,1,4,
2025-08-24T14:30:00,2025-08-24,Primeira Liga,Portugal,2025-2026,Famalicao,GIL Vicente,full,strict_module_weights_v1,2025-08-23T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.5009732407021494,1.1327943273005343,1.5009732407021494,1.1327943273005343,1.0,1.5161290322580645,1.2258064516129032,1.5,1.0,1.5070808668759477,0.928251392929033,1.4710056443197466,1.2416355936924597,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.633767568002684,57.0,0.4796435153875198,0.5203564846124802,0.4796435153875198,0.5203564846124802,OU25_OVER,,,,,,,0.5179521905409201,0.4820478094590799,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-24,2025-08-24,2025-08-24,0,0,
2025-08-24T17:00:00,2025-08-24,Primeira Liga,Portugal,2025-2026,FC Porto,Casa Pia,full,strict_module_weights_v1,2025-08-23T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.6910041410324934,1.2052770801855577,1.6910041410324934,1.2052770801855577,1.0,1.5161290322580645,1.2258064516129032,1.5,1.0,2.186213233275845,1.181180818490526,1.551996879241225,1.2786371796710598,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.896281221218051,57.0,0.5386229806110694,0.4613770193889306,0.5386229806110694,0.4613770193889306,OU25_OVER,,,,,,,0.5592516773159497,0.4407483226840503,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-24,2025-08-24,2025-08-24,4,0,
2025-08-24T19:30:00,2025-08-24,Primeira Liga,Portugal,2025-2026,SC Braga,AVS,full,strict_module_weights_v1,2025-08-23T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.8773509534249735,1.1229075319740105,1.8773509534249735,1.1229075319740105,1.0,1.5161290322580645,1.2258064516129032,3.0,0.5,2.4485181990599703,0.982547577890382,1.4350791630270212,1.3477922274250145,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.000258485398984,57.0,0.5607894835161219,0.4392105164838781,0.5607894835161219,0.4392105164838781,OU25_OVER,,,,,,,0.5589597054249384,0.4410402945750615,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-24,2025-08-24,2025-08-24,2,2,
2025-08-25T19:15:00,2025-08-25,Primeira Liga,Portugal,2025-2026,Estrela,Alverca,full,strict_module_weights_v1,2025-08-24T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.376403795314037,1.1407504450834804,1.376403795314037,1.1407504450834804,1.0,1.5161290322580645,1.2258064516129032,1.0,1.0,1.2224410753605457,1.0191526265265487,1.4573676542826974,1.1825588312267277,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.517154240397517,57.0,0.4521149051620191,0.547885094837981,0.4521149051620191,0.547885094837981,OU25_OVER,,,,,,,0.5013556188174549,0.498644381182545,BTTS_YES,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-25,2025-08-25,2025-08-25,2,2,
2025-08-29T19:15:00,2025-08-29,Primeira Liga,Portugal,2025-2026,GIL Vicente,Moreirense,full,strict_module_weights_v1,2025-08-28T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.244748962381311,1.2023300792750085,1.244748962381311,1.2023300792750085,1.0,1.5161290322580645,1.2258064516129032,0.2,1.5,1.0722273472504935,1.1350165218269574,1.400962050661847,1.113013472692431,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.44707904165632,57.0,0.4351687341584742,0.5648312658415258,0.4351687341584742,0.5648312658415258,OU25_OVER,,,,,,,0.4919290519830265,0.5080709480169734,BTTS_NO,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-29,2025-08-29,2025-08-29,2,0,
2025-08-30T14:30:00,2025-08-30,Primeira Liga,Portugal,2025-2026,Casa Pia,Nacional,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.4178390849027531,1.6501001315302914,1.4178390849027531,1.6501001315302914,1.0,1.5161290322580645,1.2258064516129032,0.5,1.5,2.054723589594966,2.539326291293131,0.9908262984031444,1.4997839122473893,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.067939216433045,57.0,0.5746599203640421,0.4253400796359579,0.5746599203640421,0.4253400796359579,OU25_OVER,,,,,,,0.5978263058026143,0.4021736941973857,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,0,2,
2025-08-30T17:00:00,2025-08-30,Primeira Liga,Portugal,2025-2026,AVS,Famalicao,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.2580788723947902,1.3796259793599706,1.2580788723947902,1.3796259793599706,1.0,1.5161290322580645,1.2258064516129032,0.2,1.5,1.291195072298017,1.455725496923272,1.2353139656682408,1.5014880979359646,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.6377048517547608,57.0,0.4804076144855875,0.5195923855144124,0.4804076144855875,0.5195923855144124,OU25_OVER,,,,,,,0.5267179288126267,0.4732820711873733,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,0,1,
2025-08-30T17:00:00,2025-08-30,Primeira Liga,Portugal,2025-2026,Guimaraes,Arouca,full,strict_module_weights_v1,2025-08-29T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,4,4,4,4,4,4,4,4,4,1.988600164670729,1.0963434687782865,1.988600164670729,1.0963434687782865,1.0,1.5161290322580645,1.2258064516129032,3.5,1.0,2.354334833166479,1.1378134835033644,1.7742593739035326,0.8862700690291365,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,3.0849436334490155,57.0,0.5783703332687189,0.4216296667312811,0.5783703332687189,0.4216296667312811,OU25_OVER,,,,,,,0.5617335231028336,0.4382664768971663,BTTS_YES,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-08-30,2025-08-30,2025-08-30,1,1,
