fixture_datetime,date,league,country,season,home,away,model_variant,mu_engine_mode,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_home_raw,mu_away_raw,mu_goal_multiplier,mu_anchor_home,mu_anchor_away,mu_elo_home,mu_elo_away,mu_xg_home,mu_xg_away,mu_pressure_home,mu_pressure_away,mu_weight_anchor,mu_weight_elo,mu_weight_xg,mu_weight_pressure,poisson_v2_enabled,poisson_v2_disp_alpha,poisson_v2_dep_strength,poisson_v2_dc_rho,mu_total,elo_hfa_used,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,quality_status,quality_critical,quality_issue_count,quality_flags,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-09-13T13:00:00,2025-09-13,Serie A,Italy,2025-2026,Cagliari,Parma,full,strict_module_weights_v1,2025-09-12T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.580158407198196,0.8978444510640688,1.580158407198196,0.8978444510640688,1.0,1.2830882352941178,1.150735294117647,1.5,0.5,1.909364134997673,0.8906596587409534,1.7583283173245232,0.6595416749270866,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.478002858262265,56.0,0.4429729096251446,0.5570270903748554,0.4429729096251446,0.5570270903748554,OU25_UNDER,,,,,,,0.4644400694088733,0.5355599305911267,BTTS_NO,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-13,2025-09-13,2025-09-13,2,0,
2025-09-14T10:30:00,2025-09-14,Serie A,Italy,2025-2026,AS Roma,Torino,full,strict_module_weights_v1,2025-09-13T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.6768485503349255,0.9701097934699164,1.6768485503349255,0.9701097934699164,1.0,1.2830882352941178,1.150735294117647,3.0,0.2,2.036238715579101,0.983951622056328,1.418214309290013,0.975311081235102,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.646958343804842,56.0,0.482855136535415,0.517144863464585,0.482855136535415,0.517144863464585,OU25_UNDER,,,,,,,0.49660765128788,0.50339234871212,BTTS_NO,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,0,1,
2025-09-14T13:00:00,2025-09-14,Serie A,Italy,2025-2026,Atalanta,Lecce,full,strict_module_weights_v1,2025-09-13T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.2996632912914952,0.9413145917448984,1.2996632912914952,0.9413145917448984,1.0,1.2830882352941178,1.150735294117647,0.5,0.5,1.3668410918817964,0.7702891687348963,1.5788708968135952,0.9537927276564624,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.240977883036394,56.0,0.38459805229509,0.61540194770491,0.38459805229509,0.61540194770491,OU25_UNDER,,,,,,,0.4404168192405454,0.5595831807594546,BTTS_NO,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,4,1,
2025-09-14T13:00:00,2025-09-14,Serie A,Italy,2025-2026,Pisa,Udinese,full,strict_module_weights_v1,2025-09-13T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.1202961836010157,1.2710603999679757,1.1202961836010157,1.2710603999679757,1.0,1.2830882352941178,1.150735294117647,0.5,1.5,1.1503439076804405,1.4887284879791398,1.0778996502530338,1.1543366413045273,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.3913565835689914,56.0,0.4216895664713622,0.5783104335286378,0.4216895664713622,0.5783104335286378,OU25_UNDER,,,,,,,0.4793758212040622,0.5206241787959378,BTTS_NO,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,0,1,
2025-09-14T16:00:00,2025-09-14,Serie A,Italy,2025-2026,Sassuolo,Lazio,full,strict_module_weights_v1,2025-09-13T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.2644619735396023,1.042999360376593,1.2644619735396023,1.042999360376593,1.0,1.2830882352941178,1.150735294117647,1.0,1.0,1.3448129995062352,1.010934203099016,1.260093718181586,0.9198867678191204,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.307461333916196,56.0,0.4010834325492381,0.5989165674507619,0.4010834325492381,0.5989165674507619,OU25_UNDER,,,,,,,0.4605198216350793,0.5394801783649207,BTTS_NO,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,1,0,
2025-09-14T18:45:00,2025-09-14,Serie A,Italy,2025-2026,AC Milan,Bologna,full,strict_module_weights_v1,2025-09-13T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.3860057417453675,1.043517243041976,1.3860057417453675,1.043517243041976,1.0,1.2830882352941178,1.150735294117647,1.0,1.0,1.3356066591727558,1.0879961491261814,1.7554751313381258,0.8448963524534868,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.429522984787344,56.0,0.4310832235803402,0.5689167764196599,0.4310832235803402,0.5689167764196599,OU25_UNDER,,,,,,,0.4798288911915527,0.5201711088084473,BTTS_NO,,,,,BAD,1,6,team_history_low;press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-14,2025-09-14,2025-09-14,1,0,
2025-09-19T18:45:00,2025-09-19,Serie A,Italy,2025-2026,Lecce,Cagliari,full,strict_module_weights_v1,2025-09-18T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,1,1,1,1,1,1,1,1,1,1.197169573228566,1.106788195905754,1.197169573228566,1.106788195905754,1.0,1.2830882352941178,1.150735294117647,0.5,1.0,1.319292913213787,1.1993815622371116,1.216444203229888,0.9865947507976688,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.30395776913432,56.0,0.4001551823681203,0.5998448176318797,0.4001551823681203,0.5998448176318797,OU25_UNDER,,,,,,,0.4631566634258489,0.5368433365741511,BTTS_NO,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-19,2025-09-19,2025-09-19,1,2,
2025-09-20T13:00:00,2025-09-20,Serie A,Italy,2025-2026,Bologna,Genoa,full,strict_module_weights_v1,2025-09-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.1643359654457424,1.1443058350383144,1.1643359654457424,1.1443058350383144,1.0,1.2830882352941178,1.150735294117647,1.0,0.5,1.0165747027045593,1.268990990681262,1.187827982607822,1.2670558788837605,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.3086418004840565,56.0,0.4012823492131704,0.5987176507868296,0.4012823492131704,0.5987176507868296,OU25_UNDER,,,,,,,0.4648310743781522,0.5351689256218477,BTTS_NO,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-20,2025-09-20,2025-09-20,2,1,
2025-09-20T16:00:00,2025-09-20,Serie A,Italy,2025-2026,Hellas Verona,Juventus,full,strict_module_weights_v1,2025-09-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.3652193919781177,1.0173218145436875,1.3652193919781177,1.0173218145436875,1.0,1.2830882352941178,1.150735294117647,0.2,0.5,1.8034812726505696,0.9215199692118768,1.5244551187913116,1.1065908183746385,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.382541206521805,56.0,0.4196337046188985,0.5803662953811015,0.4196337046188985,0.5803662953811015,OU25_UNDER,,,,,,,0.4701489634925865,0.5298510365074135,BTTS_NO,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-20,2025-09-20,2025-09-20,1,1,
2025-09-20T18:45:00,2025-09-20,Serie A,Italy,2025-2026,Udinese,AC Milan,full,strict_module_weights_v1,2025-09-19T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.1534611890822863,1.2879628819210236,1.1534611890822863,1.2879628819210236,1.0,1.2830882352941178,1.150735294117647,0.5,1.5,1.0948145348993323,1.3778200095130524,1.266089044959224,1.3328550475828065,0.4,0.1,0.25,0.25,1,0.06,0.08,-0.04,2.44142407100331,56.0,0.4338568588914414,0.5661431411085586,0.4338568588914414,0.5661431411085586,OU25_UNDER,,,,,,,0.489524985916093,0.5104750140839069,BTTS_NO,,,,,BAD,1,5,press_stats_low;xg_stats_low;elo_evidence_low;odds_ou_missing;odds_btts_missing,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2025-09-20,2025-09-20,2025-09-20,0,3,
