fixture_datetime,date,league,country,season,home,away,model_variant,run_asof_datetime,scope_country,scope_league,scope_season_start,scope_season_end,horizon_days,next_round_only,next_round_span_days,upcoming_rows_in,upcoming_rows_parsed,upcoming_rows_after_past,upcoming_rows_after_window,upcoming_rows_after_league,upcoming_rows_after_horizon,upcoming_rows_after_dedupe,upcoming_rows_after_next_round,upcoming_rows_after_filters,mu_home,mu_away,mu_total,p_over25,p_under25,p_over_2_5,p_under_2_5,pred_ou25,odds_over25,odds_under25,odds_over_2_5,odds_under_2_5,EV_over25,EV_under25,p_btts_yes,p_btts_no,pred_btts,odds_btts_yes,odds_btts_no,EV_btts_yes,EV_btts_no,timing_usable,timing_home_usable,timing_away_usable,timing_home_matches,timing_away_matches,timing_home_goals_scored,timing_home_goals_conceded,timing_away_goals_scored,timing_away_goals_conceded,timing_early_share,timing_late_share,slow_start_flag,late_goal_flag,neff_sim_H,neff_sim_A,press_stats_n_H,press_stats_n_A,xg_stats_n_H,xg_stats_n_A,sterile_flag,assassin_flag,sterile_H,sterile_A,assassin_H,assassin_A,_backtest_date,fixture_date,date_actual,ft_home,ft_away,result
2025-11-01T14:00:00,2025-11-01,Serie A,Italy,2025-2026,Udinese,Atalanta,full,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.3283846378326416,1.1038545370101929,2.4322391748428345,0.4386910219669005,0.5613089780330995,0.4386910219669005,0.5613089780330995,OU25_UNDER,,,,,,,0.4913446007296507,0.5086553992703493,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.8940330880604654,3.97904245468067,4.0,4.0,4.0,4.0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,1,0,
2025-11-01T17:00:00,2025-11-01,Serie A,Italy,2025-2026,Napoli,Como,full,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,1.694121479988098,0.6674719452857971,2.3615934252738957,0.4202237739838098,0.5797762260161902,0.4202237739838098,0.5797762260161902,OU25_UNDER,,,,,,,0.3975054543052733,0.6024945456947266,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.846333293288719,3.6984914969150986,4.0,4.0,4.0,4.0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,0,0,
2025-11-01T19:45:00,2025-11-01,Serie A,Italy,2025-2026,Cremonese,Juventus,full,2025-10-31T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,3,3,3,3,3,3,3,3,3,0.6047313809394836,1.5572432279586792,2.161974608898163,0.3670725751192754,0.6329274248807246,0.3670725751192754,0.6329274248807246,OU25_UNDER,,,,,,,0.3581603236924522,0.6418396763075478,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.995303599301789,3.999111741624191,4.0,4.0,4.0,4.0,0,0,0,0,0,0,2025-11-01,2025-11-01,2025-11-01,1,2,
2025-11-02T11:30:00,2025-11-02,Serie A,Italy,2025-2026,Hellas Verona,Inter,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,0.4315901696681976,1.4584957361221311,1.890085905790329,0.2936034268279339,0.7063965731720661,0.2936034268279339,0.7063965731720661,OU25_UNDER,,,,,,,0.2689974522888863,0.7310025477111137,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.882228127454208,3.8655564640557194,4.0,4.0,4.0,4.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,1,2,
2025-11-02T14:00:00,2025-11-02,Serie A,Italy,2025-2026,Fiorentina,Lecce,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,0.9751172661781312,0.5411900877952576,1.516307353973389,0.1952576417867681,0.8047423582132318,0.1952576417867681,0.8047423582132318,OU25_UNDER,,,,,,,0.2603177379533013,0.7396822620466987,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,3.8514475983373537,3.98562195822083,4.0,4.0,4.0,4.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,0,1,
2025-11-02T14:00:00,2025-11-02,Serie A,Italy,2025-2026,Torino,Pisa,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.30845844745636,0.3623650968074798,1.6708235442638395,0.2350952668452343,0.7649047331547656,0.2350952668452343,0.7649047331547656,OU25_UNDER,,,,,,,0.2218275769530461,0.7781724230469539,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.604707842563012,3.797593768179166,4.0,4.0,4.0,4.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,2,2,
2025-11-02T17:00:00,2025-11-02,Serie A,Italy,2025-2026,Parma,Bologna,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,1.6306915283203125,1.4765018224716189,3.107193350791931,0.6003902450077858,0.3996097549922142,0.6003902450077858,0.3996097549922142,OU25_OVER,,,,,,,0.6204967804084549,0.3795032195915451,BTTS_YES,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,3.7296622767358474,4.9897739377215,4.0,5.0,4.0,5.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,1,3,
2025-11-02T19:45:00,2025-11-02,Serie A,Italy,2025-2026,AC Milan,AS Roma,full,2025-11-01T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,5,5,5,5,5,5,5,5,5,0.8167922496795654,1.2011430263519287,2.017935276031494,0.3281779414839787,0.6718220585160213,0.3281779414839787,0.6718220585160213,OU25_UNDER,,,,,,,0.3902327916232623,0.6097672083767377,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,4.51635660600249,3.909432135615572,5.0,4.0,5.0,4.0,0,0,0,0,0,0,2025-11-02,2025-11-02,2025-11-02,1,0,
2025-11-03T17:30:00,2025-11-03,Serie A,Italy,2025-2026,Sassuolo,Genoa,full,2025-11-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,1.6247820854187012,0.5849080085754395,2.2096900939941406,0.3798822394422181,0.6201177605577819,0.3798822394422181,0.6201177605577819,OU25_UNDER,,,,,,,0.3556229477373216,0.6443770522626784,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1666666666666666,0,0,3.858445522372764,3.932852508851464,4.0,4.0,4.0,4.0,0,0,0,0,0,0,2025-11-03,2025-11-03,2025-11-03,1,2,
2025-11-03T19:45:00,2025-11-03,Serie A,Italy,2025-2026,Lazio,Cagliari,full,2025-11-02T23:59:59.999999,,,2025-08-01,2026-07-01,7,1,3,2,2,2,2,2,2,2,2,2,2.014589548110962,0.7260275483131409,2.740617096424103,0.5162634140840906,0.4837365859159094,0.5162634140840906,0.4837365859159094,OU25_OVER,,,,,,,0.4473282191833786,0.5526717808166214,BTTS_NO,,,,,0,0,0,0,0,0,0,0,0,0.3333333333333332,0.1666666666666666,0,0,3.990068036978425,3.936520198749132,4.0,4.0,4.0,4.0,0,0,0,0,0,0,2025-11-03,2025-11-03,2025-11-03,2,0,
