date,league,season,home,away,score,bot_prediction_available,bot_ou_pred,bot_btts_pred,bot_ou_result,bot_btts_result
2026-02-18,Premier League,2025-2026,Wolves,Arsenal,2-2,no,,,,
2026-02-12,Premier League,2025-2026,Brentford,Arsenal,1-1,no,,,,
2026-02-11,Premier League,2025-2026,Aston Villa,Brighton,1-0,no,,,,
2026-02-11,Premier League,2025-2026,Crystal Palace,Burnley,2-3,no,,,,
2026-02-11,Premier League,2025-2026,Manchester City,Fulham,3-0,no,,,,
2026-02-11,Premier League,2025-2026,Nottingham Forest,Wolves,0-0,no,,,,
2026-02-11,Premier League,2025-2026,Sunderland,Liverpool,0-1,no,,,,
2026-02-10,Premier League,2025-2026,Chelsea,Leeds,2-2,no,,,,
2026-02-10,Premier League,2025-2026,Everton,Bournemouth,1-2,no,,,,
2026-02-10,Premier League,2025-2026,Tottenham,Newcastle,1-2,no,,,,
2026-02-10,Premier League,2025-2026,West Ham,Manchester United,1-1,no,,,,
2026-02-08,Premier League,2025-2026,Brighton,Crystal Palace,0-1,no,,,,
2026-02-08,Premier League,2025-2026,Liverpool,Manchester City,1-2,no,,,,
