league,OU_bets,OU_hit_rate,OU_profit_u,OU_ROI,OU_value_bets,OU_value_hit_rate,OU_value_profit_u,OU_value_ROI,BTTS_bets,BTTS_hit_rate,BTTS_profit_u,BTTS_ROI,BTTS_value_bets,BTTS_value_hit_rate,BTTS_value_profit_u,BTTS_value_ROI
2. Bundesliga,20,0.35,-7.960000000000001,-0.398,5,0.0,-5.0,-1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bundesliga,29,0.5172413793103449,-2.3899999999999997,-0.08241379310344826,4,0.0,-4.0,-1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Championship,35,0.4857142857142857,-2.5199999999999996,-0.072,12,0.6666666666666666,4.859999999999999,0.40499999999999997,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Eredivisie,20,0.5,-1.29,-0.0645,2,0.5,0.5,0.25,0,0.0,0.0,0.0,0,0.0,0.0,0.0
La Liga,23,0.6521739130434783,2.38,0.10347826086956521,3,0.6666666666666666,1.15,0.3833333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ligue 1,19,0.6842105263157895,5.07,0.26684210526315794,4,0.5,0.8500000000000001,0.21250000000000002,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ligue 2,22,0.5909090909090909,-0.18000000000000038,-0.0081818181818182,3,0.6666666666666666,0.6500000000000001,0.2166666666666667,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Premier League,31,0.5806451612903226,-0.5599999999999998,-0.018064516129032253,1,1.0,1.0499999999999998,1.0499999999999998,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Serie A,22,0.5454545454545454,-0.15999999999999992,-0.007272727272727269,4,0.75,1.7000000000000002,0.42500000000000004,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Serie A Brazil,8,0.75,3.1799999999999997,0.39749999999999996,5,0.6,1.03,0.20600000000000002,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Serie B,20,0.55,-0.71,-0.0355,3,0.3333333333333333,-0.7999999999999998,-0.2666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0.0
