league,matches,current_ou_thr,current_ou_bacc,current_ou_yes_rate,best_guard_ou_thr,best_guard_ou_bacc,best_guard_ou_yes_rate,ou_bacc_gain_guard,current_btts_thr,current_btts_bacc,current_btts_yes_rate,best_guard_btts_thr,best_guard_btts_bacc,best_guard_btts_yes_rate,btts_bacc_gain_guard,source_file
2. Bundesliga,200,0.53,0.48333333333333334,0.48,0.53,0.48333333333333334,0.48,0.0,0.55,0.5291666666666667,0.785,0.55,0.5291666666666667,0.785,0.0,reports/backtest_2bundesliga_fullseason.csv
Bundesliga,199,0.61,0.5436021505376344,0.20100502512562815,0.61,0.5436021505376344,0.20100502512562815,0.0,0.61,0.4790890269151139,0.35678391959798994,0.61,0.4790890269151139,0.35678391959798994,0.0,reports/backtest_bundesliga_fullseason.csv
Championship,396,0.47,0.5153463451970914,0.48737373737373735,0.47,0.5153463451970914,0.48737373737373735,0.0,0.52,0.5021848739495799,0.351010101010101,0.52,0.5021848739495799,0.351010101010101,0.0,reports/backtest_championship_fullseason.csv
Eredivisie,208,0.61,0.5656167979002624,0.41346153846153844,0.61,0.5656167979002624,0.41346153846153844,0.0,0.63,0.5373934837092732,0.22115384615384615,0.63,0.5373934837092732,0.22115384615384615,0.0,reports/backtest_eredivisie_fullseason.csv
La Liga,236,0.49,0.5852905264669971,0.4364406779661017,0.49,0.5852905264669971,0.4364406779661017,0.0,0.52,0.5127314814814815,0.5508474576271186,0.52,0.5127314814814815,0.5508474576271186,0.0,reports/backtest_laliga_fullseason.csv
Ligue 1,197,0.53,0.5143962848297213,0.3096446700507614,0.53,0.5143962848297213,0.3096446700507614,0.0,0.54,0.5122655122655122,0.583756345177665,0.54,0.5122655122655122,0.583756345177665,0.0,reports/backtest_ligue1_fullseason.csv
Ligue 2,210,0.45,0.5435435435435436,0.5095238095238095,0.45,0.5435435435435436,0.5095238095238095,0.0,0.51,0.5142857142857143,0.3380952380952381,0.51,0.5142857142857143,0.3380952380952381,0.0,reports/backtest_ligue2_fullseason.csv
Premier League,271,0.49,0.5058587303333699,0.7195571955719557,0.49,0.5058587303333699,0.7195571955719557,0.0,0.53,0.5277405296681194,0.6900369003690037,0.53,0.5277405296681194,0.6900369003690037,0.0,reports/backtest_premier_fullseason.csv
Serie A,247,0.44,0.5342371323529411,0.4939271255060729,0.44,0.5342371323529411,0.4939271255060729,0.0,0.48,0.519532279314888,0.7530364372469636,0.48,0.519532279314888,0.7530364372469636,0.0,reports/backtest_serie_a_fullseason.csv
Serie A Brazil,251,0.79,0.5341904761904762,0.41832669322709165,0.79,0.5341904761904762,0.41832669322709165,0.0,0.5,0.5,1.0,0.75,0.4834075015893198,0.46215139442231074,-0.016592498410680223,reports_latam/backtest_brazil_fullseason.csv
Serie B,256,0.46,0.53125,0.421875,0.46,0.53125,0.421875,0.0,0.5,0.5158141833456882,0.5,0.5,0.5158141833456882,0.5,0.0,reports/backtest_serieb_fullseason.csv
