league,matches,current_ou_thr,current_ou_acc,current_ou_bacc,current_ou_yes_rate,best_ou_thr_bacc,best_ou_acc,best_ou_bacc,best_ou_yes_rate,ou_bacc_gain,current_btts_thr,current_btts_acc,current_btts_bacc,current_btts_yes_rate,best_btts_thr_bacc,best_btts_acc,best_btts_bacc,best_btts_yes_rate,btts_bacc_gain,source_file
2. Bundesliga,200,0.53,0.48,0.48333333333333334,0.48,0.48,0.605,0.5104166666666666,0.975,0.027083333333333293,0.55,0.585,0.5291666666666667,0.785,0.55,0.585,0.5291666666666667,0.785,0.0,reports/backtest_2bundesliga_fullseason.csv
Bundesliga,199,0.61,0.46733668341708545,0.5436021505376344,0.20100502512562815,0.61,0.46733668341708545,0.5436021505376344,0.20100502512562815,0.0,0.61,0.457286432160804,0.4790890269151139,0.35678391959798994,0.65,0.44221105527638194,0.5157867494824017,0.03015075376884422,0.03669772256728776,reports/backtest_bundesliga_fullseason.csv
Championship,396,0.47,0.5151515151515151,0.5153463451970914,0.48737373737373735,0.47,0.5151515151515151,0.5153463451970914,0.48737373737373735,0.0,0.52,0.48484848484848486,0.5021848739495799,0.351010101010101,0.53,0.4772727272727273,0.5150226244343892,0.17676767676767677,0.012837750484809285,reports/backtest_championship_fullseason.csv
Eredivisie,208,0.61,0.5432692307692307,0.5656167979002624,0.41346153846153844,0.63,0.5048076923076923,0.5810731991834354,0.17307692307692307,0.015456401283172938,0.63,0.4567307692307692,0.5373934837092732,0.22115384615384615,0.63,0.4567307692307692,0.5373934837092732,0.22115384615384615,0.0,reports/backtest_eredivisie_fullseason.csv
La Liga,236,0.49,0.5847457627118644,0.5852905264669971,0.4364406779661017,0.49,0.5847457627118644,0.5852905264669971,0.4364406779661017,0.0,0.52,0.5169491525423728,0.5127314814814815,0.5508474576271186,0.54,0.5042372881355932,0.5342881944444444,0.1483050847457627,0.02155671296296291,reports/backtest_laliga_fullseason.csv
Ligue 1,197,0.53,0.5076142131979695,0.5143962848297213,0.3096446700507614,0.55,0.5380710659898477,0.5513931888544892,0.12690355329949238,0.03699690402476785,0.54,0.5126903553299492,0.5122655122655122,0.583756345177665,0.57,0.5126903553299492,0.5146361574933004,0.116751269035533,0.0023706452277881818,reports/backtest_ligue1_fullseason.csv
Ligue 2,210,0.45,0.5428571428571428,0.5435435435435436,0.5095238095238095,0.45,0.5428571428571428,0.5435435435435436,0.5095238095238095,0.0,0.51,0.5142857142857142,0.5142857142857143,0.3380952380952381,0.51,0.5142857142857142,0.5142857142857143,0.3380952380952381,0.0,reports/backtest_ligue2_fullseason.csv
Premier League,271,0.49,0.5276752767527675,0.5058587303333699,0.7195571955719557,0.52,0.5018450184501845,0.5373253383210475,0.14760147601476015,0.03146660798767753,0.53,0.5571955719557196,0.5277405296681194,0.6900369003690037,0.52,0.5793357933579336,0.5288300368756286,0.8228782287822878,0.0010895072075092216,reports/backtest_premier_fullseason.csv
Serie A,247,0.44,0.5344129554655871,0.5342371323529411,0.4939271255060729,0.44,0.5344129554655871,0.5342371323529411,0.4939271255060729,0.0,0.48,0.5020242914979757,0.519532279314888,0.7530364372469636,0.47,0.4939271255060729,0.5197957839262187,0.8744939271255061,0.0002635046113307338,reports/backtest_serie_a_fullseason.csv
Serie A Brazil,251,0.79,0.5338645418326693,0.5341904761904762,0.41832669322709165,0.79,0.5338645418326693,0.5341904761904762,0.41832669322709165,0.0,0.5,0.5179282868525896,0.5,1.0,0.1,0.5179282868525896,0.5,1.0,0.0,reports_latam/backtest_brazil_fullseason.csv
Serie B,256,0.46,0.53125,0.53125,0.421875,0.46,0.53125,0.53125,0.421875,0.0,0.5,0.515625,0.5158141833456882,0.5,0.53,0.48046875,0.5282307882382011,0.06640625,0.01241660489251295,reports/backtest_serieb_fullseason.csv
